CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,FDR_Beta,P_haEWAS,Effect_haEWAS,FDR_haEWAS,Group
cg23299102,COVID19_Blood,chr7,36495922,36495923,,,,3.042549038377073e-26,-0.3263876120031417,1.6617429231923292e-20,1.4476893514528406e-24,-0.3350911403342904,6.930436370849096e-19,Common
cg06146977,COVID19_Blood,chr13,43469464,43469465,EPSTI1;EPSTI1,Body;Body,,1.3216650630206438e-19,0.2996188176730419,3.6092558206992956e-14,6.65745768417844e-20,0.3063281308335466,1.1704598033440035e-14,Common
cg02770216,COVID19_Blood,chr7,91687079,91687080,AKAP9;AKAP9,Body;Body,,6.516258671541437e-19,0.2739687349711404,1.0968381565281277e-13,1.4216879183181314e-19,0.2899453492645222,1.7014903175223232e-14,Common
cg12877361,COVID19_Blood,chr12,113356935,113356936,OAS1;OAS1,Body;Body,,8.032972686265969e-19,0.2723986216119628,1.0968381565281277e-13,3.23943200204808e-20,-0.2853292214451036,1.3766419813183603e-14,Common
cg04708790,COVID19_Blood,chr12,113355675,113355676,OAS1;OAS1;OAS1,3'UTR;Body;Body,,3.2600637162377416e-17,0.3010835931364555,3.561084959540271e-12,9.07020455151764e-19,0.3198239512247407,8.68424920744146e-14,Common
cg17984982,COVID19_Blood,chr13,43543192,43543193,EPSTI1;EPSTI1,Body;Body,,3.86423417810092e-16,0.2696540060440203,3.517535087641706e-11,1.4986618171857835e-17,-0.2861502308439387,2.122924401595131e-12,Common
cg01195526,COVID19_Blood,chr2,231085667,231085668,SP110;SP110;SP110,TSS1500;TSS1500;TSS1500,,5.924131251083097e-16,-0.221164141304678,4.622244167345076e-11,1.0,0.0,1.0,Beta-only
cg26955963,COVID19_Blood,chr2,8466005,8466006,LINC00299,Body,,3.0098629318766128e-15,0.2746982854598918,2.0548635222214824e-10,0.4487725363219736,0.0815532050732232,0.9213348209460768,Beta-only
cg20389772,COVID19_Blood,chr2,7034132,7034133,RSAD2,Body,,1.0175577149211246e-14,0.2321997875742904,6.17508291158934e-10,4.966285927660155e-14,-0.2410281285585007,3.014989618517386e-09,Common
cg07124045,COVID19_Blood,chr10,103595509,103595510,KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2,Body;Body;Body;Body;Body;Body;Body,,1.0466186912116218e-13,0.2080966041801935,5.468504642667617e-09,1.057478308420395e-09,0.1757912977410577,1.177302897023826e-05,Common
cg25000308,COVID19_Blood,chr13,43462501,43462502,EPSTI1;EPSTI1,Body;3'UTR,,1.1013745050853181e-13,0.2476468223501507,5.468504642667617e-09,2.6783194650776202e-14,-0.2502208177438474,1.896982255262076e-09,Common
cg06217905,COVID19_Blood,chr12,113435438,113435439,OAS2;OAS2,Body;Body,,1.433047006000964e-13,0.2715206870567485,6.522370143112785e-09,2.3237504711156243e-14,-0.2787478590093204,1.896982255262076e-09,Common
cg16382882,COVID19_Blood,chr12,113435923,113435924,OAS2;OAS2,Body;Body,,1.5874764789619264e-13,0.2568894538431024,6.66945271970521e-09,4.139532494936328e-13,0.2509584132786621,1.6514112950882483e-08,Common
cg14063347,COVID19_Blood,chr9,88207974,88207975,AGTPBP1,Body,,4.48135528195496e-13,-0.182052486646762,1.7482663225962692e-08,1.0,0.0,1.0,Beta-only
cg16581692,COVID19_Blood,chr2,162019868,162019869,TANK;TANK;TANK,5'UTR;5'UTR;5'UTR,S_Shelf,1.0595345725264277e-12,-0.161775761414504,3.857892522717425e-08,7.584619122191613e-12,-0.1629204829069915,1.911020634027399e-07,Common
cg24273484,COVID19_Blood,chr18,18637322,18637323,ROCK1,Body,,3.329208321851004e-12,0.2380125794777055,1.1364419067054497e-07,1.1438390653615998e-12,0.2510681527588731,3.911308662329761e-08,Common
cg27271532,COVID19_Blood,chr11,612762,612763,IRF7;IRF7;IRF7,Body;Body;Body,N_Shore,4.085270337929948e-12,-0.2038124388860013,1.259744764121172e-07,1.0,0.0,1.0,Beta-only
cg24338255,COVID19_Blood,chr4,169140742,169140743,DDX60,Body,,4.757327827211987e-12,0.1816632817614469,1.367526434069851e-07,3.5951542803706193e-13,-0.1977659069311582,1.6975679373371325e-08,Common
cg05309505,COVID19_Blood,chr11,612837,612838,IRF7;IRF7;IRF7,Body;Body;Body,N_Shore,5.104745815462592e-12,-0.2393230249998939,1.3940244062697866e-07,1.0,0.0,1.0,Beta-only
cg15999041,COVID19_Blood,chr17,28699933,28699934,,,,1.4969244163643368e-11,0.2116412785129602,3.893201022080367e-07,9.139996337273388e-11,0.2121300931322518,1.562691288058881e-06,Common
cg12633399,COVID19_Blood,chr8,128052382,128052383,,,,1.6957076835861266e-11,0.2149180337496618,4.1713159924267124e-07,1.5664016543597486e-13,0.245204933818025,8.331934062019071e-09,Common
cg19020860,COVID19_Blood,chr21,42837277,42837278,TMPRSS2;TMPRSS2,3'UTR;3'UTR,,1.7566072678336038e-11,0.2314971794518769,4.1713159924267124e-07,6.073492945868141e-11,0.2307808436008702,1.0768617914880663e-06,Common
cg01156920,COVID19_Blood,chr8,68293431,68293432,,,,2.227266258741628e-11,0.2494653613823002,5.068589825018321e-07,2.52569887204226e-12,0.2629965726559342,7.112427451879759e-08,Common
