CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg16975863,Diabetes_Blood,chr4,57548093,57548094,HOPX;HOPX;HOPX,TSS1500;TSS1500;TSS1500,,4.551960483141967e-10,0.1489859570353014,2.8155928304485694e-07,-0.1345982245223473,Common
cg07098752,Diabetes_Blood,chr10,120354870,120354871,PRLHR,5'UTR,Island,5.794180201688796e-10,-0.2671263010970484,1.659451492039609e-08,-0.2463305597565485,Common
cg19225512,Diabetes_Blood,chr10,72648693,72648694,PCBD1,TSS200,S_Shore,1.8608656531841638e-09,0.225582678407207,3.632044053905645e-10,-0.2398615973582429,Common
cg15830591,Diabetes_Blood,chr6,168398369,168398370,,,N_Shelf,3.052737725386618e-09,-0.2425647480429115,3.240803558679273e-09,-0.2401019266289341,Common
cg27351978,Diabetes_Blood,chr8,1650172,1650173,DLGAP2,3'UTR,S_Shore,3.555905692048503e-09,0.2355047275665512,1.0,0.0,EWAS-specific
cg20933713,Diabetes_Blood,chr1,175713219,175713220,TNR,TSS1500,,5.4702573123451715e-09,0.2440392747753157,4.295276675285824e-08,-0.2320458079628339,Common
cg09132607,Diabetes_Blood,chr2,43903582,43903583,PLEKHH2;LOC728819,Body;TSS200,,1.4002570688774033e-08,-0.2184191854043282,3.777619167785664e-09,-0.2348650791054994,Common
cg27112993,Diabetes_Blood,chr17,35242805,35242806,,,,1.4056971537543765e-08,-0.1815798851961515,1.0,0.0,EWAS-specific
cg26410635,Diabetes_Blood,chr12,96350720,96350721,AMDHD1,Body,Island,1.6492759461931115e-08,-0.2314614676868588,7.203317875888697e-08,0.2204429383861107,Common
cg15184495,Diabetes_Blood,chr20,44880525,44880526,CDH22,TSS200,S_Shore,1.9040830366927453e-08,0.2357831736968468,2.6559759442997203e-09,-0.2559450201829054,Common
cg02486415,Diabetes_Blood,chr12,52263387,52263388,,,S_Shore,2.471069135668009e-08,0.2102977902990218,6.548241264294928e-08,0.2084163241681298,Common
