CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg14691529,Birth_Mode_Blood,chr12,54357771,54357772,HOTAIR,Body,N_Shore,1.895481815713828e-08,-0.2662253907140626,0.0056838486370539,2.1989838645108642e-08,-0.2815101292038545,0.0078835330729806,Common
cg04105416,Birth_Mode_Blood,chr7,4911051,4911052,RADIL,Body,,1.6578620735962566e-07,0.30771321204333,0.0214464101128195,6.000611363935108e-08,0.3169407650721026,0.0107563358943082,Common
cg15291243,Birth_Mode_Blood,chr17,35298199,35298200,LHX1,Body,Island,1.0,0.0,1.0,1.2830888919825516e-07,-0.2748055071512473,0.0128719386671944,Beta-only
cg07917878,Birth_Mode_Blood,chr1,113041557,113041558,WNT2B,Body,N_Shelf,2.1419452574232856e-06,0.2796825261040335,0.0494069331328245,1.615742173926135e-07,0.3044569324003999,0.0128719386671944,Common
cg01348584,Birth_Mode_Blood,chr7,4911022,4911023,RADIL,Body,,4.887038497006603e-07,0.2961182277549465,0.0214464101128195,1.7952094049776426e-07,0.3055432285251652,0.0128719386671944,Common
cg04827223,Birth_Mode_Blood,chr11,72435913,72435914,ARAP1,Body,N_Shore,2.263655309811012e-07,-0.2764577659093941,0.0214464101128195,3.297513354829157e-07,0.2724283464985283,0.0195977768315938,Common
cg20707023,Birth_Mode_Blood,chr5,141133392,141133393,,,S_Shore,1.0480289038248353e-06,-0.2523968521631503,0.0349183434652918,4.219216541145494e-07,-0.268885299764788,0.0195977768315938,Common
cg04944904,Birth_Mode_Blood,chr19,51845941,51845942,VSIG10L,TSS1500,S_Shelf,6.558502107231998e-07,0.2880966903907504,0.0280950302482986,4.848506558418432e-07,0.2913102879284233,0.0195977768315938,Common
cg10365769,Birth_Mode_Blood,chr4,7589937,7589938,SORCS2,Body,N_Shelf,4.465893766320546e-07,-0.2846040975975506,0.0267831260490035,4.919834187363868e-07,-0.2831642693687243,0.0195977768315938,Common
cg20365687,Birth_Mode_Blood,chr13,60834809,60834810,,,,3.508049070279743e-07,-0.2823545539133401,0.0262983529590323,8.613353666830931e-07,-0.2720070133333536,0.0308795619638822,Common
