CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_CHALM,Effect_CHALM,P_CAMDA,Effect_CAMDA,P_haEWAS,Effect_haEWAS,haEWAS_Driver,Group
cg00000165,Huntingtons_Disease_GSE72778,chr1,91194674,91194675,,,S_Shore,0.00036528,-0.271558887,0.014423604,-0.087650828,0.503996535,-0.002203109,0.014423604,-0.087650828,None,Beta-only
cg00001261,Huntingtons_Disease_GSE72778,chr16,3463964,3463965,,,,1.50E-06,-0.178729261,0.001764057,-0.096194867,0.031068854,0.049227115,0.001764057,-0.096194867,None,Beta-only
cg00002749,Huntingtons_Disease_GSE72778,chr17,57839538,57839539,TMEM49,Body,,3.75E-06,-0.372329248,0.151722533,-0.129855333,0.092526794,0.117520759,0.092526794,0.117520759,None,Beta-only
cg00003091,Huntingtons_Disease_GSE72778,chr4,1715004,1715005,SLBP,TSS1500,S_Shore,0.000471305,-0.230726325,0.148692886,-0.051725586,0.18243772,-0.033726711,0.148692886,-0.051725586,None,Beta-only
cg00003345,Huntingtons_Disease_GSE72778,chr1,10816499,10816500,CASZ1;CASZ1,5'UTR;5'UTR,,0.51367447,0.020416438,0.290608157,0.057580903,0.000255561,-0.061137517,0.000255561,-0.061137517,CAMDA,haEWAS-only
cg00004421,Huntingtons_Disease_GSE72778,chr17,7475079,7475080,EIF4A1;SENP3,TSS1500;3'UTR,N_Shore,5.04E-08,-0.391494782,0.099206943,-0.103909319,0.583351329,0.010027991,0.099206943,-0.103909319,None,Beta-only
cg00004771,Huntingtons_Disease_GSE72778,chr6,72294826,72294827,,,Island,0.000962586,0.196351643,0.097194174,-0.113140927,0.060923288,0.104759071,0.060923288,0.104759071,None,Beta-only
cg00005619,Huntingtons_Disease_GSE72778,chr11,47608722,47608723,FAM180B,Body,N_Shelf,0.000491597,-0.13130455,0.02228265,-0.092073721,0.77105973,-0.005456234,0.02228265,-0.092073721,None,Beta-only
cg00006397,Huntingtons_Disease_GSE72778,chr1,160336699,160336700,NHLH1,TSS200,N_Shelf,0.000907404,-0.130968053,0.203045448,-0.031212382,0.138938521,0.035028738,0.138938521,0.035028738,None,Beta-only
cg00008629,Huntingtons_Disease_GSE72778,chr9,115093661,115093662,ROD1;ROD1;ROD1,Body;Body;5'UTR,N_Shore,0.000924131,-0.1506249,0.020593842,-0.102780294,0.006805063,0.053826621,0.006805063,0.053826621,None,Beta-only
cg00008665,Huntingtons_Disease_GSE72778,chr3,43146780,43146781,C3orf39,5'UTR,N_Shore,0.220768287,-0.035919859,0.001805046,-0.07687697,0.000333745,-0.022836307,0.000333745,-0.022836307,CAMDA,haEWAS-only
cg00008800,Huntingtons_Disease_GSE72778,chr2,38710171,38710172,,,,0.000781753,-0.288307981,1,0,1,0,1,0,None,Beta-only
cg00009038,Huntingtons_Disease_GSE72778,chr2,132152167,132152168,,,Island,6.50E-05,-0.146008721,0.022659249,-0.074155133,0.004236705,0.048381114,0.004236705,0.048381114,None,Beta-only
cg00010242,Huntingtons_Disease_GSE72778,chr14,81580765,81580766,TSHR,Body,,0.049568665,-0.097070416,0.077510888,-0.067014915,0.000544144,0.160462115,0.000544144,0.160462115,CAMDA,haEWAS-only
cg00012343,Huntingtons_Disease_GSE72778,chr6,15556908,15556909,DTNBP1;DTNBP1;DTNBP1,Body;Body;Body,,0.000293207,0.168980589,0.017924681,0.069772847,0.004742372,-0.128715537,0.004742372,-0.128715537,None,Beta-only
cg00013655,Huntingtons_Disease_GSE72778,chr16,629015,629016,PIGQ;PIGQ,Body;Body,N_Shore,0.01366386,-0.227967728,0.000212518,-0.35897964,0.623490485,-0.007317031,0.000212518,-0.35897964,CHALM,haEWAS-only
cg00014085,Huntingtons_Disease_GSE72778,chr2,85581505,85581506,ELMOD3;ELMOD3;ELMOD3;ELMOD3;RETSAT,TSS1500;TSS1500;TSS1500;TSS1500;1stExon,N_Shore,0.000344919,-0.153518287,0.031447383,-0.065557129,0.003900211,-0.033923521,0.003900211,-0.033923521,None,Beta-only
cg00014377,Huntingtons_Disease_GSE72778,chr7,101364176,101364177,,,,4.32E-12,0.376788263,0.005789246,0.234315984,0.000236491,-0.186234649,0.000236491,-0.186234649,CAMDA,Common
cg00017157,Huntingtons_Disease_GSE72778,chr1,167127353,167127354,,,,0.880729375,0.027880471,0.00018065,0.862495913,1,0,0.00018065,0.862495913,CHALM,haEWAS-only
cg00017970,Huntingtons_Disease_GSE72778,chr1,26487737,26487738,GRRP1,5'UTR,N_Shore,0.000687321,-0.133139701,0.150315347,-0.030897086,0.074692661,-0.002839782,0.074692661,-0.002839782,None,Beta-only
cg00019880,Huntingtons_Disease_GSE72778,chr17,53832578,53832579,PCTP;PCTP,Body;5'UTR,S_Shelf,0.207576843,0.118165412,0.404289667,-0.066686175,0.00079474,0.279568537,0.00079474,0.279568537,CAMDA,haEWAS-only
cg00021237,Huntingtons_Disease_GSE72778,chr8,67525849,67525850,MYBL1;MYBL1,TSS1500;TSS1500,Island,1.76E-05,-0.148803373,1,0,1,0,1,0,None,Beta-only
cg00022259,Huntingtons_Disease_GSE72778,chr12,133385284,133385285,GOLGA3,Body,,0.517989545,0.030350598,0.19843835,-0.586657738,8.54E-05,-0.131264507,8.54E-05,-0.131264507,CAMDA,haEWAS-only
cg00024967,Huntingtons_Disease_GSE72778,chr3,169377818,169377819,MECOM,Body,N_Shore,0.000477545,-0.248250291,0.007511656,-0.181204571,0.303205055,0.01429403,0.007511656,-0.181204571,None,Beta-only
cg00025823,Huntingtons_Disease_GSE72778,chr17,43909151,43909152,CRHR1;CRHR1;CRHR1;CRHR1,Body;Body;Body;Body,,1.26E-06,-0.146106497,1,0,1,0,1,0,None,Beta-only
cg00026230,Huntingtons_Disease_GSE72778,chr16,30064606,30064607,ALDOA,5'UTR,Island,0.000230638,-0.151910904,1,0,1,0,1,0,None,Beta-only
cg00026909,Huntingtons_Disease_GSE72778,chr1,58089001,58089002,DAB1,5'UTR,,8.21E-07,0.335609169,0.000832245,0.201958071,0.033232505,0.02447953,0.000832245,0.201958071,None,Beta-only
cg00027081,Huntingtons_Disease_GSE72778,chr2,3325158,3325159,TSSC1,Body,S_Shelf,0.000193502,-0.157971704,0.256512805,-0.074757044,0.587843355,0.010612448,0.256512805,-0.074757044,None,Beta-only
cg00028022,Huntingtons_Disease_GSE72778,chr1,246984573,246984574,,,,1.76E-07,0.435924729,0.006039288,0.222569793,0.000903937,-0.112744043,0.000903937,-0.112744043,CAMDA,Common
cg00030427,Huntingtons_Disease_GSE72778,chr6,169562540,169562541,,,,2.72E-05,-0.203123936,0.163332422,-0.81391762,0.000260337,0.137735752,0.000260337,0.137735752,CAMDA,Common
cg00030795,Huntingtons_Disease_GSE72778,chr6,33422380,33422381,ZBTB9;ZBTB9,5'UTR;1stExon,Island,0.000797212,0.301787884,1,0,1,0,1,0,None,Beta-only
cg00031896,Huntingtons_Disease_GSE72778,chr12,122020205,122020206,KDM2B,TSS1500,S_Shore,4.57E-06,0.142588517,0.010801395,0.069076462,0.000580322,0.041437255,0.000580322,0.041437255,CAMDA,Common
cg00033209,Huntingtons_Disease_GSE72778,chr16,3511787,3511788,NAT15;NAT15;NAT15,5'UTR;5'UTR;5'UTR,S_Shelf,3.11E-05,0.27892009,0.111820608,0.082686469,0.246673233,-0.044354248,0.111820608,0.082686469,None,Beta-only
cg00035864,Huntingtons_Disease_GSE72778,chrY,8553009,8553010,TTTY18,TSS1500,,0.00033635,0.272414578,0.470694207,0.052150091,0.031308715,-0.077873446,0.031308715,-0.077873446,None,Beta-only
cg00036119,Huntingtons_Disease_GSE72778,chr16,7277833,7277834,A2BP1;A2BP1;A2BP1,Body;Body;Body,,0.001902821,0.14212092,0.000136304,0.226822202,0.277290849,-0.020103995,0.000136304,0.226822202,CHALM,haEWAS-only
cg00036347,Huntingtons_Disease_GSE72778,chr1,151811923,151811924,LOC100132111;C2CD4D,Body;5'UTR,N_Shore,1.77E-05,0.193581346,0.56760411,0.029019477,0.024823953,-0.018283616,0.024823953,-0.018283616,None,Beta-only
cg00036614,Huntingtons_Disease_GSE72778,chr7,47093842,47093843,,,S_Shore,0.084693276,0.143125177,0.000408192,0.548562965,0.009482645,-0.152035771,0.000408192,0.548562965,CHALM,haEWAS-only
cg00038167,Huntingtons_Disease_GSE72778,chr19,7598438,7598439,PNPLA6;PNPLA6;PNPLA6;PNPLA6;MCOLN1,TSS1500;TSS1500;TSS1500;TSS1500;Body,Island,0.000403161,-0.107930061,0.000630142,-0.081674018,0.111654847,0.02133729,0.000630142,-0.081674018,CHALM,Common
cg00039016,Huntingtons_Disease_GSE72778,chr16,87421584,87421585,FBXO31,Body,N_Shelf,0.005131966,-0.138208847,0.000711505,-0.167914035,0.003159416,0.045059752,0.000711505,-0.167914035,CHALM,haEWAS-only
cg00040446,Huntingtons_Disease_GSE72778,chr1,40367965,40367966,MYCL1;MYCL1;MYCL1,TSS1500;TSS1500;TSS1500,Island,0.000721258,-0.157298096,0.764089112,0.007341273,0.795823629,-0.003352527,0.764089112,0.007341273,None,Beta-only
cg00040530,Huntingtons_Disease_GSE72778,chr2,242835364,242835365,,,S_Shelf,0.00097046,0.164582123,1,0,1,0,1,0,None,Beta-only
cg00040588,Huntingtons_Disease_GSE72778,chr1,1290712,1290713,MXRA8,Body,Island,0.262814804,0.060240948,0.070839661,0.103404957,0.000776871,-0.039656384,0.000776871,-0.039656384,CAMDA,haEWAS-only
cg00041641,Huntingtons_Disease_GSE72778,chr1,151024614,151024615,CDC42SE1;CDC42SE1,3'UTR;3'UTR,S_Shelf,0.69081429,-0.013008913,0.321175386,0.01866244,0.000742952,-0.034278737,0.000742952,-0.034278737,CAMDA,haEWAS-only
cg00042254,Huntingtons_Disease_GSE72778,chr1,46019963,46019964,AKR1A1;AKR1A1,5'UTR;5'UTR,S_Shelf,0.000320105,0.196908534,0.355768348,0.050778085,0.016225421,-0.088091533,0.016225421,-0.088091533,None,Beta-only
cg00042409,Huntingtons_Disease_GSE72778,chr3,113232968,113232969,CCDC52,5'UTR,N_Shore,0.001033941,-0.14743409,4.21E-05,-0.163159369,0.000127594,-0.065467457,4.21E-05,-0.163159369,Both,Common
cg00042914,Huntingtons_Disease_GSE72778,chr18,24446311,24446312,C18orf16;AQP4,Body;TSS1500,S_Shelf,0.002903486,0.181178273,0.0005245,0.193224939,1,0,0.0005245,0.193224939,CHALM,haEWAS-only
cg00044796,Huntingtons_Disease_GSE72778,chr1,146552390,146552391,,,Island,0.067422811,0.143242552,0.168187937,0.031906479,0.000379216,0.005078218,0.000379216,0.005078218,CAMDA,haEWAS-only
cg00045227,Huntingtons_Disease_GSE72778,chr11,56467944,56467945,OR8U8;OR9G9;OR9G1,Body;1stExon;1stExon,,9.87E-05,-0.272026074,1.04E-07,-0.451556656,1.30E-06,0.133797599,1.04E-07,-0.451556656,Both,Common
cg00051154,Huntingtons_Disease_GSE72778,chr2,237079099,237079100,,,N_Shore,0.001280674,-0.397106819,0.215664423,-0.046731417,0.245953159,0.008741945,0.215664423,-0.046731417,None,Beta-only
cg00052772,Huntingtons_Disease_GSE72778,chr6,33245804,33245805,B3GALT4,1stExon,S_Shore,0.000790217,-0.094006819,1,0,1,0,1,0,None,Beta-only
cg00054408,Huntingtons_Disease_GSE72778,chr19,3275609,3275610,BRUNOL5,Body,Island,0.000640821,0.116138176,0.605945045,0.016776716,0.648857841,0.00889362,0.605945045,0.016776716,None,Beta-only
cg00055434,Huntingtons_Disease_GSE72778,chr1,2415344,2415345,PLCH2,Body,Island,3.50E-05,-0.366036194,1,0,1,0,1,0,None,Beta-only
