CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_CHALM,Effect_CHALM,P_CAMDA,Effect_CAMDA,P_haEWAS,Effect_haEWAS,haEWAS_Driver,Group
cg00042059,Psoriasis_GSE73894,chr2,55087588,55087589,EML6,Body,,0.0001357342279511,-0.178671967720496,0.0001405941830488,-0.201354755564715,2.46596438116901e-06,0.100307264196123,2.46596438116901e-06,0.100307264196123,CAMDA,haEWAS-only
cg00386408,Psoriasis_GSE73894,chr5,135364970,135364971,TGFBI,Body,Island,0.0001005749128306,-0.172809312168103,0.0001232834332119,-0.150818181267047,2.38130932570569e-06,-0.0748386749676209,2.38130932570569e-06,-0.0748386749676209,CAMDA,haEWAS-only
cg00452016,Psoriasis_GSE73894,chr5,43603138,43603139,NNT;NNT,TSS200;5'UTR,Island,3.44087280381921e-08,-0.239896503915243,1.0,0.0,1.0,0.0,1.0,0.0,None,Beta-only
cg00710617,Psoriasis_GSE73894,chr20,50808543,50808544,ZFP64;ZFP64;ZFP64;ZFP64,TSS200;TSS200;TSS200;TSS200,Island,0.110667174995955,0.0999896681732166,7.2867202955422e-05,0.0413360855532848,1.19466669218491e-06,0.021867701328008,1.19466669218491e-06,0.021867701328008,CAMDA,haEWAS-only
cg01068136,Psoriasis_GSE73894,chr10,115614374,115614375,DCLRE1A;NHLRC2,TSS1500;TSS200,Island,4.28129995051356e-07,-0.231292249774944,1.0,0.0,1.0,0.0,1.0,0.0,None,Beta-only
cg01139906,Psoriasis_GSE73894,chr3,10290027,10290028,TATDN2,TSS200,Island,2.25895641525188e-06,-0.176931471299623,1.0,0.0,1.0,0.0,1.0,0.0,None,Beta-only
cg01291875,Psoriasis_GSE73894,chr19,12670423,12670424,,,S_Shelf,0.0557552917751322,0.0479983271399747,0.0017575665001002,0.099235597693586,5.74025127547651e-06,-0.081888558194593,5.74025127547651e-06,-0.081888558194593,CAMDA,haEWAS-only
cg01409793,Psoriasis_GSE73894,chr4,106394821,106394822,PPA2;PPA2;PPA2;PPA2;PPA2,Body;Body;Body;Body;Body,Island,0.737147459852365,-0.0170235941786439,0.0001457969088816,0.0651669280061731,6.36096975247199e-07,-0.0062251785244282,6.36096975247199e-07,-0.0062251785244282,CAMDA,haEWAS-only
cg01738984,Psoriasis_GSE73894,chr11,3240365,3240366,MRGPRG;C11orf36,TSS1500;Body,S_Shore,2.281093002955e-05,0.0902396403833134,1.16688259847359e-05,0.059893267882608,1.97728495216635e-06,-0.0646559945203508,1.97728495216635e-06,-0.0646559945203508,CAMDA,haEWAS-only
cg02294991,Psoriasis_GSE73894,chr11,47927148,47927149,,,,0.0122605547750149,0.0614707890897435,1.04968039489262e-05,0.0998438346735933,6.75428453587401e-06,-0.0705533463496706,6.75428453587401e-06,-0.0705533463496706,CAMDA,haEWAS-only
