CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg00002350,Total_PBB_Exposure_GSE116339,chr2,38657543,38657544,,,,9.6660875726217e-05,-0.006224274034802,8.04179553955876e-07,-0.0076609818496166,haEWAS-specific
cg00015121,Total_PBB_Exposure_GSE116339,chr14,24024633,24024634,THTPA;THTPA;THTPA,TSS1500;TSS1500;TSS1500,N_Shore,0.0128406641963438,-0.0031510928059629,8.24421006071578e-05,-0.0036135641421362,haEWAS-specific
cg00018261,Total_PBB_Exposure_GSE116339,chrX,117957689,117957690,ZCCHC12,TSS200,Island,0.997265554144051,-2.94619196794732e-06,6.26179576132978e-05,-0.0025762289777712,haEWAS-specific
cg00023464,Total_PBB_Exposure_GSE116339,chr13,111267667,111267668,CARKD,TSS1500,N_Shore,0.0033834189258348,0.0033195262787668,6.31460716221751e-05,0.0040705598867419,haEWAS-specific
cg00046410,Total_PBB_Exposure_GSE116339,chr1,35581062,35581063,ZMYM1,3'UTR,,0.0532081939367565,0.0022944610023413,0.0001215022441713,-0.0026258518643206,haEWAS-specific
cg00046423,Total_PBB_Exposure_GSE116339,chr20,48065678,48065679,KCNB1,Body,,0.15506538217064,0.0015946264913233,2.45586987741521e-06,0.01817494495938,haEWAS-specific
cg00046877,Total_PBB_Exposure_GSE116339,chr22,19702664,19702665,SEPT5,Body,S_Shore,0.0059283110122726,-0.0015275388157111,1.73902874432173e-05,-0.0007922934044905,haEWAS-specific
cg00073299,Total_PBB_Exposure_GSE116339,chr19,49715473,49715474,,,S_Shore,0.0003653719152057,0.0026189876936326,2.70999699560152e-05,0.0024325698081449,haEWAS-specific
cg00073460,Total_PBB_Exposure_GSE116339,chr6,149806502,149806503,ZC3H12D,TSS1500,,0.323677701200555,0.0011126563040284,5.51274126200709e-05,-0.0004594534153426,haEWAS-specific
cg00081404,Total_PBB_Exposure_GSE116339,chr2,106957722,106957723,,,N_Shore,0.0142710911623937,0.0023305830430727,1.80783550425978e-06,-0.0030028953407443,haEWAS-specific
cg00082664,Total_PBB_Exposure_GSE116339,chr4,154710796,154710797,SFRP2,TSS1500,Island,0.0068181078797939,0.0025240143030717,2.59168092963994e-05,0.0004916506675789,haEWAS-specific
cg00091285,Total_PBB_Exposure_GSE116339,chr1,98511031,98511032,,,Island,0.0875398216276399,0.0013087704487312,3.24437517100137e-05,0.0002626477598604,haEWAS-specific
cg00092565,Total_PBB_Exposure_GSE116339,chr21,47515209,47515210,,,N_Shelf,0.0390839018422994,-0.0014530135257536,2.20165889833332e-05,0.0020514852237256,haEWAS-specific
cg00100361,Total_PBB_Exposure_GSE116339,chr12,110752302,110752303,ATP2A2;ATP2A2,Body;Body,,0.0018212705463773,0.0018901751291007,1.44716920976665e-05,0.0022015070637037,haEWAS-specific
cg00105060,Total_PBB_Exposure_GSE116339,chr7,147711696,147711697,CNTNAP2;MIR548T,Body;Body,,0.0242948634170436,0.0016560350168997,7.36424817213984e-05,0.0025273997009542,haEWAS-specific
cg00106432,Total_PBB_Exposure_GSE116339,chr15,84540266,84540267,ADAMTSL3,Body,,0.0042389090497404,0.0025246723794775,9.5506716091689e-07,-0.0033225752256715,haEWAS-specific
cg00110846,Total_PBB_Exposure_GSE116339,chr7,77669243,77669244,MAGI2,Body,N_Shore,0.0018896266245232,-0.0041021555314187,3.53189343329911e-05,0.0037909447246156,haEWAS-specific
cg00115297,Total_PBB_Exposure_GSE116339,chr15,83409459,83409460,,,,0.0007619939934894,0.003402020227891,1.84415122681907e-16,0.0239068478367073,haEWAS-specific
cg00119079,Total_PBB_Exposure_GSE116339,chr3,182880278,182880279,LAMP3,Body,Island,0.0018531314399455,0.0017416702578705,5.02900957487372e-05,0.000912141017272,haEWAS-specific
cg00127037,Total_PBB_Exposure_GSE116339,chr6,19326520,19326521,,,,0.0763156465091558,0.0016447955260151,6.44505580074045e-05,-0.0023014682583285,haEWAS-specific
cg00136580,Total_PBB_Exposure_GSE116339,chr20,44783083,44783084,,,S_Shore,0.0034682131411884,-0.0042985668540071,3.43476274700577e-05,-0.0045543740038209,haEWAS-specific
cg00151810,Total_PBB_Exposure_GSE116339,chr16,75300023,75300024,BCAR1;BCAR1;BCAR1;BCAR1;BCAR1,TSS200;TSS200;TSS200;Body;Body,Island,0.0039741941211663,0.0017273248785153,3.54866079280278e-05,0.0017281705167765,haEWAS-specific
cg00157962,Total_PBB_Exposure_GSE116339,chr1,109102212,109102213,FAM102B,TSS1500,N_Shore,0.0018794704975347,0.0019407089795999,3.96050868919582e-05,0.0022449620857355,haEWAS-specific
cg00157963,Total_PBB_Exposure_GSE116339,chr10,15288199,15288200,FAM171A1,Body,,0.135885813832907,-0.0009055798069119,8.19668693086083e-05,0.0011749735380026,haEWAS-specific
cg00158454,Total_PBB_Exposure_GSE116339,chrX,136509526,136509527,,,Island,0.0053220283169132,-0.0026162103173677,3.34417093476046e-05,-0.0018959396822497,haEWAS-specific
cg00197517,Total_PBB_Exposure_GSE116339,chr18,5197468,5197469,LOC642597,TSS1500,S_Shore,0.0340972885784535,-0.0028491074710063,0.0001404655080853,-0.0005021864907625,haEWAS-specific
cg00204727,Total_PBB_Exposure_GSE116339,chr5,141185856,141185857,,,,0.0013160270590504,0.0038153646845943,1.03639145789554e-09,-0.0025872118108337,haEWAS-specific
cg00204782,Total_PBB_Exposure_GSE116339,chr22,19753364,19753365,TBX1;TBX1;TBX1,Body;Body;Body,Island,0.0091575978456985,0.0013714039579357,7.34452710415868e-05,0.0002626783744173,haEWAS-specific
cg00216304,Total_PBB_Exposure_GSE116339,chr17,77956798,77956799,TBC1D16,Body,S_Shore,0.29127921401638,-0.0010107989086004,1.12442964533406e-10,-0.011433222005418,haEWAS-specific
cg00223569,Total_PBB_Exposure_GSE116339,chr12,25064560,25064561,BCAT1;BCAT1;BCAT1,Body;Body;Body,,0.839289841801786,0.0002698053867639,2.2707296640946e-05,-0.000556477933056,haEWAS-specific
cg00228984,Total_PBB_Exposure_GSE116339,chr20,1471884,1471885,SIRPB2;SIRPB2,Body;Body,,0.0747335852075956,-0.0022844372135882,2.3554950967411e-05,-0.0003622840714709,haEWAS-specific
cg00242976,Total_PBB_Exposure_GSE116339,chr20,44440824,44440825,UBE2C;UBE2C;UBE2C;UBE2C;UBE2C;UBE2C,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,N_Shore,0.593154652685145,0.0007069948834996,1.09044052998208e-05,-0.0019948164648001,haEWAS-specific
cg00248861,Total_PBB_Exposure_GSE116339,chr4,1986542,1986543,WHSC2,Body,N_Shore,0.093695192152676,0.002468871924961,1.54643971595488e-06,-0.0131312555784055,haEWAS-specific
cg00264958,Total_PBB_Exposure_GSE116339,chr17,48023189,48023190,,,,0.0239005069760109,0.0017337617136316,3.98928421839409e-06,-0.0019773809380798,haEWAS-specific
cg00265812,Total_PBB_Exposure_GSE116339,chrX,47518579,47518580,LOC100133957;LOC100133957;UXT;UXT,Body;Body;TSS200;TSS200,Island,0.2728518673098,-0.0008552382706203,4.59444105328069e-05,-0.002883668603496,haEWAS-specific
cg00269606,Total_PBB_Exposure_GSE116339,chr8,67090928,67090929,CRH,TSS1500,S_Shore,0.274312227728063,-0.001875780498574,1.22280876723843e-05,-0.0028856626894227,haEWAS-specific
cg00276256,Total_PBB_Exposure_GSE116339,chr10,1330230,1330231,ADARB2,Body,,0.0057111187455181,0.002385569936405,6.45791790620912e-05,0.003102656890122,haEWAS-specific
cg00300828,Total_PBB_Exposure_GSE116339,chr5,3395436,3395437,,,,0.0034000874896164,0.0063363240275294,1.01489730813631e-05,-0.0013507304777357,haEWAS-specific
cg00301120,Total_PBB_Exposure_GSE116339,chr10,132740439,132740440,,,,0.0080612796211455,0.0059465243099161,3.07592901206893e-06,-0.0027156952658358,haEWAS-specific
cg00304785,Total_PBB_Exposure_GSE116339,chr7,149389444,149389445,,,N_Shore,0.0273771241326815,-0.0030952562528785,2.21701520538853e-06,-0.0055085891395336,haEWAS-specific
cg00316677,Total_PBB_Exposure_GSE116339,chr5,151151425,151151426,G3BP1;G3BP1,TSS200;TSS200,Island,5.17459926726869e-06,0.0026438829705211,0.0415136533630962,-0.0001228343068454,EWAS-specific
cg00318756,Total_PBB_Exposure_GSE116339,chr1,67773020,67773021,IL12RB2,TSS200,N_Shore,5.49176623075487e-05,-0.0031060658213222,0.0001293762133017,-0.0011466058371057,haEWAS-specific
