CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg09099830,Smoking_Status_Blood,chr16,30485485.0,30485486.0,ITGAL;ITGAL,Body;Body,Island,9.286108451043748e-20,-0.2205438516723362,3.945036025473817e-14,2.8201683080940145e-14,-0.1871888382167404,1.3686784429475709e-08,Common
cg06235438,Smoking_Status_Blood,chr16,30485966.0,30485967.0,ITGAL;ITGAL,Body;Body,S_Shore,2.601729880897681e-12,-0.1507445660967297,5.526490543807617e-07,9.003006829081638e-10,-0.130879536297628,0.0001824470120475,Common
cg10750182,Smoking_Status_Blood,chr10,73497514.0,73497515.0,C10orf105;C10orf105;CDH23,5'UTR;1stExon;Body,,0.0002467584122268,0.1260191769095665,0.2396087682704113,1.1277987549249963e-09,-0.1331429282617396,0.0001824470120475,Beta-only
cg04551776,Smoking_Status_Blood,chr5,393366.0,393367.0,AHRR,Body,,1.2470831692326263e-09,0.17177807473768,0.0002301251405081,6.976385842038642e-09,-0.1397920144048153,0.0007680326873723,Common
cg11554391,Smoking_Status_Blood,chr5,321320.0,321321.0,AHRR,Body,Island,0.0023622173195745,-0.1709738552525192,0.4483506898965526,8.188324026485151e-09,-0.1905062672441785,0.0007680326873723,Beta-only
cg06321596,Smoking_Status_Blood,chr16,17562960.0,17562961.0,XYLT1,Body,,7.369842958780785e-09,-0.2196441530612691,0.000391368140483,9.495209582653836e-09,-0.2036175543593149,0.0007680326873723,Common
cg21446172,Smoking_Status_Blood,chr1,223745234.0,223745235.0,CAPN8,Body,S_Shore,1.0,0.0,1.0,1.1735083728217112e-08,-0.2080887143452669,0.0008136067664015,Beta-only
cg26361535,Smoking_Status_Blood,chr8,144576604.0,144576605.0,ZC3H3,Body,,2.5481506921036528e-09,0.1850216656932067,0.0002581480503156,2.3398729159889343e-08,-0.1717713070382271,0.0011346737659477,Common
cg27405731,Smoking_Status_Blood,chr7,101571203.0,101571204.0,CUX1;CUX1;CUX1,Body;Body;Body,,9.640761372973104e-06,0.0918977511658011,0.067361739936724,2.34205733779816e-08,0.1099778236168342,0.0011346737659477,Beta-only
cg01431482,Smoking_Status_Blood,chr1,2989085.0,2989086.0,PRDM16;PRDM16,Body;Body,N_Shore,1.921650256003321e-06,0.1656920930864959,0.0299505452515668,2.360896647025924e-08,-0.1859947833585019,0.0011346737659477,Common
cg26764244,Smoking_Status_Blood,chr1,68299511.0,68299512.0,GNG12,TSS1500,S_Shore,1.6586054599767954e-08,-0.2131127018563482,0.0006341002002133,2.5718006390501344e-08,-0.1899569778758376,0.0011346737659477,Common
cg16391678,Smoking_Status_Blood,chr16,30485597.0,30485598.0,ITGAL;ITGAL,Body;Body,Island,5.462149678430224e-12,-0.1427538730281508,7.734986573956228e-07,4.3019608587166215e-08,-0.1143123966378043,0.001642341536425,Common
cg22994830,Smoking_Status_Blood,chr7,623846.0,623847.0,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,Body;Body;Body;Body;Body;Body,,1.971518758956253e-08,0.2030810053379894,0.0015978449794587,4.3992681032900483e-08,0.1992448447824185,0.001642341536425,Common
cg02493604,Smoking_Status_Blood,chr10,54073445.0,54073446.0,DKK1,TSS1500,N_Shore,2.9892290057765404e-07,-0.1650366774006407,0.0066837901946424,5.265922140633095e-08,-0.1659937608829986,0.0018254620010341,Common
cg01097768,Smoking_Status_Blood,chr5,378854.0,378855.0,AHRR,Body,,1.0061369701207816e-07,-0.1278818716349496,0.0026714948830646,6.240276419598865e-08,-0.123645205457341,0.0020190123142712,Common
cg15903032,Smoking_Status_Blood,chr10,101297605.0,101297606.0,,,Island,3.908618452584857e-07,0.1903477372861574,0.0131991439398155,7.547924860321623e-08,-0.1912385039366951,0.0022894648733509,Common
cg14051236,Smoking_Status_Blood,chr14,100029763.0,100029764.0,CCDC85C,Body,,0.0511902352245499,-0.1099279774852067,0.7856416806420208,1.0480876917748841e-07,-0.138399214328314,0.0029920930729223,Beta-only
cg11556164,Smoking_Status_Blood,chr7,110738315.0,110738316.0,LRRN3;IMMP2L;LRRN3;LRRN3,5'UTR;Body;5'UTR;5'UTR,,0.0079873282201423,-0.3316003899271147,0.5881103960174779,1.2246811655375542e-07,-0.246512718034221,0.0033019989660908,Beta-only
cg16519923,Smoking_Status_Blood,chr16,30485810.0,30485811.0,ITGAL;ITGAL,Body;Body,S_Shore,4.929942791696607e-09,-0.1112406898156541,0.0003490662426803,1.800138165997899e-07,-0.1055044616237067,0.0044602525845374,Common
cg04716530,Smoking_Status_Blood,chr16,30485684.0,30485685.0,ITGAL;ITGAL,Body;Body,Island,8.629666024138716e-11,-0.1326931798387624,9.165395690917248e-06,1.8380742459737658e-07,-0.1091717795631405,0.0044602525845374,Common
cg13424029,Smoking_Status_Blood,chr10,101297508.0,101297509.0,,,Island,2.114754648023121e-05,-0.1206413947868751,0.0955761113435062,2.108806657436892e-07,-0.141462478118779,0.0047484983094261,Beta-only
cg23615741,Smoking_Status_Blood,chr10,101297642.0,101297643.0,,,Island,0.2262300927257536,0.0917808459714211,0.9110431229420928,2.2453300535531341e-07,-0.159084304682756,0.0047484983094261,Beta-only
cg06757928,Smoking_Status_Blood,chr1,2811411.0,2811412.0,,,,4.742316423901882e-07,-0.1581659901885876,0.0095937512904718,2.2503896644427219e-07,-0.161985358079413,0.0047484983094261,Common
cg11339839,Smoking_Status_Blood,chr17,77901129.0,77901130.0,,,Island,0.0049221307402069,0.0646814163773826,0.5220288845635375,2.462827919814474e-07,-0.1388359695902737,0.0047925613394491,Beta-only
cg04359840,Smoking_Status_Blood,chr16,17563300.0,17563301.0,XYLT1,Body,,0.0003332365011482,-0.2145152384862611,0.2940808247922249,2.468773741881174e-07,-0.1724833397940584,0.0047925613394491,Beta-only
cg03708590,Smoking_Status_Blood,chr6,151322717.0,151322718.0,MTHFD1L,Body,,4.07571339537705e-07,0.220406571437086,0.0086574673659241,2.662739960993664e-07,0.1886719919731771,0.0049702908938058,Common
