CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,FDR_Beta,P_haEWAS,Effect_haEWAS,FDR_haEWAS,Group
cg02474195,Breast_Cancer_Breast,chr3,43391449.0,43391450.0,SNRK;SNRK,3'UTR;3'UTR,,5.602656125835963e-16,-0.2360367324734314,2.717422684777461e-10,6.724417353598247e-10,0.1837281888517086,4.90674621185379e-06,Common
cg12476754,Breast_Cancer_Breast,chr7,47344750.0,47344751.0,TNS3,Body,,1.690015798510779e-12,-0.1739792318346982,4.020579698811561e-07,9.85740822378881e-10,0.1508077364568293,6.820816624919246e-06,Common
cg26069562,Breast_Cancer_Breast,chr6,29691981.0,29691982.0,HLA-F;HLA-F;HLA-F,Body;Body;Body,Island,2.486833454928969e-12,0.2026773675397851,4.020579698811561e-07,1.0,0.0,1.0,Beta-only
cg20138458,Breast_Cancer_Breast,chr18,74110979.0,74110980.0,ZNF516,Body,N_Shelf,4.081944567465269e-12,0.1820528982609495,4.3277996741816643e-07,1.9062520474490904e-10,0.1780639804921168,1.700080298228319e-06,Common
cg02573873,Breast_Cancer_Breast,chr16,81520244.0,81520245.0,CMIP,Body,,4.461428376927394e-12,-0.1854491706366778,4.3277996741816643e-07,0.0061849883672527,0.0732442208702843,0.1884122406767516,Beta-only
cg01312167,Breast_Cancer_Breast,chr2,54292798.0,54292799.0,,,,1.0236311243827299e-11,-0.1828612647958837,8.274761041210152e-07,4.244366506734623e-10,0.1818041083523705,3.260028117489549e-06,Common
cg11423684,Breast_Cancer_Breast,chr6,29691993.0,29691994.0,HLA-F;HLA-F;HLA-F,Body;Body;Body,Island,1.897092504316743e-11,0.18600078263725,1.314479135448177e-06,1.0,0.0,1.0,Beta-only
cg13402865,Breast_Cancer_Breast,chr1,206671408.0,206671409.0,,,,2.3133731803481032e-11,0.1675800179901224,1.402551891781448e-06,1.7225074791067303e-05,0.1408888912223215,0.0227550797583951,Common
cg23391288,Breast_Cancer_Breast,chr13,49366203.0,49366204.0,,,,3.839751441163477e-11,-0.1646044430872504,1.936668776185456e-06,2.0394470351925442e-08,0.1597225949160162,6.654400639299378e-05,Common
cg14789818,Breast_Cancer_Breast,chr1,227748712.0,227748713.0,,,Island,4.1075585480780636e-11,0.1033008159325063,1.936668776185456e-06,0.0103123314965592,-0.1906748651947923,0.2346970624653577,Beta-only
cg14338062,Breast_Cancer_Breast,chr12,57883279.0,57883280.0,MARS,Body,S_Shore,4.392227299688265e-11,-0.1819493423902743,1.936668776185456e-06,8.099250242203246e-06,0.1214244695547456,0.0045588669000048,Common
cg24973591,Breast_Cancer_Breast,chr4,10079421.0,10079422.0,WDR1;WDR1,Body;Body,Island,8.687049632559851e-11,-0.2394456542493497,3.1857919877623304e-06,5.5222602322341125e-06,0.1721279118781648,0.003540333384988,Common
cg07586285,Breast_Cancer_Breast,chr1,200994978.0,200994979.0,,,S_Shelf,9.404958026739714e-11,-0.1608774394307005,3.1857919877623304e-06,9.431868968836424e-05,-0.1047307329405905,0.0602229120873373,Beta-only
cg00502597,Breast_Cancer_Breast,chr1,60197222.0,60197223.0,FGGY;FGGY,Body;Body,,9.852477365333459e-11,-0.1295079010083909,3.1857919877623304e-06,0.0005448115231596,-0.0774388548758259,0.1402508603599824,Beta-only
cg19589427,Breast_Cancer_Breast,chr1,173019720.0,173019721.0,TNFSF18,Body,,1.2213401188856756e-10,-0.1075107475285857,3.6831432990527536e-06,0.0092119628042875,-0.047265278369033,0.3964502533949361,Beta-only
cg10588135,Breast_Cancer_Breast,chr17,59329903.0,59329904.0,BCAS3;BCAS3,Body;Body,,1.2934155977454359e-10,0.0913325952724844,3.6831432990527536e-06,0.0001026751161629,0.0594346185266074,0.0620783769405505,Beta-only
cg01156844,Breast_Cancer_Breast,chr15,85520317.0,85520318.0,,,N_Shelf,1.3668721420579098e-10,0.1527363016288578,3.6831432990527536e-06,8.784493720729302e-08,-0.1325606904508827,0.0001937077398318,Common
