CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg00000165,Huntingtons_Disease_GSE72778,chr1,91194674,91194675,,,S_Shore,0.0144236041633406,-0.0876508283740767,0.252440895170456,0.0003652800222317,-0.271558886681684,0.020321965654804,Beta-only
cg00001261,Huntingtons_Disease_GSE72778,chr16,3463964,3463965,,,,0.0017640569222943,-0.0961948666450846,0.0832730913979319,1.49855543094518e-06,-0.178729260552603,0.000279519867818,Beta-only
cg00002749,Huntingtons_Disease_GSE72778,chr17,57839538,57839539,TMEM49,Body,,0.0925267939312499,0.117520758978235,0.475223804774081,3.75240755193691e-06,-0.372329248007467,0.0006021374065487,Beta-only
cg00003091,Huntingtons_Disease_GSE72778,chr4,1715004,1715005,SLBP,TSS1500,S_Shore,0.148692885714675,-0.0517255858144848,0.622072691072451,0.0004713047917995,-0.230726325040761,0.0242866265168734,Beta-only
cg00003345,Huntingtons_Disease_GSE72778,chr1,10816499,10816500,CASZ1;CASZ1,5'UTR;5'UTR,,0.0002555613612881,-0.0611375168443059,0.021005774414952,0.513674469568268,0.0204164376382211,0.845862010872401,haEWAS-only
cg00004421,Huntingtons_Disease_GSE72778,chr17,7475079,7475080,EIF4A1;SENP3,TSS1500;3'UTR,N_Shore,0.0992069427673714,-0.10390931853895,0.544731353761428,5.03881533108744e-08,-0.391494782402489,1.63878946869532e-05,Beta-only
cg00004771,Huntingtons_Disease_GSE72778,chr6,72294826,72294827,,,Island,0.0609232882195959,0.104759070609374,0.404054351130736,0.0009625860139786,0.196351642663552,0.0393737493526807,Beta-only
cg00005619,Huntingtons_Disease_GSE72778,chr11,47608722,47608723,FAM180B,Body,N_Shelf,0.0222826501996392,-0.0920737213536476,0.307953781640236,0.0004915967848105,-0.131304549950421,0.0249681328963517,Beta-only
cg00006397,Huntingtons_Disease_GSE72778,chr1,160336699,160336700,NHLH1,TSS200,N_Shelf,0.138938521267217,0.0350287377133885,0.550370762122969,0.0009074044738936,-0.130968052702432,0.0378889941183231,Beta-only
cg00008629,Huntingtons_Disease_GSE72778,chr9,115093661,115093662,ROD1;ROD1;ROD1,Body;Body;5'UTR,N_Shore,0.0068050628905434,0.05382662076501,0.147602089658517,0.0009241310488984,-0.15062489980063,0.0383314235925082,Beta-only
cg00008665,Huntingtons_Disease_GSE72778,chr3,43146780,43146781,C3orf39,5'UTR,N_Shore,0.0003337448978065,-0.0228363068362964,0.0249428986259796,0.220768287069685,-0.0359198589153018,0.646837706707907,haEWAS-only
cg00008800,Huntingtons_Disease_GSE72778,chr2,38710171,38710172,,,,1.0,0.0,1.0,0.0007817532027665,-0.288307980866137,0.0342227053666582,Beta-only
cg00009038,Huntingtons_Disease_GSE72778,chr2,132152167,132152168,,,Island,0.0042367045145966,0.0483811142295353,0.114231610770512,6.49954751736473e-05,-0.146008721204322,0.0057153292043631,Beta-only
cg00010242,Huntingtons_Disease_GSE72778,chr14,81580765,81580766,TSHR,Body,,0.000544143923116,0.160462114675426,0.0337977869965433,0.0495686646354618,-0.0970704163025939,0.35759798527716,haEWAS-only
cg00012343,Huntingtons_Disease_GSE72778,chr6,15556908,15556909,DTNBP1;DTNBP1;DTNBP1,Body;Body;Body,,0.0047423720382147,-0.128715537070272,0.121880898652425,0.0002932071604979,0.168980589156961,0.0173986900335416,Beta-only
cg00013655,Huntingtons_Disease_GSE72778,chr16,629015,629016,PIGQ;PIGQ,Body;Body,N_Shore,0.0002125181887818,-0.358979640183464,0.021922798457436,0.0136638601286584,-0.227967728263281,0.191980653612868,haEWAS-only
cg00014085,Huntingtons_Disease_GSE72778,chr2,85581505,85581506,ELMOD3;ELMOD3;ELMOD3;ELMOD3;RETSAT,TSS1500;TSS1500;TSS1500;TSS1500;1stExon,N_Shore,0.0039002111887447,-0.0339235206029426,0.109196205412684,0.0003449192865393,-0.153518286954314,0.0195179457782063,Beta-only
