CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,FDR_Beta,P_haEWAS,Effect_haEWAS,FDR_haEWAS,Group
cg23977631,Colorectal_Cancer_Intestine,chr2,100938799.0,100938800.0,LONRF2;LONRF2,5'UTR;1stExon,Island,5.322106436798454e-15,0.3155057861770187,2.584287155154846e-09,0.7224857453703197,-0.1189310466142742,0.96886365004134,Beta-only
cg25223771,Colorectal_Cancer_Intestine,chr8,145105503.0,145105504.0,,,Island,1.5500001911890486e-13,0.2651537504016923,3.7632144641840674e-08,1.6470913626802867e-09,0.2275004474517032,0.0002166468682074,Common
cg15103195,Colorectal_Cancer_Intestine,chr7,100797603.0,100797604.0,AP1S1,TSS200,Island,1.3791144417785254e-10,-0.2423570802499493,1.674162185452623e-05,1.3212748061036865e-08,-0.2258798200566036,0.0008414446423002,Common
cg01638311,Colorectal_Cancer_Intestine,chr11,65887103.0,65887104.0,PACS1,Body,,6.005853155093952e-10,-0.3044561914412467,5.477297184351918e-05,0.0154826195836905,-0.2353849348734014,0.4089752294698324,Beta-only
cg07208853,Colorectal_Cancer_Intestine,chr1,200005219.0,200005220.0,NR5A2;NR5A2,Body;Body,S_Shore,7.099615838156235e-10,0.2150422299735317,5.477297184351918e-05,0.0008995626610769,0.1258821018750838,0.15498697046822,Beta-only
cg20636714,Colorectal_Cancer_Intestine,chr10,5476521.0,5476522.0,NET1,Body,,8.246985422384086e-10,-0.4014633755564287,5.477297184351918e-05,2.048140653827087e-05,-0.2953672466221654,0.0338156591573018,Common
cg04453180,Colorectal_Cancer_Intestine,chr5,140856330.0,140856331.0,PCDHGA4;PCDHGA12;PCDHGA11;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGC3;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5;PCDHGC3;PCDHGC3,Body;Body;Body;Body;Body;Body;Body;Body;1stExon;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;1stExon;Body,Island,9.023999842417115e-10,0.214226902252211,5.477297184351918e-05,0.1982729619618518,0.1394988517457575,0.7914611849633775,Beta-only
cg16573178,Colorectal_Cancer_Intestine,chr1,49242519.0,49242520.0,BEND5;AGBL4;BEND5,1stExon;Body;5'UTR,Island,1.2164745857148366e-09,0.2674422036473017,6.563231815922973e-05,1.0,0.0,1.0,Beta-only
cg06100166,Colorectal_Cancer_Intestine,chr3,49377028.0,49377029.0,USP4;USP4,Body;Body,N_Shore,1.3641869286450418e-09,-0.420359118216309,6.624164320637448e-05,6.795457234178249e-08,-0.3818957614373151,0.0012825821532934,Common
cg11666087,Colorectal_Cancer_Intestine,chr1,49242513.0,49242514.0,BEND5;AGBL4;BEND5,1stExon;Body;5'UTR,Island,1.8538121551199222e-09,0.2570204795423414,8.183333554859196e-05,0.6674804100160969,0.0499674736104255,0.9630111566185464,Beta-only
cg07219542,Colorectal_Cancer_Intestine,chr1,110210770.0,110210771.0,GSTM2;GSTM2,1stExon;1stExon,Island,2.109693676498064e-09,0.2942508964245707,8.536805138826865e-05,0.0096328040738416,0.2715200438849353,0.3469771190371316,Beta-only
cg14420953,Colorectal_Cancer_Intestine,chr6,36558154.0,36558155.0,,,N_Shelf,2.891132168278201e-09,-0.1914488428621868,0.0001079895687495,0.010964528503945,-0.076450858362408,0.368489105002196,Beta-only
cg12516875,Colorectal_Cancer_Intestine,chr22,46463543.0,46463544.0,,,N_Shelf,4.223103269912318e-09,0.2427603430390326,0.0001464741138136,7.374931473957299e-07,0.2238443863299059,0.0053891492309112,Common
cg19713947,Colorectal_Cancer_Intestine,chr1,200005635.0,200005636.0,NR5A2;NR5A2,Body;Body,S_Shore,7.262644642219096e-09,0.257561709265413,0.0002351043956526,6.464234849745551e-06,0.2164971789355149,0.0184839174454691,Common
