CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg00435616,Adolescent_Victimization_GSE154566,7,1080473.0,1080474.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,N_Shore,1.42742841573407e-08,-0.396194696219529,0.0029443042540927,3.60865496197329e-07,-0.311489977936375,0.0114137491673169,Common
cg00440797,Adolescent_Victimization_GSE154566,6,32493873.0,32493874.0,HLA-DRB5,Body,S_Shelf,1.0,0.0,1.0,3.2576015204163e-07,-0.35662076585464,0.0110141945206378,Beta-only
cg00460155,Adolescent_Victimization_GSE154566,3,27448700.0,27448701.0,SLC4A7;SLC4A7;SLC4A7,Body;Body;Body,,0.0005835554423725,0.0833216512099609,0.409082667469101,3.33506028705589e-06,-0.172301239598947,0.0301440895754942,Beta-only
cg00505327,Adolescent_Victimization_GSE154566,5,161113000.0,161113001.0,GABRA6,1stExon,,1.13994522289292e-06,-0.122231739845723,0.0213756655751793,2.3923768986603e-06,-0.107712723079759,0.0268499546274579,Common
cg00704224,Adolescent_Victimization_GSE154566,2,151227699.0,151227700.0,,,,3.80142074425755e-06,0.116161565211353,0.0392052559187638,9.41391736146045e-07,0.118094854707441,0.0179484504351217,Common
cg00738919,Adolescent_Victimization_GSE154566,7,1100172.0,1100173.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,S_Shelf,1.14284879662654e-07,0.435244104343008,0.0065842377636181,6.94745707692479e-06,0.35350881951158,0.0473948710555381,Common
cg00876757,Adolescent_Victimization_GSE154566,16,33483591.0,33483592.0,,,S_Shore,9.49560617858197e-08,-0.248539308408002,0.0065634071677528,2.93966271415829e-08,-0.2574440177889,0.0028066499016775,Common
cg00910107,Adolescent_Victimization_GSE154566,17,81032839.0,81032840.0,,,Island,1.0,0.0,1.0,2.29615752845371e-06,-0.360591897326648,0.0267847393397701,Beta-only
cg01440309,Adolescent_Victimization_GSE154566,20,13228392.0,13228393.0,ISM1,Body,,6.07693504239212e-06,-0.0611332032056113,0.112261283188638,2.82089236131586e-06,-0.111385293385153,0.0292966091842367,Beta-only
cg01904977,Adolescent_Victimization_GSE154566,12,103816964.0,103816965.0,C12orf42;C12orf42;C12orf42;C12orf42;C12orf42,Body;Body;Body;5'UTR;5'UTR,,9.4467699656755e-05,-0.100198817271599,0.181816120341707,3.68494026248319e-06,-0.11727396315239,0.0312695941781065,Beta-only
cg02218884,Adolescent_Victimization_GSE154566,11,627582.0,627583.0,SCT,TSS1500,Island,1.0,0.0,1.0,6.62812398037419e-06,0.238699274065294,0.0461207402175969,Beta-only
cg02269223,Adolescent_Victimization_GSE154566,22,46812391.0,46812392.0,CELSR1,Body,,4.13498258841764e-06,-0.0770218518825251,0.0957777402408119,3.30681176640018e-06,0.185164736657893,0.0301440895754942,Beta-only
cg02327257,Adolescent_Victimization_GSE154566,15,23908757.0,23908758.0,,,,3.09087028400668e-06,-0.124966678742481,0.0367692647237217,3.34911111528142e-06,-0.130580262002577,0.0301440895754942,Common
cg02332902,Adolescent_Victimization_GSE154566,7,1103177.0,1103178.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,N_Shelf,2.03604085636179e-08,0.484704884650434,0.0031497501146895,9.81795950880495e-06,0.268810244718235,0.056535062687194,haEWAS-only
cg02644728,Adolescent_Victimization_GSE154566,11,83324374.0,83324375.0,DLG2;DLG2;DLG2;DLG2;DLG2;DLG2,Body;Body;Body;Body;Body;Body,,0.114728260025411,0.0223536352146952,0.79116265968669,1.49633899154487e-06,0.121599918809668,0.0226348596922312,Beta-only
cg02675175,Adolescent_Victimization_GSE154566,1,152285998.0,152285999.0,FLG;FLG-AS1,Body;Body,,1.0,0.0,1.0,3.40966971159929e-06,0.0693206796368213,0.0301440895754942,Beta-only
cg02733842,Adolescent_Victimization_GSE154566,7,1102375.0,1102376.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,N_Shelf,5.16187983589436e-07,0.137554840986906,0.0129547151002042,0.0001512087046075,0.12953274289383,0.18235036007255,haEWAS-only
cg03435244,Adolescent_Victimization_GSE154566,1,245419967.0,245419968.0,KIF26B,Body,,1.05347413708565e-05,0.168342891849997,0.068739155573332,4.87087249450819e-06,0.129275109838627,0.0360565818228044,Beta-only
cg03496220,Adolescent_Victimization_GSE154566,16,1029745.0,1029746.0,,,N_Shore,1.66980091595662e-06,0.191726694998358,0.0287019760275845,3.39413276585666e-06,0.0967941288836809,0.0301440895754942,Common
cg03671052,Adolescent_Victimization_GSE154566,5,180086260.0,180086261.0,,,,3.22578538477665e-06,-0.159210297968938,0.0369650513021186,1.65086542417508e-05,-0.198404656968081,0.072756579108371,haEWAS-only
