CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,FDR_Beta,P_haEWAS,Effect_haEWAS,FDR_haEWAS,Group
cg07741624,Arthritis_Blood,chr11,2309813,2309814,,,,2.5166195311358237e-09,0.1327144644833652,0.0011026757222136,5.292051060649819e-09,-0.1160322013016284,0.0012734403588603,Common
cg27631389,Arthritis_Blood,chr11,12263892,12263893,MICAL2,Body,,5.968215230516419e-09,0.067660664356759,0.0017414997911546,2.118887403241232e-06,0.0550128029100169,0.0371943569886968,Common
cg25612754,Arthritis_Blood,chr7,948567,948568,ADAP1,Body,Island,7.949195397338551e-09,0.1531221313631116,0.0017414997911546,1.3315827635725768e-05,-0.1191221165482213,0.0429388286256085,Common
cg24390233,Arthritis_Blood,chr8,98788236,98788237,LAPTM4B,1stExon,Island,4.1462357094221386e-08,-0.3802184687848067,0.0059715111350733,0.1475755688602472,-0.1388838000371947,0.7949435127945695,Beta-only
cg09147938,Arthritis_Blood,chr8,43418406,43418407,,,,4.329343327420012e-08,-0.1463551193661086,0.0059715111350733,0.0002949036119122,0.0953374205174558,0.1567085741733896,Beta-only
cg22941054,Arthritis_Blood,chr7,150871421,150871422,,,Island,5.0203000352322186e-08,-0.1679032096033527,0.0059715111350733,0.00502645120487,0.0785166709260609,0.3810738365777453,Beta-only
cg09255154,Arthritis_Blood,chr20,21000809,21000810,,,Island,5.676913537372488e-08,-0.1783602681212512,0.0059715111350733,0.0250575646851689,-0.1618618712086904,0.6099387979850781,Beta-only
cg01739831,Arthritis_Blood,chr16,89922539,89922540,SPIRE2,Body,S_Shore,8.981953705759597e-08,0.0588864660534743,0.0059715111350733,4.247383365689117e-06,0.0448535893939471,0.0476436557642661,Common
cg00128506,Arthritis_Blood,chr8,8641298,8641299,,,,9.82006310026968e-08,0.4091993264137309,0.0059715111350733,1.0458249796899409e-07,0.39909115751677,0.0093765122912306,Common
cg23620184,Arthritis_Blood,chr14,23772616,23772617,PPP1R3E,TSS1500,S_Shore,1.0013574239926765e-07,0.0369772361535088,0.0059715111350733,0.0040913118935204,-0.0169681843627717,0.357807906388899,Beta-only
