CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg26033520,BMI_Blood,chr10,74004071.0,74004072.0,,,,1.225342050709853e-16,-0.1957054507476316,9.062102909968268e-11,6.277009226263646e-16,0.1815316725120347,5.604195438328122e-10,Common
cg02268192,BMI_Blood,chr14,92981666.0,92981667.0,RIN3,Body,S_Shore,5.239416207771766e-07,0.0616734961447228,0.0508768002775744,2.1558640868859963e-08,0.0683620326579169,0.0096239174150247,Beta-only
cg13209475,BMI_Blood,chr1,234979009.0,234979010.0,,,,1.725826564130003e-07,-0.0612672800928627,0.0442474397161098,4.683782750593921e-08,-0.0646334263082132,0.010454355322265,Common
cg14840264,BMI_Blood,chr14,71885890.0,71885891.0,,,,0.000259973795773,-0.0550916104816724,0.3178474463247108,1.228613785410463e-07,-0.0807637155497577,0.0219384471918734,Beta-only
cg10952141,BMI_Blood,chr5,175128261.0,175128262.0,,,,7.155285406216533e-07,-0.1522596601963171,0.0537494209355613,1.966269336951105e-07,-0.1606534159258091,0.027209237829089,Beta-only
cg11421620,BMI_Blood,chr1,71413846.0,71413847.0,PTGER3;PTGER3;PTGER3;PTGER3;PTGER3;PTGER3,3'UTR;Body;Body;Body;Body;Body,,1.0,0.0,1.0,2.1718211625165186e-07,-0.0890634129708041,0.027209237829089,Beta-only
cg05726208,BMI_Blood,chr11,129817871.0,129817872.0,PRDM10;PRDM10;PRDM10;PRDM10,TSS1500;TSS1500;Body;Body,,5.598808712298232e-07,-0.1087877876907998,0.0508768002775744,2.438068247580544e-07,-0.1144600551009288,0.027209237829089,Beta-only
cg14331609,BMI_Blood,chr9,75000370.0,75000371.0,,,,1.8771322669633445e-06,-0.0959307109845829,0.0787084961211008,3.256796552591541e-07,-0.0968044399948656,0.0323078922278767,Beta-only
cg05744184,BMI_Blood,chr17,40463806.0,40463807.0,STAT5A,3'UTR,N_Shore,1.805924554228493e-05,0.0435764807278384,0.1587238868480254,4.231033556461709e-07,0.0518771246865282,0.0377752176264524,Beta-only
cg18327061,BMI_Blood,chr8,62200380.0,62200381.0,CLVS1,TSS200,,7.69815024383016e-08,0.0930073594927257,0.0284661044993815,0.0097001992358032,0.0786661474025855,0.6066866174054177,haEWAS-only
cg03218374,BMI_Blood,chr20,896981.0,896982.0,ANGPT4,TSS200,,2.188858176840781e-07,0.1106604798551783,0.0442474397161098,0.0178874372430067,0.0576490943874796,0.6686724710881918,haEWAS-only
cg10601624,BMI_Blood,chr12,6404377.0,6404378.0,,,S_Shelf,2.1188021014400697e-07,-0.0746168066633196,0.0442474397161098,0.0349297366981369,-0.058827071532627,0.7379423464772437,haEWAS-only
