CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg00435616,Adolescent_Victimization_GSE154566,7,1080473.0,1080474.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,N_Shore,3.60865496197329e-07,-0.311489977936375,1.42742841573407e-08,-0.396194696219529,Common
cg00440797,Adolescent_Victimization_GSE154566,6,32493873.0,32493874.0,HLA-DRB5,Body,S_Shelf,3.2576015204163e-07,-0.35662076585464,1.0,0.0,EWAS-specific
cg00460155,Adolescent_Victimization_GSE154566,3,27448700.0,27448701.0,SLC4A7;SLC4A7;SLC4A7,Body;Body;Body,,3.33506028705589e-06,-0.172301239598947,0.0005835554423725,0.0833216512099609,EWAS-specific
cg00505327,Adolescent_Victimization_GSE154566,5,161113000.0,161113001.0,GABRA6,1stExon,,2.3923768986603e-06,-0.107712723079759,1.13994522289292e-06,-0.122231739845723,Common
cg00704224,Adolescent_Victimization_GSE154566,2,151227699.0,151227700.0,,,,9.41391736146045e-07,0.118094854707441,3.80142074425755e-06,0.116161565211353,Common
cg00738919,Adolescent_Victimization_GSE154566,7,1100172.0,1100173.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,S_Shelf,6.94745707692479e-06,0.35350881951158,1.14284879662654e-07,0.435244104343008,Common
cg00876757,Adolescent_Victimization_GSE154566,16,33483591.0,33483592.0,,,S_Shore,2.93966271415829e-08,-0.2574440177889,9.49560617858197e-08,-0.248539308408002,Common
cg00910107,Adolescent_Victimization_GSE154566,17,81032839.0,81032840.0,,,Island,2.29615752845371e-06,-0.360591897326648,1.0,0.0,EWAS-specific
cg01440309,Adolescent_Victimization_GSE154566,20,13228392.0,13228393.0,ISM1,Body,,2.82089236131586e-06,-0.111385293385153,6.07693504239212e-06,-0.0611332032056113,EWAS-specific
cg01904977,Adolescent_Victimization_GSE154566,12,103816964.0,103816965.0,C12orf42;C12orf42;C12orf42;C12orf42;C12orf42,Body;Body;Body;5'UTR;5'UTR,,3.68494026248319e-06,-0.11727396315239,9.4467699656755e-05,-0.100198817271599,EWAS-specific
cg02218884,Adolescent_Victimization_GSE154566,11,627582.0,627583.0,SCT,TSS1500,Island,6.62812398037419e-06,0.238699274065294,1.0,0.0,EWAS-specific
cg02269223,Adolescent_Victimization_GSE154566,22,46812391.0,46812392.0,CELSR1,Body,,3.30681176640018e-06,0.185164736657893,4.13498258841764e-06,-0.0770218518825251,EWAS-specific
cg02327257,Adolescent_Victimization_GSE154566,15,23908757.0,23908758.0,,,,3.34911111528142e-06,-0.130580262002577,3.09087028400668e-06,-0.124966678742481,Common
cg02332902,Adolescent_Victimization_GSE154566,7,1103177.0,1103178.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,N_Shelf,9.81795950880495e-06,0.268810244718235,2.03604085636179e-08,0.484704884650434,haEWAS-specific
cg02644728,Adolescent_Victimization_GSE154566,11,83324374.0,83324375.0,DLG2;DLG2;DLG2;DLG2;DLG2;DLG2,Body;Body;Body;Body;Body;Body,,1.49633899154487e-06,0.121599918809668,0.114728260025411,0.0223536352146952,EWAS-specific
cg02675175,Adolescent_Victimization_GSE154566,1,152285998.0,152285999.0,FLG;FLG-AS1,Body;Body,,3.40966971159929e-06,0.0693206796368213,1.0,0.0,EWAS-specific
cg02733842,Adolescent_Victimization_GSE154566,7,1102375.0,1102376.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,N_Shelf,0.0001512087046075,0.12953274289383,5.16187983589436e-07,0.137554840986906,haEWAS-specific
cg03435244,Adolescent_Victimization_GSE154566,1,245419967.0,245419968.0,KIF26B,Body,,4.87087249450819e-06,0.129275109838627,1.05347413708565e-05,0.168342891849997,EWAS-specific
cg03496220,Adolescent_Victimization_GSE154566,16,1029745.0,1029746.0,,,N_Shore,3.39413276585666e-06,0.0967941288836809,1.66980091595662e-06,0.191726694998358,Common
cg03671052,Adolescent_Victimization_GSE154566,5,180086260.0,180086261.0,,,,1.65086542417508e-05,-0.198404656968081,3.22578538477665e-06,-0.159210297968938,haEWAS-specific
cg03821689,Adolescent_Victimization_GSE154566,11,117748187.0,117748188.0,FXYD6;FXYD6;FXYD6;FXYD6;FXYD6,TSS1500;TSS1500;TSS1500;TSS1500;TSS200,S_Shore,4.6234998125038e-06,0.110743618710943,1.60721420287845e-05,0.132229121152591,EWAS-specific
cg03916490,Adolescent_Victimization_GSE154566,7,1080558.0,1080559.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,N_Shore,1.42319927306632e-08,-0.568107606535538,1.43194259190601e-10,-0.690760567075564,Common
cg03986562,Adolescent_Victimization_GSE154566,16,7703893.0,7703894.0,A2BP1;A2BP1;A2BP1;A2BP1;A2BP1;A2BP1,Body;Body;Body;Body;Body;Body,Island,1.92581795417327e-06,0.300847427654558,4.84565821195051e-06,-0.306003241114528,EWAS-specific
cg03991534,Adolescent_Victimization_GSE154566,2,218182275.0,218182276.0,DIRC3,Body,,2.35682233528058e-06,0.095602483824306,4.35131679153884e-07,-0.0942151628158728,Common
cg04036182,Adolescent_Victimization_GSE154566,15,45458818.0,45458819.0,,,Island,7.98181894936644e-07,-0.145531235301209,6.88324239175247e-07,-0.124231429252875,Common
cg04044120,Adolescent_Victimization_GSE154566,11,73668757.0,73668758.0,DNAJB13,Body,,1.87430977801485e-06,0.226414941225397,7.39670230992071e-06,-0.134198040641422,EWAS-specific
cg04248312,Adolescent_Victimization_GSE154566,19,17393744.0,17393745.0,ANKLE1,Body,Island,5.83754811924951e-07,-0.208948403409413,1.69778084734677e-05,-0.092954664891788,EWAS-specific
cg04383715,Adolescent_Victimization_GSE154566,16,34209247.0,34209248.0,,,Island,4.58311623377051e-06,-0.131514381543486,1.0,0.0,EWAS-specific
cg04811114,Adolescent_Victimization_GSE154566,1,202172778.0,202172779.0,LGR6;LGR6,TSS200;Body,,1.93255216728809e-07,-0.271052622071318,1.27684196586319e-07,-0.234231134957999,Common
cg04870483,Adolescent_Victimization_GSE154566,16,86553722.0,86553723.0,,,S_Shelf,1.26905511152253e-06,-0.16228994404363,0.0349538463159729,-0.0324879307442437,EWAS-specific
cg05275595,Adolescent_Victimization_GSE154566,19,43857874.0,43857875.0,CD177,1stExon,,2.6637767939216e-06,0.197544459293879,4.12840541050578e-07,0.222429991233155,Common
cg05288655,Adolescent_Victimization_GSE154566,12,113520694.0,113520695.0,DTX1,Body,,9.68008185340182e-07,0.340468365261638,5.7159878837291e-05,0.263462544951149,EWAS-specific
cg05385306,Adolescent_Victimization_GSE154566,4,156787741.0,156787742.0,ACCN5,TSS1500,,3.96343868588742e-07,0.131764864437979,1.0,0.0,EWAS-specific
cg05430257,Adolescent_Victimization_GSE154566,12,12218620.0,12218621.0,,,,8.7311037015238e-09,0.122993630386568,1.0,0.0,EWAS-specific
cg05679504,Adolescent_Victimization_GSE154566,7,37350464.0,37350465.0,ELMO1;ELMO1;ELMO1,Body;Body;Body,,6.69653364607087e-08,-0.220090702564652,1.39677443618775e-07,-0.202178019332845,Common
cg06112163,Adolescent_Victimization_GSE154566,6,11415116.0,11415117.0,,,,1.04266663787276e-05,0.0976533771678358,3.10166919755973e-08,0.119847462863881,haEWAS-specific
cg06366587,Adolescent_Victimization_GSE154566,13,31675882.0,31675883.0,,,,2.48264054212736e-08,0.1515869307605,4.40479086463241e-06,0.123375475957482,Common
cg06815077,Adolescent_Victimization_GSE154566,1,238632927.0,238632928.0,,,,3.63713568240988e-06,-0.189903545012045,2.50586735378178e-06,-0.168042313211409,Common
cg06822689,Adolescent_Victimization_GSE154566,3,141516291.0,141516292.0,GRK7,Body,Island,5.75685864177356e-05,-0.10812734468987,3.13662386738654e-06,-0.102131561878055,haEWAS-specific
cg06898225,Adolescent_Victimization_GSE154566,2,102234069.0,102234070.0,,,,3.74142201736147e-08,0.272816354941623,0.140187731622291,0.0148215610438682,EWAS-specific
cg07007382,Adolescent_Victimization_GSE154566,6,32578070.0,32578071.0,,,,3.18887503156095e-06,-0.239440453132885,2.61264060132299e-05,-0.188151650433576,EWAS-specific
cg07038243,Adolescent_Victimization_GSE154566,5,149868855.0,149868856.0,,,S_Shelf,9.02641269469143e-07,-0.186175377376621,4.82386756155372e-07,-0.184995325633302,Common
cg07421595,Adolescent_Victimization_GSE154566,9,34663026.0,34663027.0,CCL27,TSS1500,N_Shore,1.45351696116189e-05,0.128393923496872,2.26955880516256e-07,-0.0505209571205481,haEWAS-specific
cg07461715,Adolescent_Victimization_GSE154566,19,57989332.0,57989333.0,ZNF772;ZNF772,TSS1500;TSS1500,,7.96428953037182e-07,0.320430460270064,1.10395367053882e-06,-0.195036478968335,Common
cg07718431,Adolescent_Victimization_GSE154566,3,187754372.0,187754373.0,,,,2.51657420574092e-07,-0.299402449569573,3.76185129918028e-07,-0.295171051961024,Common
