CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg27594583,Alcohol_Use_in_Pregnancy_Blood,chr7,150716029,150716030,ATG9B,Body,Island,1.7997600651661723e-14,0.3292028865722594,1.0,0.0,EWAS-specific
cg18590995,Alcohol_Use_in_Pregnancy_Blood,chr1,226558496,226558497,PARP1,Body,,4.113878557576362e-14,-0.3304067734205957,0.1682777414157147,0.0414535386610279,EWAS-specific
cg22791905,Alcohol_Use_in_Pregnancy_Blood,chr1,94050746,94050747,BCAR3;BCAR3;BCAR3;BCAR3;BCAR3,TSS200;Body;Body;Body;Body,,2.48348608344164e-13,-0.268531944695073,0.0003065451238288,-0.3586636022571045,EWAS-specific
cg10836755,Alcohol_Use_in_Pregnancy_Blood,chr1,226546944,226546945,,,,5.036528974495456e-12,-0.3130642527138886,0.7071525144672224,-0.0149826230689936,EWAS-specific
cg13348733,Alcohol_Use_in_Pregnancy_Blood,chr4,148649246,148649247,,,N_Shelf,1.870980113343413e-11,-0.3048580215729949,0.4639775245725738,-0.0261430637819389,EWAS-specific
cg09218957,Alcohol_Use_in_Pregnancy_Blood,chr20,62314215,62314216,RTEL1-TNFRSF6B;RTEL1;RTEL1;RTEL1;RTEL1,Body;Body;Body;Body;Body,N_Shelf,2.1171079262219475e-11,0.2222654083308621,4.838227153042888e-12,0.2144554960181513,Common
cg18593331,Alcohol_Use_in_Pregnancy_Blood,chr8,143170499,143170500,,,,2.5215739077177767e-11,-0.2647683068421012,1.8260791540412048e-10,0.250246579705177,Common
cg24050579,Alcohol_Use_in_Pregnancy_Blood,chr13,34574802,34574803,,,,5.478446399308236e-11,-0.2266822542179471,6.8886479441344515e-09,-0.1922565261760198,Common
cg05523652,Alcohol_Use_in_Pregnancy_Blood,chr6,134861612,134861613,LOC101928304;LOC101928304,TSS1500;TSS1500,,6.841063029839292e-11,-0.2732950883156787,0.3458741881949708,-0.2168840047259372,EWAS-specific
cg10625365,Alcohol_Use_in_Pregnancy_Blood,chr1,168196658,168196659,SFT2D2,Body,S_Shore,7.558013500875066e-11,0.2975494796543236,7.519070703712964e-06,0.2059501366204516,Common
cg24259147,Alcohol_Use_in_Pregnancy_Blood,chr14,23016326,23016327,,,,7.644924070424833e-11,-0.1610677430166595,0.005935392735879,-0.0754207326610098,EWAS-specific
cg05892806,Alcohol_Use_in_Pregnancy_Blood,chr13,114305746,114305747,ATP4B,Body,S_Shelf,7.953824594634189e-11,0.2679610178509792,1.6360599463063932e-11,-0.2848498022727221,Common
cg24092050,Alcohol_Use_in_Pregnancy_Blood,chr4,515567,515568,PIGG;PIGG,Body;Body,,8.914705323970135e-11,-0.2731544331360424,1.0,0.0,EWAS-specific
cg04419557,Alcohol_Use_in_Pregnancy_Blood,chr6,111302727,111302728,RPF2;RPF2,TSS1500;TSS1500,N_Shore,1.4361559121597488e-10,-0.2872295665966342,2.507875095405758e-11,-0.2927880693668403,Common
cg04048270,Alcohol_Use_in_Pregnancy_Blood,chr10,108332979,108332980,,,,1.517441365288048e-10,-0.2466823056996373,0.0020277567583671,0.1203608562549397,EWAS-specific
cg17638841,Alcohol_Use_in_Pregnancy_Blood,chr11,8832817,8832818,ST5;ST5;ST5;ST5,1stExon;5'UTR;TSS1500;5'UTR,,2.609105065980202e-10,-0.2530650377396596,7.060996115430692e-07,0.1982128055011652,Common
cg05213296,Alcohol_Use_in_Pregnancy_Blood,chr6,111302729,111302730,RPF2,TSS1500,N_Shore,2.7080115673588444e-10,-0.2792884517595521,3.6438692148733495e-12,-0.3012833355573038,Common
cg14502431,Alcohol_Use_in_Pregnancy_Blood,chr9,140937920,140937921,CACNA1B,Body,N_Shelf,3.4297288918716084e-10,-0.2151079132979926,1.0,0.0,EWAS-specific
cg21917405,Alcohol_Use_in_Pregnancy_Blood,chr6,111302637,111302638,RPF2;RPF2,TSS1500;TSS1500,N_Shore,4.5398853954526636e-10,-0.2799927288989535,7.169762506789384e-06,-0.2087984510065787,Common
cg11291798,Alcohol_Use_in_Pregnancy_Blood,chr7,143103859,143103860,EPHA1,Body,,5.177802508361725e-10,-0.2680295760306448,1.0,0.0,EWAS-specific
cg27097788,Alcohol_Use_in_Pregnancy_Blood,chr4,8178721,8178722,,,,5.345001429464993e-10,-0.2552916875148259,0.0015590029296257,-0.2740231074733788,EWAS-specific
cg11807238,Alcohol_Use_in_Pregnancy_Blood,chr6,32814942,32814943,TAP1,Body,S_Shelf,6.897776862692695e-10,-0.2806654643150688,1.0,0.0,EWAS-specific
cg12121080,Alcohol_Use_in_Pregnancy_Blood,chr6,32800427,32800428,TAP2;TAP2,Body;Body,,7.06214114257553e-10,-0.2834878830845776,1.0,0.0,EWAS-specific
cg21380883,Alcohol_Use_in_Pregnancy_Blood,chr8,143824491,143824492,SLURP1,TSS1500,S_Shelf,7.17122747738508e-10,-0.244874984540743,7.420877524075284e-06,0.1633710032293246,Common
cg08516018,Alcohol_Use_in_Pregnancy_Blood,chr2,239564752,239564753,,,,9.680946467692236e-10,-0.2681706085268582,5.913132742296376e-08,-0.2297919455853723,Common
cg10744079,Alcohol_Use_in_Pregnancy_Blood,chr14,76819370,76819371,,,Island,1.049731838911113e-09,0.2713777113562028,0.6034246928329299,0.0213297336946164,EWAS-specific
cg09043524,Alcohol_Use_in_Pregnancy_Blood,chr22,19891284,19891285,TXNRD2,Body,N_Shelf,1.3951966112072247e-09,-0.2504997172197719,1.0,0.0,EWAS-specific
cg19682573,Alcohol_Use_in_Pregnancy_Blood,chr17,41464902,41464903,LINC00910;LINC00910,Body;Body,,1.5928358756387534e-09,-0.2483648915773921,0.8507188755900223,0.0065963383996179,EWAS-specific
cg11825694,Alcohol_Use_in_Pregnancy_Blood,chr10,6067872,6067873,IL2RA;IL2RA;IL2RA,Body;Body;Body,,1.646162196031868e-09,-0.2140027177890197,0.0515729522989324,-0.0646052816218933,EWAS-specific
cg10842456,Alcohol_Use_in_Pregnancy_Blood,chr13,50805081,50805082,DLEU1,Body,,1.726176903287633e-09,-0.2365937203823962,0.5695783937733087,-0.0183332651375486,EWAS-specific
cg14799277,Alcohol_Use_in_Pregnancy_Blood,chr5,72602175,72602176,,,S_Shelf,2.1122998428981e-09,-0.2109291547091603,0.3399581244512905,0.0424181100572858,EWAS-specific
cg07156249,Alcohol_Use_in_Pregnancy_Blood,chr6,32822911,32822912,PSMB9;PSMB9;TAP1,Body;Body;TSS1500,S_Shore,2.7915049179260867e-09,-0.1377574970427058,1.0,0.0,EWAS-specific
cg09904510,Alcohol_Use_in_Pregnancy_Blood,chr5,135219571,135219572,SLC25A48,Body,,3.6531395787676323e-09,-0.277691168547401,0.3507423205014556,-0.0436262261389826,EWAS-specific
cg10704678,Alcohol_Use_in_Pregnancy_Blood,chr3,44928045,44928046,TGM4,Body,,3.835912571450287e-09,-0.2254360835038401,4.613955280060737e-07,-0.1832777150126396,Common
cg04318928,Alcohol_Use_in_Pregnancy_Blood,chr4,185205651,185205652,,,,4.068820685187526e-09,-0.2417456710770654,1.5621478520399432e-08,-0.2249699002532186,Common
cg05117183,Alcohol_Use_in_Pregnancy_Blood,chr2,26839148,26839149,CIB4,Body,,4.319963717455174e-09,-0.2504026718699632,0.3284653170818678,0.1705750631373206,EWAS-specific
cg20671702,Alcohol_Use_in_Pregnancy_Blood,chr16,28855797,28855798,TUFM;MIR4721,Body;TSS1500,N_Shore,4.5437562659174755e-09,-0.2282458301556858,1.0,0.0,EWAS-specific
cg02208358,Alcohol_Use_in_Pregnancy_Blood,chr10,73638111,73638112,,,,5.0945832303447715e-09,-0.2319921894705963,9.607483613414728e-07,-0.1898754330019325,Common
cg26901915,Alcohol_Use_in_Pregnancy_Blood,chr1,54689333,54689334,,,,6.007078796896897e-09,-0.2537215265633314,1.0,0.0,EWAS-specific
cg10933323,Alcohol_Use_in_Pregnancy_Blood,chr9,126414330,126414331,DENND1A;DENND1A,Body;Body,,7.524883119203572e-09,-0.2400024165567083,0.0342364091453526,-0.0714717296751552,EWAS-specific
cg07024907,Alcohol_Use_in_Pregnancy_Blood,chr19,2787686,2787687,THOP1,Body,S_Shore,7.767348802958148e-09,-0.2407082484071658,0.6999704355307164,-0.0150218508084425,EWAS-specific
cg07196514,Alcohol_Use_in_Pregnancy_Blood,chr1,158984321,158984322,IFI16,5'UTR,,1.0160253478359024e-08,-0.248136882387645,0.0193007474830938,-0.3148332273126253,EWAS-specific
