CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,FDR_Beta,P_haEWAS,Effect_haEWAS,FDR_haEWAS,Group
cg23479922,HIV_Blood,chr5,16179633,16179634,MARCH11,1stExon,Island,4.920979046416117e-11,0.2027333048073457,2.3886629130465688e-05,1.6756338218984003e-08,0.1681367515732421,0.0022410261860833,Common
cg08641278,HIV_Blood,chr10,73848764,73848765,SPOCK2;SPOCK2;SPOCK2;SPOCK2,1stExon;5'UTR;1stExon;5'UTR,S_Shore,8.109720447942293e-09,0.1544042760657067,0.0013603725501084,1.642249699813451e-07,0.1329228658313758,0.0039193007570291,Common
cg26690592,HIV_Blood,chr11,19261879,19261880,E2F8,5'UTR,N_Shore,8.407672063529027e-09,-0.2133155929998705,0.0013603725501084,2.7543238979477124e-11,-0.2294705742822401,3.505767724865467e-06,Common
cg24142603,HIV_Blood,chr8,72753888,72753889,MSC,3'UTR,Island,2.7869153644959882e-08,-0.1675371898420221,0.0033819496639695,0.0014361728170952,0.1244278014540393,0.2900256962362186,Beta-only
cg06710694,HIV_Blood,chr22,29729314,29729315,AP1B1;AP1B1;SNORD125;AP1B1,Body;Body;TSS200;Body,,3.677916469146192e-08,0.1353366491601851,0.0035705507315788,0.0001516691723415,-0.0929502948476256,0.136382166069202,Beta-only
cg00349895,HIV_Blood,chr4,154073501,154073502,TRIM2,TSS1500,N_Shore,4.4464742978335546e-08,-0.1786146062459656,0.0035972273501093,0.0002795439406741,-0.1185679828812698,0.2199221512566795,Beta-only
cg02388054,HIV_Blood,chr16,85524230,85524231,,,,1.5755826454271888e-07,0.2896119491579335,0.007398974577356,3.979675151742098e-07,-0.2756370873399386,0.0054272393488116,Common
cg23795217,HIV_Blood,chr12,54812000,54812001,ITGA5,Body,Island,1.597337809883485e-07,0.2511096557372604,0.007398974577356,0.0026351441748474,0.1352527939134617,0.3985255773453958,Beta-only
cg07437360,HIV_Blood,chr11,130413263,130413264,,,N_Shelf,1.639282600415839e-07,0.1428436035528341,0.007398974577356,0.3012416439871314,-0.0510433093361125,0.917063147206316,Beta-only
cg16205389,HIV_Blood,chr2,239079215,239079216,ILKAP,Body,,1.6552430541580486e-07,0.2268034643606636,0.007398974577356,1.936298848864908e-05,0.1466129563146009,0.1070803085392356,Beta-only
cg11556592,HIV_Blood,chr17,79283300,79283301,C17orf55,TSS1500,N_Shore,1.6767212538610448e-07,-0.2541251996006886,0.007398974577356,0.0010893833663807,-0.0984563022260241,0.2668234575384157,Beta-only
cg20141359,HIV_Blood,chr6,29325117,29325118,OR5V1,TSS1500,,1.8610279432508765e-07,0.2634016997998979,0.0075279200647145,1.0,0.0,1.0,Beta-only
cg26790059,HIV_Blood,chr5,156772562,156772563,CYFIP2;C5orf40;CYFIP2;CYFIP2;C5orf40,Body;1stExon;Body;Body;5'UTR,,3.93037534253509e-07,-0.1165689514161477,0.0135376437345841,0.0309460715697825,-0.1104191539764735,0.6662812072120156,Beta-only
cg08053523,HIV_Blood,chr2,220026863,220026864,NHEJ1;SLC23A3;SLC23A3;SLC23A3,TSS1500;Body;Body;Body,S_Shore,4.183415382212804e-07,0.2027133670985737,0.0135376437345841,3.009132477401292e-06,0.1613150080178838,0.0482936874951124,Common
cg20384132,HIV_Blood,chr5,36302349,36302350,RANBP3L;RANBP3L,TSS1500;TSS1500,,4.557311441305365e-07,-0.2649519748649094,0.0138258575178461,5.228172968438212e-05,-0.2161759167730623,0.1284114131100026,Beta-only
cg16508522,HIV_Blood,chr3,141319423,141319424,RASA2,Body,,4.942727016255419e-07,0.1303807190306178,0.0141130556741085,0.3407729350841986,0.0368034821731641,0.9255289425740773,Beta-only
cg16339238,HIV_Blood,chr20,23029298,23029299,THBD,1stExon,Island,6.371745993607346e-07,0.1828881578540907,0.0171826166237832,0.000566270046621,0.1276265606234373,0.2164052324087276,Beta-only
cg12459932,HIV_Blood,chr1,25292018,25292019,RUNX3,TSS1500,,7.021858532071163e-07,-0.12360764386768,0.017939148520534,5.308146136308353e-07,0.1197527830876215,0.0067563322590364,Common
cg15618071,HIV_Blood,chr3,126426394,126426395,CHCHD6,Body,S_Shelf,8.91698004464978e-07,0.1770351218560588,0.0209891943231863,0.0253984759905264,0.0840035786462393,0.6420039644537883,Beta-only
cg17368760,HIV_Blood,chr20,23029287,23029288,THBD,1stExon,Island,9.080540761652408e-07,0.186055171393382,0.0209891943231863,0.0005981335868931,0.1368115503874637,0.2749057793501832,Beta-only
cg08289323,HIV_Blood,chr8,62588462,62588463,ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH,Body;Body;Body;Body;Body;Body;Body;Body;3'UTR;Body;Body;Body,,1.0635799474083275e-06,-0.1970662631496474,0.0217243290439695,3.0576041418317045e-05,0.1250680236223843,0.0714069273171688,Beta-only
cg08344493,HIV_Blood,chr11,133735550,133735551,,,S_Shore,1.068862930139082e-06,0.1239062150114031,0.0217243290439695,0.4611474180484133,0.0661320815763189,0.9243389587765034,Beta-only
cg09983546,HIV_Blood,chr15,62884068,62884069,,,,1.250592720674134e-06,0.1710934968139114,0.0217243290439695,0.0517002934672378,0.1296239983056068,0.7221028405137372,Beta-only
cg06008803,HIV_Blood,chr6,20920015,20920016,CDKAL1,Body,,1.251314850238311e-06,-0.1180693741078173,0.0217243290439695,1.5113993376331008e-05,-0.1074974850203549,0.1044199927232241,Beta-only
cg07143083,HIV_Blood,chr7,70597921,70597922,WBSCR17,1stExon,Island,1.266160133627892e-06,0.1412673193073364,0.0217243290439695,6.89553005423263e-05,0.1175903838722546,0.1390284392733438,Beta-only
cg00219921,HIV_Blood,chr2,87012810,87012811,CD8A;CD8A;CD8A;CD8A,3'UTR;3'UTR;3'UTR;Body,N_Shelf,1.2699820518776402e-06,-0.1324015384154012,0.0217243290439695,2.3891846669333962e-08,0.1527526842811388,0.0010484700225643,Common
cg09654116,HIV_Blood,chr7,158816213,158816214,LOC154822,Body,Island,1.3290167126134928e-06,-0.1933876018733823,0.0217243290439695,0.0002137603768619,-0.1253069460293988,0.2037687743294283,Beta-only
cg27116863,HIV_Blood,chr4,91755177,91755178,FAM190A,Body,,1.3511231247144618e-06,0.1680671397945737,0.0217243290439695,0.0116899308936669,0.0845136467949713,0.55074133997456,Beta-only
cg02678476,HIV_Blood,chr4,183763519,183763520,,,,1.3656023547536744e-06,0.2032826047070434,0.0217243290439695,0.0010153212308565,-0.1298596478240372,0.2595308740039357,Beta-only
cg13789303,HIV_Blood,chr6,108886681,108886682,FOXO3;FOXO3,Body;Body,S_Shelf,1.4350565659030126e-06,0.1618397230888691,0.021768193666112,5.119563967612967e-07,0.083799699055406,0.0067410004908314,Common
cg08765490,HIV_Blood,chr12,2985958,2985959,FOXM1;FOXM1;C12orf32;C12orf32;FOXM1;C12orf32,5'UTR;5'UTR;TSS1500;TSS1500;5'UTR;TSS1500,N_Shore,1.592475531600818e-06,-0.2434038508582346,0.0234240603921564,0.1554965571533668,-0.1083976948349212,0.8250903631926552,Beta-only
cg21723707,HIV_Blood,chr8,1411812,1411813,,,,1.7300641943165568e-06,-0.2165351291838264,0.0246994141228833,1.0,0.0,1.0,Beta-only
cg09133363,HIV_Blood,chr2,85153928,85153929,,,,1.850600762292763e-06,-0.2712773214784346,0.0256547441076986,0.00046136447676,-0.2076431181204545,0.2530973666966229,Beta-only
cg25382566,HIV_Blood,chr11,64851788,64851789,CDCA5;ZFPL1;ZFPL1,TSS200;5'UTR;1stExon,Island,1.902684748945523e-06,-0.2450033572063353,0.0256547441076986,0.0487520454311115,0.1661244999956475,0.6759930675318406,Beta-only
cg09801824,HIV_Blood,chr10,74076930,74076931,,,N_Shelf,2.0514207124157663e-06,0.142154456527048,0.0269126437699854,2.3183792957230296e-10,0.1658064142855468,2.2131654473348795e-05,Common
cg09941713,HIV_Blood,chr8,61705332,61705333,CHD7,Body,,2.247676575322926e-06,0.1237427512423199,0.0285007796124637,5.370885590514515e-05,0.1010017644232296,0.094590404535195,Beta-only
