CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_CHALM,Effect_CHALM,P_CAMDA,Effect_CAMDA,P_haEWAS,Effect_haEWAS,haEWAS_Driver,Group
cg03741406,HOMA-IR_GSE115278,1,40255103.0,40255104.0,BMP8B,TSS1500,Island,0.0025192767938462,-0.0117991193235935,2.20938733580204e-06,-0.0138643674302937,0.0002201142194252,-0.0030437325600343,2.20938733580204e-06,-0.0138643674302937,CHALM,haEWAS-only
cg19623875,HOMA-IR_GSE115278,1,33647561.0,33647562.0,TRIM62;TRIM62,5'UTR;1stExon,Island,0.002767765277688,-0.0132160562075677,2.45482703569353e-07,-0.0138833032012438,6.75903697786109e-05,0.0039407498048113,2.45482703569353e-07,-0.0138833032012438,CHALM,haEWAS-only
cg22351924,HOMA-IR_GSE115278,1,27994914.0,27994915.0,IFI6;IFI6;IFI6,Body;Body;Body,Island,0.0116510648444698,-0.0123745591726941,4.45137039520591e-06,-0.0219812905794494,0.0001461605064224,0.0206771423537815,4.45137039520591e-06,-0.0219812905794494,CHALM,haEWAS-only
cg15934368,HOMA-IR_GSE115278,2,240044021.0,240044022.0,HDAC4,Body,N_Shelf,0.0005280364286235,-0.0252361007728804,3.47870618272641e-06,-0.0374034726768316,0.012685914138351,0.0170132462092502,3.47870618272641e-06,-0.0374034726768316,CHALM,haEWAS-only
cg20853880,HOMA-IR_GSE115278,2,10184444.0,10184445.0,KLF11,Body,Island,4.60452659193895e-07,-0.0649990083604187,4.73650585429783e-07,-0.075826148855772,1.85912918106144e-06,-0.0259704932588717,4.73650585429783e-07,-0.075826148855772,CHALM,Common
cg21295476,HOMA-IR_GSE115278,2,219844896.0,219844897.0,,,N_Shore,0.000262412622057,-0.0155469502839354,3.02663650138064e-06,-0.017881272793857,0.0095553070233683,-0.0017415830554094,3.02663650138064e-06,-0.017881272793857,CHALM,haEWAS-only
cg09386807,HOMA-IR_GSE115278,3,50375496.0,50375497.0,RASSF1;RASSF1;RASSF1;RASSF1,TSS1500;Body;Body;5'UTR,Island,0.0032182661883025,-0.0138028471421351,2.83919512080073e-06,-0.028545003165083,3.97436019399581e-05,-0.0128649092297173,2.83919512080073e-06,-0.028545003165083,CHALM,haEWAS-only
cg12872693,HOMA-IR_GSE115278,3,179168798.0,179168799.0,GNB4,5'UTR,Island,0.0002866034257883,-0.0167534648334398,2.46461247011371e-07,-0.027489869524959,1.15074492058002e-05,-0.0130421510851508,2.46461247011371e-07,-0.027489869524959,CHALM,haEWAS-only
cg00464757,HOMA-IR_GSE115278,4,3288648.0,3288649.0,,,,0.0016553622084154,-0.0149549315632544,1.97224191889099e-06,-0.0137311518504287,2.25573950134144e-05,0.0235731322813488,1.97224191889099e-06,-0.0137311518504287,CHALM,haEWAS-only
cg19563433,HOMA-IR_GSE115278,4,6957112.0,6957113.0,TBC1D14;TBC1D14,Body;Body,,1.97096015202438e-07,0.0420609188321695,0.0227156704471377,0.152716011312586,8.08535618576337e-08,-0.0430512926505864,8.08535618576337e-08,-0.0430512926505864,CAMDA,Common
cg24009707,HOMA-IR_GSE115278,4,151875122.0,151875123.0,LRBA,Body,,0.327569979411318,-0.0045629246885839,2.05024795813282e-06,-0.190700997809266,0.258147209208162,0.0049395193842961,2.05024795813282e-06,-0.190700997809266,CHALM,haEWAS-only
cg00945735,HOMA-IR_GSE115278,7,41982767.0,41982768.0,,,,0.0007594336565862,-0.0158766292269958,2.48367542522492e-06,-0.0207210057750794,0.0009117530199451,-0.0096280554408706,2.48367542522492e-06,-0.0207210057750794,CHALM,haEWAS-only
cg14041194,HOMA-IR_GSE115278,9,139802603.0,139802604.0,TRAF2,Body,Island,0.0341329718678559,-0.0109040911448254,2.47713281308568e-06,0.315242658389784,0.0003161569666416,0.0198851866082547,2.47713281308568e-06,0.315242658389784,CHALM,haEWAS-only
cg05190577,HOMA-IR_GSE115278,11,61062843.0,61062844.0,VWCE,TSS200,Island,0.0047124358571164,-0.0140408394769944,2.43425659143402e-06,-0.0248831213189458,6.45524078150748e-05,-0.0128558888408991,2.43425659143402e-06,-0.0248831213189458,CHALM,haEWAS-only
cg13262159,HOMA-IR_GSE115278,11,71230303.0,71230304.0,,,Island,0.0030704055951888,-0.0203613438392569,5.18973154762311e-06,-0.0292926694333616,9.52147890176958e-06,0.0212339920042507,5.18973154762311e-06,-0.0292926694333616,CHALM,haEWAS-only
cg07473634,HOMA-IR_GSE115278,13,113647389.0,113647390.0,MCF2L;MCF2L,Body;Body,N_Shore,0.282599381496253,-0.004819416239503,2.23920059089314e-07,-0.449070278839992,0.210302250963264,0.0050259831565819,2.23920059089314e-07,-0.449070278839992,CHALM,haEWAS-only
cg10058779,HOMA-IR_GSE115278,14,23821435.0,23821436.0,SLC22A17;SLC22A17;SLC22A17,5'UTR;1stExon;5'UTR,Island,0.0005296391773909,-0.0166136766965347,1.46896029434678e-06,-0.0161590846570289,0.16084258020654,-0.0016726784947652,1.46896029434678e-06,-0.0161590846570289,CHALM,haEWAS-only
