CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg06550894,SLEDAI_Score_Blood,chr8,22245976.0,22245977.0,SLC39A14;SLC39A14;SLC39A14;SLC39A14,5'UTR;5'UTR;5'UTR;5'UTR,,6.6312525705411555e-09,-0.2502944925894195,0.0007882603086865,3.2899475645697717e-10,-0.2497151038351282,0.0002635514484973,Common
cg06069753,SLEDAI_Score_Blood,chr15,42118802.0,42118803.0,MAPKBP1;MAPKBP1;MAPKBP1;JMJD7;JMJD7-PLA2G4B;JMJD7-PLA2G4B;MAPKBP1;MAPKBP1,3'UTR;3'UTR;3'UTR;TSS1500;TSS1500;TSS1500;Body;Body,N_Shore,0.8870423220897535,0.0106323992853502,0.9875477763110736,1.730859850875368e-09,-0.2215831184900927,0.0006067255898985,Beta-only
cg26104306,SLEDAI_Score_Blood,chr5,53812845.0,53812846.0,SNX18;SNX18;SNX18,TSS1500;TSS1500;TSS1500,N_Shore,8.275264103178827e-12,-0.4079372300150008,4.011026953224737e-06,2.272150718461065e-09,-0.3397340093906694,0.0006067255898985,Common
cg24113610,SLEDAI_Score_Blood,chr15,70558813.0,70558814.0,,,,1.052390367241755e-07,0.2115892565912199,0.0062549084574605,1.1742137751563755e-08,0.2617643387271362,0.0018530361798671,Common
cg14383174,SLEDAI_Score_Blood,chr17,77896174.0,77896175.0,,,,0.2782018393238153,0.0515578449210441,0.900330602816726,1.2252715340950768e-08,0.1996517563084739,0.0018530361798671,Beta-only
cg19599472,SLEDAI_Score_Blood,chrX,74739430.0,74739431.0,ZDHHC15;ZDHHC15;ZDHHC15,Body;Body;Body,N_Shelf,1.956495754975511e-07,0.2418935391362796,0.0087213610740681,1.387901732684049e-08,0.2439306953404578,0.0018530361798671,Common
cg12610070,SLEDAI_Score_Blood,chr10,71211762.0,71211763.0,TSPAN15,Body,Island,1.1544452029068896e-06,-0.2367722595031781,0.0216678123934963,1.7462930252879026e-08,-0.2544571329735532,0.0019984602328437,Common
cg13039203,SLEDAI_Score_Blood,chr3,134129265.0,134129266.0,,,S_Shelf,1.1247609662685407e-11,-0.31740152459602,4.011026953224737e-06,2.3211785643174762e-08,-0.272772437112473,0.0023243150568525,Common
cg17038326,SLEDAI_Score_Blood,chr3,27656201.0,27656202.0,,,,2.3455985713372143e-10,-0.2517979819345182,4.1823371246121046e-05,3.967345933688916e-08,-0.208649163484174,0.0035312949421171,Common
cg27480104,SLEDAI_Score_Blood,chr11,42151385.0,42151386.0,,,,5.60313724859059e-07,0.2511015743281358,0.0261955871525661,6.353515947676439e-08,-0.2436188897404094,0.0050896809088805,Common
cg25714323,SLEDAI_Score_Blood,chr5,5891728.0,5891729.0,,,,0.5418643736086806,0.1357804015598069,0.93699033166211,1.29793292940851e-07,0.3274921228418649,0.009452267354759,Beta-only
cg06719448,SLEDAI_Score_Blood,chr7,128355262.0,128355263.0,FAM71F1,TSS200,,3.264853090035109e-05,-0.2026942524908541,0.1037340504392742,1.624152035471999e-07,0.2632916693756034,0.0108423111393995,Beta-only
cg23088810,SLEDAI_Score_Blood,chr12,106100228.0,106100229.0,,,,7.356919070681303e-07,-0.2930158017732744,0.01730027033327,2.22262637256526e-07,-0.3129694284295033,0.0136961827473919,Common
cg12560447,SLEDAI_Score_Blood,chr7,128354965.0,128354966.0,FAM71F1,TSS1500,,0.7360341511228132,0.0597218295933669,0.969064848446932,2.685657254850583e-07,0.2474104529428269,0.0153673499955211,Beta-only
cg11463444,SLEDAI_Score_Blood,chr1,21009519.0,21009520.0,KIF17;KIF17;KIF17,Body;Body;Body,,2.2043515689776487e-05,-0.2001483559798318,0.0993985950733358,3.630558969864896e-07,0.1881073351343837,0.0186102592152868,Beta-only
cg01374735,SLEDAI_Score_Blood,chr3,9623992.0,9623993.0,,,,8.235533516335868e-06,-0.2061622959908025,0.0506359648372553,3.735053155213143e-07,-0.2308000184862098,0.0186102592152868,Beta-only
cg13261753,SLEDAI_Score_Blood,chr11,76021111.0,76021112.0,,,,1.007757992834227e-06,0.2474301213770393,0.0205358908263773,3.949343532799762e-07,0.2576215452592661,0.0186102592152868,Common
cg07999547,SLEDAI_Score_Blood,chr7,17720837.0,17720838.0,,,,0.1906095041452941,0.1047870216388948,0.8594545475289751,4.464615929096675e-07,0.2689601270385077,0.0190443455406619,Beta-only
cg08065590,SLEDAI_Score_Blood,chr14,54674442.0,54674443.0,,,,5.5420796268001085e-11,-0.3470289045012942,1.3175795525550848e-05,4.5708137416118854e-07,-0.2677570027454791,0.0190443455406619,Common
cg05895306,SLEDAI_Score_Blood,chr13,24391472.0,24391473.0,MIPEP,Body,,1.215414313961741e-08,0.3072154751252678,0.0079422985157818,4.754661648612793e-07,-0.2475690473371929,0.0190443455406619,Common
cg25185454,SLEDAI_Score_Blood,chr5,135262082.0,135262083.0,,,N_Shelf,0.0007271437783218,-0.1390359350378291,0.2193521970666346,5.057376876458396e-07,-0.2073656515962696,0.0192922310741436,Beta-only
cg07813615,SLEDAI_Score_Blood,chr1,24166509.0,24166510.0,,,,0.0179849942105229,0.1776596888482274,0.5617182879374759,6.073394237023237e-07,-0.3087703093003917,0.0214242866104623,Beta-only
cg16181848,SLEDAI_Score_Blood,chr18,2913135.0,2913136.0,EMILIN2,Body,Island,4.958783614253666e-07,0.2714253255846154,0.0261955871525661,6.355258572160383e-07,-0.2941687295555922,0.0214242866104623,Common
cg25795075,SLEDAI_Score_Blood,chr1,55505880.0,55505881.0,PCSK9;PCSK9,TSS200;Body,Island,1.1885292558295937e-07,0.225247639956123,0.015558394682267,6.418612832548727e-07,0.2131407612084027,0.0214242866104623,Common
cg14563792,SLEDAI_Score_Blood,chr1,44479707.0,44479708.0,SLC6A9;SLC6A9;SLC6A9;SLC6A9;SLC6A9;SLC6A9,Body;Body;Body;Body;Body;Body,,3.397904891042824e-06,-0.2907060911658052,0.0369130978082681,7.410881670221392e-07,-0.3135569685241953,0.0237468659970504,Common
