CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg00033551,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr16,4738568,4738569,MGRN1;MGRN1;MGRN1;MGRN1,3'UTR;Body;3'UTR;Body,,7.14870410273018e-07,-0.364253033416602,0.0139099126995719,1.65146970380988e-07,0.396709129823372,0.0033597135151895,Common
cg00053916,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr8,37457329,37457330,,,,2.34259417716021e-05,-0.165446403996373,0.0728133415450732,5.01818052639895e-06,0.192734708249127,0.021160009098433,Beta-only
cg00108056,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chrX,153627317,153627318,RPL10;RPL10;SNORA70,Body;Body;TSS1500,Island,0.051908011792569,-0.119223999432866,0.81012490546426,3.37443348646734e-06,-0.249537781686554,0.0178440637741818,Beta-only
cg00176675,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr8,141572142,141572143,EIF2C2;EIF2C2,Body;Body,,1.02344167256265e-07,-0.346727861066075,0.0028499384111358,2.16335181408722e-07,-0.335500236225604,0.0041808236888877,Common
cg00347584,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr11,47283025,47283026,NR1H3;NR1H3;NR1H3,Body;Body;Body,,1.54357288660331e-05,0.164509350929073,0.0572202469063848,1.36651272012086e-05,0.263872088496823,0.0339319566080182,Beta-only
cg00480356,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr15,44092806,44092807,SERINC4;C15orf63,TSS1500;1stExon,Island,1.0,0.0,1.0,1.48515829291972e-05,0.248640688095912,0.0348174771025887,Beta-only
cg00502254,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr1,12201600,12201601,TNFRSF8;TNFRSF8,Body;Body,,4.25400846152441e-06,0.3982386731151,0.0316680219887038,7.42828562902352e-06,0.20318557259522,0.0277084767874554,Common
cg00519063,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr1,94373434,94373435,GCLM,Body,N_Shore,4.68178314416916e-06,1.26832065145706,0.0405306589978373,1.95728126290886e-06,-0.194591845362406,0.0143805902752421,Common
cg00543443,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr20,34638744,34638745,LOC647979,Body,Island,1.0,0.0,1.0,1.19979253044552e-05,0.122580165184013,0.032143635054478,Beta-only
cg00754604,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr2,161230046,161230047,RBMS1;RBMS1,Body;Body,,3.94206911037676e-06,-0.210147874726268,0.0316680219887038,4.67476238793178e-07,-0.228653445611636,0.0066672698613785,Common
cg00777895,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr1,225965676,225965677,SRP9;SRP9,1stExon;1stExon,Island,1.0,0.0,1.0,1.66282321231365e-07,0.120759306396209,0.0033597135151895,Beta-only
cg00907274,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr3,27498161,27498162,SLC4A7,1stExon,,1.93877149593596e-05,0.158001507917497,0.0713478218430331,5.87221007631265e-06,-0.21051592303789,0.023259570769249,Beta-only
cg01028657,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr15,74315710,74315711,PML;PML;PML;PML;PML;PML;PML;PML;PML,Body;Body;Body;Body;Body;Body;Body;Body;Body,Island,5.89868907882188e-07,-0.134164719985034,0.01002211852363,1.12360514964398e-05,-0.194768588454523,0.0307827818276784,Common
cg01070250,Sporadic_Creutzfeldt-Jakob_Disease_GSE156994,chr1,569687,569688,,,,1.0,0.0,1.0,2.75264869339408e-11,0.640892791945558,1.33480614645458e-05,Beta-only
