CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg23166781,Zygosity_Blood,chr4,6107280,6107281,JAKMIP1;JAKMIP1,Body;Body,Island,1.904394626816482e-12,-0.2123980902279556,5.380718996126022e-07,2.231974099520304e-11,-0.2045882795851128,6.766952065992525e-06,Common
cg25970575,Zygosity_Blood,chr4,6010164,6010165,,,S_Shore,2.829998709380625e-12,-0.2173464227292325,5.380718996126022e-07,2.821950260425496e-11,-0.2085932423758071,6.766952065992525e-06,Common
cg22098660,Zygosity_Blood,chr4,6107339,6107340,JAKMIP1;JAKMIP1,Body;Body,Island,7.584392297988286e-12,-0.2025307277609287,9.613545894699732e-07,9.174290107679184e-11,-0.1959280826552531,1.4666448299674302e-05,Common
cg17760318,Zygosity_Blood,chr5,140719225,140719226,PCDHGA2;PCDHGA1;PCDHGA2,1stExon;Body;1stExon,Island,0.0034152831508681,0.1869959581497798,0.266455850799874,2.7267274858197286e-10,0.2005841095014073,2.658191781242293e-05,Beta-only
cg25987564,Zygosity_Blood,chr4,6010075,6010076,,,Island,1.3421546122861794e-11,-0.2096285673133606,1.2759293483294485e-06,2.7712938248208833e-10,-0.197358521989423,2.658191781242293e-05,Common
cg05983326,Zygosity_Blood,chr5,140710688,140710689,PCDHGA1;PCDHGA1,1stExon;1stExon,N_Shore,0.2261125315352329,0.1272121445031509,0.8138178153382049,3.830422900405081e-10,0.1994931791438583,3.061746400828124e-05,Beta-only
cg16724588,Zygosity_Blood,chr4,6107131,6107132,JAKMIP1;JAKMIP1,Body;Body,Island,4.840381215943087e-11,-0.1975552806202161,3.681235764636333e-06,6.691610470480327e-10,-0.186167272047125,4.584651759970775e-05,Common
cg18364820,Zygosity_Blood,chrX,40506749,40506750,CXorf38,1stExon,Island,0.3978938622123325,0.084931490631509,0.900200766826115,9.95129603554517e-10,0.1502562716366317,5.255819222924066e-05,Beta-only
cg25031787,Zygosity_Blood,chr18,12437,12438,,,S_Shore,1.0,0.0,1.0,1.7059717348088043e-09,0.1867956083137587,6.883432931665881e-05,Beta-only
cg17736057,Zygosity_Blood,chr12,34372490,34372491,,,S_Shore,4.318588562661346e-09,-0.1873747947340215,0.0001433178578373,1.7223150243745871e-09,0.1928957048028673,6.883432931665881e-05,Common
cg17227466,Zygosity_Blood,chr5,140748559,140748560,PCDHGA4;PCDHGB3;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGB3;PCDHGA2;PCDHGB2,Body;TSS1500;Body;Body;Body;Body;TSS1500;Body;Body,N_Shore,0.0074827932419585,0.0870661878014457,0.3430765081264519,1.939662499903573e-09,0.1906814113986269,7.155773053682725e-05,Beta-only
cg18994250,Zygosity_Blood,chr4,6107021,6107022,JAKMIP1;JAKMIP1,Body;Body,N_Shore,8.429312647541314e-10,-0.1910596075661463,4.57907959327429e-05,2.541254408417179e-09,-0.1861225781958912,8.705502619645917e-05,Common
