CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg18608055,Inflammatory_Bowel_Disease_Blood,chr19,1130866.0,1130867.0,SBNO2;SBNO2,Body;Body,,4.57643662201453e-17,-0.2087296014723994,2.7977860688469297e-18,-0.2201440300654079,Common
cg12170787,Inflammatory_Bowel_Disease_Blood,chr19,1130965.0,1130966.0,SBNO2;SBNO2,Body;Body,,4.702922752106223e-17,-0.1727976486111524,1.7096456025268697e-22,0.2182720010149143,Common
cg08423142,Inflammatory_Bowel_Disease_Blood,chr15,59588622.0,59588623.0,MYO1E,Body,,1.7594911747894206e-15,-0.1902751053738803,1.5299276261490366e-18,0.1899886801491822,Common
cg18942579,Inflammatory_Bowel_Disease_Blood,chr17,57915773.0,57915774.0,TMEM49,Body,,9.234994819169964e-15,-0.2053274888291871,3.201966061144769e-17,-0.2205145371579771,Common
cg02650017,Inflammatory_Bowel_Disease_Blood,chr17,47301614.0,47301615.0,PHOSPHO1;PHOSPHO1,Body;Body,Island,2.6023137571588265e-14,-0.2385750048975576,2.19110138592828e-15,-0.2379928789502643,Common
cg07573872,Inflammatory_Bowel_Disease_Blood,chr19,1126342.0,1126343.0,SBNO2;SBNO2,Body;Body,S_Shelf,7.77496339193795e-14,-0.1893839468280204,1.0,0.0,EWAS-specific
cg04389058,Inflammatory_Bowel_Disease_Blood,chr3,57041402.0,57041403.0,ARHGEF3,Body,,1.3199987017166868e-13,-0.1656911915518664,1.5638487268910923e-14,0.1803496859928069,Common
cg17980786,Inflammatory_Bowel_Disease_Blood,chr3,32933637.0,32933638.0,TRIM71,3'UTR,,8.085150081677589e-13,0.1691388690497641,6.940815065908587e-12,0.1539017561572116,Common
cg17501210,Inflammatory_Bowel_Disease_Blood,chr6,166970252.0,166970253.0,RPS6KA2;RPS6KA2,Body;Body,,6.508786971018325e-12,-0.2057574233854797,6.422119149596034e-14,0.2021471137862089,Common
cg01101459,Inflammatory_Bowel_Disease_Blood,chr1,234871477.0,234871478.0,,,,7.512689593139561e-12,0.1437585970691673,2.378332928758907e-13,-0.1490475165909828,Common
cg10136168,Inflammatory_Bowel_Disease_Blood,chr14,77783447.0,77783448.0,POMT2,Body,N_Shelf,1.0827271124607962e-11,-0.1167450367268246,1.6929208497176147e-10,0.1002655500450099,Common
cg06545761,Inflammatory_Bowel_Disease_Blood,chr16,87441441.0,87441442.0,ZCCHC14,3'UTR,Island,4.137362557815816e-11,-0.126852019360132,1.983905193413037e-07,-0.0965244287707186,Common
cg20406979,Inflammatory_Bowel_Disease_Blood,chr6,167373233.0,167373234.0,,,S_Shelf,7.115718202569942e-11,0.1493756640430781,2.8247172434294197e-08,-0.1230982741204818,Common
cg22448090,Inflammatory_Bowel_Disease_Blood,chr1,200978598.0,200978599.0,KIF21B,Body,,7.3791205238732e-11,0.1337978245185201,0.0001491274331791,-0.1404328151322369,Common
cg24678869,Inflammatory_Bowel_Disease_Blood,chr1,153919638.0,153919639.0,DENND4B,TSS1500,S_Shore,1.0803426657677802e-10,0.1011640852064687,6.17926503312015e-05,0.0540830515095549,EWAS-specific
cg03411579,Inflammatory_Bowel_Disease_Blood,chr12,76552736.0,76552737.0,,,,1.26083133937028e-10,0.144370536809194,4.822555539625983e-06,0.0983914916204804,Common
cg02879453,Inflammatory_Bowel_Disease_Blood,chr16,50321818.0,50321819.0,ADCY7,TSS200,,2.6571642871856536e-10,0.1123841760235736,0.1387284185385824,-0.0818562383321944,EWAS-specific
