CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg13495489,War_Trauma_Blood,chr12,31391982,31391983,,,,1.0,0.0,1.0,6.483654569662803e-13,0.3140340898514636,5.138989997496726e-07,Beta-only
cg13113642,War_Trauma_Blood,chr17,997200,997201,ABR;ABR;ABR,Body;Body;Body,,1.0,0.0,1.0,5.385765055835027e-10,0.1981296115022438,0.0001554395741312,Beta-only
cg04072767,War_Trauma_Blood,chr19,6372374,6372375,ALKBH7,TSS200,N_Shore,5.163432839996254e-10,0.2669722859226285,0.0001105162232485,7.141017594522505e-10,0.265458929606605,0.0001554395741312,Common
cg11649016,War_Trauma_Blood,chr12,56096884,56096885,ITGA7;ITGA7;ITGA7,Body;Body;Body,,3.295393271535565e-09,0.2504721116183364,0.0006474327344855,1.0703471388771282e-09,-0.2618145908498568,0.0001554395741312,Common
cg11231670,War_Trauma_Blood,chr16,2947301,2947302,FLYWCH2;FLYWCH2;FLYWCH2,Body;Body;Body,S_Shelf,1.1225045564497295e-09,-0.2409971537686684,0.0001545131574795,1.1095602712901398e-09,-0.2452529645202978,0.0001554395741312,Common
cg10240906,War_Trauma_Blood,chr20,55803687,55803688,BMP7,Body,,1.2031692242248115e-09,-0.2635469026838404,0.0001545131574795,1.176670714222239e-09,-0.2646669896612691,0.0001554395741312,Common
cg06319861,War_Trauma_Blood,chr2,137964351,137964352,THSD7B,Body,,0.0019894856633626,-0.1393819436961965,0.3235044874085904,3.746908990197847e-09,-0.2634495553995114,0.0004242608991419,Beta-only
cg14042509,War_Trauma_Blood,chr9,36745026,36745027,,,,0.5940216194500503,-0.0203930536035353,0.961151413959785,5.6558171310454135e-09,-0.2523697712852784,0.0004889057579475,Beta-only
cg16907049,War_Trauma_Blood,chr13,42029946,42029947,,,N_Shore,1.0,0.0,1.0,5.8130106544622405e-09,-0.2139329349773966,0.0004889057579475,Beta-only
cg20351137,War_Trauma_Blood,chr2,177133606,177133607,MTX2;MTX2,TSS1500;TSS1500,N_Shore,1.5976173873822362e-08,0.2532699614362642,0.0010258445029946,6.168325007823517e-09,0.2594256604391183,0.0004889057579475,Common
cg03124146,War_Trauma_Blood,chr7,63361127,63361128,,,Island,9.58309394981839e-09,0.2524460744247987,0.001129651281567,1.1603900721887041e-08,0.2503856548900331,0.0007213826733042,Common
cg19397885,War_Trauma_Blood,chr7,12444115,12444116,VWDE,TSS1500,S_Shore,1.5260879645423894e-09,0.2666429279178639,0.0001633191361373,1.1831809147477752e-08,0.2528158550311832,0.0007213826733042,Common
cg16335098,War_Trauma_Blood,chr6,169334849,169334850,,,S_Shelf,1.0,0.0,1.0,1.7507920561787698e-08,0.2238780996441136,0.0009912071709083,Beta-only
cg02186769,War_Trauma_Blood,chr6,30881645,30881646,VARS2;VARS2;VARS2;GTF2H4,TSS1500;TSS1500;TSS1500;Body,Island,1.0,0.0,1.0,3.0115131685400784e-08,0.2309029312838757,0.0013829339715646,Beta-only
