CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg00042059,Psoriasis_GSE73894,chr2,55087588,55087589,EML6,Body,,2.46596438116901e-06,0.100307264196123,0.0267509573852178,0.0001357342279511,-0.178671967720496,0.144331853790056,haEWAS-only
cg00386408,Psoriasis_GSE73894,chr5,135364970,135364971,TGFBI,Body,Island,2.38130932570569e-06,-0.0748386749676209,0.0267509573852178,0.0001005749128306,-0.172809312168103,0.134633383034675,haEWAS-only
cg00452016,Psoriasis_GSE73894,chr5,43603138,43603139,NNT;NNT,TSS200;5'UTR,Island,1.0,0.0,1.0,3.44087280381921e-08,-0.239896503915243,0.0055693623115337,Beta-only
cg00710617,Psoriasis_GSE73894,chr20,50808543,50808544,ZFP64;ZFP64;ZFP64;ZFP64,TSS200;TSS200;TSS200;TSS200,Island,1.19466669218491e-06,0.021867701328008,0.0226747109404752,0.110667174995955,0.0999896681732166,0.716952340450144,haEWAS-only
cg01068136,Psoriasis_GSE73894,chr10,115614374,115614375,DCLRE1A;NHLRC2,TSS1500;TSS200,Island,1.0,0.0,1.0,4.28129995051356e-07,-0.231292249774944,0.0176152376345313,Beta-only
cg01139906,Psoriasis_GSE73894,chr3,10290027,10290028,TATDN2,TSS200,Island,1.0,0.0,1.0,2.25895641525188e-06,-0.176931471299623,0.037078974026478,Beta-only
cg01291875,Psoriasis_GSE73894,chr19,12670423,12670424,,,S_Shelf,5.74025127547651e-06,-0.081888558194593,0.0431259098898138,0.0557552917751322,0.0479983271399747,0.635125429593882,haEWAS-only
cg01409793,Psoriasis_GSE73894,chr4,106394821,106394822,PPA2;PPA2;PPA2;PPA2;PPA2,Body;Body;Body;Body;Body,Island,6.36096975247199e-07,-0.0062251785244282,0.020478222122057,0.737147459852365,-0.0170235941786439,0.965718338656702,haEWAS-only
cg01738984,Psoriasis_GSE73894,chr11,3240365,3240366,MRGPRG;C11orf36,TSS1500;Body,S_Shore,1.97728495216635e-06,-0.0646559945203508,0.0267509573852178,2.281093002955e-05,0.0902396403833134,0.091906075284142,haEWAS-only
cg02294991,Psoriasis_GSE73894,chr11,47927148,47927149,,,,6.75428453587401e-06,-0.0705533463496706,0.046840833366199,0.0122605547750149,0.0614707890897435,0.471838469136487,haEWAS-only
