CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg22962123,Braak_Stage,chr7,27153605,27153606,HOXA3;HOXA3;HOXA3;HOXA3,5'UTR;1stExon;5'UTR;5'UTR,Island,4.61e-17,0.079966736,2.01e-17,0.07146108,Common
cg01301319,Braak_Stage,chr7,27153580,27153581,HOXA3;HOXA3;HOXA3;HOXA3,5'UTR;1stExon;5'UTR;5'UTR,Island,1.63e-16,0.056360724,2.33e-16,0.050085532,Common
cg06635946,Braak_Stage,chr22,46470016,46470017,,,S_Shore,6.17e-16,0.083255317,6.35e-16,0.060422538,Common
cg21806242,Braak_Stage,chr11,72532891,72532892,ATG16L2,Body,Island,1.55e-15,0.080149202,3.49e-16,0.092897923,Common
cg07061298,Braak_Stage,chr7,27153847,27153848,HOXA3;HOXA3;HOXA3,5'UTR;TSS1500;5'UTR,N_Shore,4.88e-15,0.091840728,2.44e-15,0.018336941,Common
cg04917446,Braak_Stage,chr17,46699073,46699074,HOXB9,3'UTR,Island,1.28e-14,0.058010383,1.76e-14,0.023669158,Common
cg03672272,Braak_Stage,chr22,46470191,46470192,,,S_Shore,3.42e-14,0.058499173,3.8e-14,0.047238506,Common
cg20864214,Braak_Stage,chr11,73054121,73054122,ARHGEF17,Body,Island,4.43e-14,0.073087871,3.47e-14,0.013026203,Common
cg04874795,Braak_Stage,chr16,86477638,86477639,,,,6.5e-14,-0.071305409,2.79e-14,0.065922743,Common
cg17775899,Braak_Stage,chr7,27179426,27179427,,,Island,1.18e-13,0.049813345,1.2e-13,0.037181304,Common
cg01964852,Braak_Stage,chr7,27146262,27146263,HOXA3;HOXA3;HOXA3,3'UTR;3'UTR;3'UTR,Island,1.24e-13,0.064560638,2.99e-13,0.036334433,Common
cg00921266,Braak_Stage,chr7,27153663,27153664,HOXA3;HOXA3;HOXA3,5'UTR;5'UTR;TSS200,N_Shore,1.66e-13,0.097263339,6.71e-13,0.067834289,Common
cg14216068,Braak_Stage,chr7,27146445,27146446,HOXA3;HOXA3;HOXA3,3'UTR;3'UTR;3'UTR,Island,1.94e-13,0.071524533,4.17e-13,0.043288588,Common
cg12864235,Braak_Stage,chr5,27038782,27038783,CDH9,TSS200,,2.15e-13,0.069885614,1.59e-13,0.02226511,Common
cg12307200,Braak_Stage,chr3,188664632,188664633,,,N_Shore,2.24e-13,-0.057037231,1.73e-13,0.041190433,Common
cg18751141,Braak_Stage,chr7,27138173,27138174,,,S_Shore,2.4e-13,0.064836305,1.74e-13,0.055605996,Common
cg09596958,Braak_Stage,chr12,58132105,58132106,AGAP2;AGAP2,TSS200;Body,N_Shore,2.58e-13,0.089436484,7.94e-13,0.065197938,Common
cg09144964,Braak_Stage,chr7,27150262,27150263,HOXA3;HOXA3;HOXA3,5'UTR;5'UTR;5'UTR,Island,2.96e-13,0.059073719,3.21e-13,0.048641394,Common
cg09490371,Braak_Stage,chr2,233253024,233253025,ECEL1P2,TSS1500,Island,3.32e-13,0.070709936,3.04e-13,0.065942265,Common
cg23859635,Braak_Stage,chr2,42795262,42795263,MTA3,TSS1500,N_Shore,3.55e-13,0.056707667,1.41e-13,0.014320864,Common
cg13390284,Braak_Stage,chr1,65531864,65531865,,,N_Shore,4.27e-13,0.049689996,3.88e-13,0.049342465,Common
cg16406967,Braak_Stage,chr7,27155036,27155037,HOXA3;HOXA3;HOXA3,5'UTR;TSS1500;5'UTR,Island,5.04e-13,0.074428836,4.23e-13,0.064416716,Common
cg14103343,Braak_Stage,chr19,49220223,49220224,MAMSTR;MAMSTR,TSS200;Body,N_Shelf,5.3e-13,0.062553133,3.36e-13,0.06450422,Common
