CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg05575921,First_Episode_Psychosis_Blood,chr5,373378,373379,AHRR,Body,N_Shore,9.143623961277902e-26,-0.2740063235192482,1.2053424237911616e-25,0.2744751545501285,Common
cg12803068,First_Episode_Psychosis_Blood,chr7,45002919,45002920,MYO1G,Body,S_Shore,8.781903502238849e-16,0.2156398324075046,1.7702237404190746e-16,-0.2212581576580631,Common
cg03636183,First_Episode_Psychosis_Blood,chr19,17000585,17000586,F2RL3,Body,N_Shore,1.864106392254922e-15,-0.2107320189605149,3.181897509981677e-15,-0.2085900145548801,Common
cg21566642,First_Episode_Psychosis_Blood,chr2,233284661,233284662,,,Island,3.0678121520969178e-15,-0.2137221071135575,1.2500663151425402e-15,-0.2162931804322194,Common
cg26703534,First_Episode_Psychosis_Blood,chr5,377358,377359,AHRR,Body,S_Shelf,5.256194398535372e-15,-0.2014761092984699,0.3207797576110435,0.0268812629689266,EWAS-specific
cg09935388,First_Episode_Psychosis_Blood,chr1,92947588,92947589,GFI1;GFI1;GFI1,Body;Body;Body,Island,1.1082670923246674e-14,-0.1986347180179379,3.5172698009930245e-15,-0.2028749377570868,Common
cg21161138,First_Episode_Psychosis_Blood,chr5,399360,399361,AHRR,Body,,1.5100427486250437e-14,-0.2065050705515073,5.362528839274674e-15,-0.2106837306004563,Common
cg01940273,First_Episode_Psychosis_Blood,chr2,233284934,233284935,,,Island,2.4709851877727794e-14,-0.2038061810167563,1.4390412363633052e-14,-0.2056285575254428,Common
cg25648203,First_Episode_Psychosis_Blood,chr5,395444,395445,AHRR,Body,,6.059027237435919e-13,-0.1821663498500373,4.2890416531543604e-13,0.1833550465672493,Common
cg00501876,First_Episode_Psychosis_Blood,chr3,39193251,39193252,CSRNP1,5'UTR,N_Shore,5.906295524113436e-12,-0.1491052360491174,7.736921416414603e-12,-0.1479904889573568,Common
cg24859433,First_Episode_Psychosis_Blood,chr6,30720203,30720204,,,,1.1062653138334835e-10,-0.1651534933963826,1.0,0.0,EWAS-specific
cg18146737,First_Episode_Psychosis_Blood,chr1,92946700,92946701,GFI1;GFI1;GFI1,Body;Body;Body,Island,1.7687401099086343e-10,-0.1732189712940382,7.273883372412034e-11,0.1764857246784576,Common
cg18316974,First_Episode_Psychosis_Blood,chr1,92947035,92947036,GFI1;GFI1;GFI1,Body;Body;Body,Island,2.550213556852627e-10,-0.1710074930710556,3.540835604019165e-10,0.1692278773242696,Common
cg19089201,First_Episode_Psychosis_Blood,chr7,45002287,45002288,MYO1G,3'UTR,Island,3.965865096308268e-10,0.1697390505366692,3.984340230618285e-10,-0.1697814890111987,Common
cg15342087,First_Episode_Psychosis_Blood,chr6,30720209,30720210,,,,1.580196756121696e-09,-0.1558092034397709,1.0,0.0,EWAS-specific
cg23576855,First_Episode_Psychosis_Blood,chr5,373299,373300,AHRR,Body,N_Shore,2.054712004433087e-09,-0.161482014028227,5.4272307484922997e-14,0.200923844140507,Common
cg24090911,First_Episode_Psychosis_Blood,chr5,400732,400733,AHRR,Body,,2.1808222897353663e-09,-0.155246401572968,4.356957979594741e-10,-0.1621270875478664,Common
cg04387347,First_Episode_Psychosis_Blood,chr16,88537187,88537188,ZFPM1,Body,Island,3.0702717298966103e-09,0.1507273122162007,1.2500766981009507e-06,0.1260178355842355,Common
cg10750182,First_Episode_Psychosis_Blood,chr10,73497514,73497515,C10orf105;C10orf105;CDH23,5'UTR;1stExon;Body,,7.045404313001832e-09,-0.1143248985761803,1.9031325290470032e-08,-0.1098561607488877,Common
cg25949550,First_Episode_Psychosis_Blood,chr7,145814306,145814307,CNTNAP2,Body,S_Shore,1.789186579719855e-08,-0.1309755687989317,3.3436357082258745e-08,-0.1288621210661873,Common
cg25748521,First_Episode_Psychosis_Blood,chr7,139366758,139366759,HIPK2;HIPK2,Body;Body,,2.6809014483480315e-08,-0.1180082064569315,4.113134189911303e-08,0.1173402461388188,Common
cg12876356,First_Episode_Psychosis_Blood,chr1,92946825,92946826,GFI1;GFI1;GFI1,Body;Body;Body,Island,4.0887503830146544e-08,-0.1457965508610303,4.4309492686942855e-08,-0.1449107540930234,Common
cg10241823,First_Episode_Psychosis_Blood,chr17,841205,841206,NXN,Body,,4.51379542500036e-08,0.1304205986555093,4.8191872103629714e-08,-0.1297847568695661,Common
cg21286967,First_Episode_Psychosis_Blood,chr6,31696710,31696711,DDAH2,Body,Island,7.251381636871863e-08,0.1298304261338165,1.0,0.0,EWAS-specific
