CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_CHALM,Effect_CHALM,P_CAMDA,Effect_CAMDA,P_haEWAS,Effect_haEWAS,haEWAS_Driver,Group
cg00002350,Total_PBB_Exposure_GSE116339,chr2,38657543,38657544,,,,9.6660875726217e-05,-0.006224274034802,8.04179553955876e-07,-0.0076609818496166,0.0009296168069036,0.0037343408850212,8.04179553955876e-07,-0.0076609818496166,CHALM,haEWAS-only
cg00015121,Total_PBB_Exposure_GSE116339,chr14,24024633,24024634,THTPA;THTPA;THTPA,TSS1500;TSS1500;TSS1500,N_Shore,0.0128406641963438,-0.0031510928059629,8.24421006071578e-05,-0.0036135641421362,0.0011799586325909,0.0028335619191738,8.24421006071578e-05,-0.0036135641421362,CHALM,haEWAS-only
cg00018261,Total_PBB_Exposure_GSE116339,chrX,117957689,117957690,ZCCHC12,TSS200,Island,0.997265554144051,-2.94619196794732e-06,6.26179576132978e-05,-0.0025762289777712,0.618804922350079,-0.000398323927776,6.26179576132978e-05,-0.0025762289777712,CHALM,haEWAS-only
cg00023464,Total_PBB_Exposure_GSE116339,chr13,111267667,111267668,CARKD,TSS1500,N_Shore,0.0033834189258348,0.0033195262787668,6.31460716221751e-05,0.0040705598867419,0.0116693244034573,-0.0017490719525063,6.31460716221751e-05,0.0040705598867419,CHALM,haEWAS-only
cg00046410,Total_PBB_Exposure_GSE116339,chr1,35581062,35581063,ZMYM1,3'UTR,,0.0532081939367565,0.0022944610023413,0.0057473845581884,0.0029036476224354,0.0001215022441713,-0.0026258518643206,0.0001215022441713,-0.0026258518643206,CAMDA,haEWAS-only
cg00046423,Total_PBB_Exposure_GSE116339,chr20,48065678,48065679,KCNB1,Body,,0.15506538217064,0.0015946264913233,2.45586987741521e-06,0.01817494495938,0.0941754389806334,-0.0010787061244535,2.45586987741521e-06,0.01817494495938,CHALM,haEWAS-only
cg00046877,Total_PBB_Exposure_GSE116339,chr22,19702664,19702665,SEPT5,Body,S_Shore,0.0059283110122726,-0.0015275388157111,0.016847167765308,-0.0011174679133588,1.73902874432173e-05,-0.0007922934044905,1.73902874432173e-05,-0.0007922934044905,CAMDA,haEWAS-only
cg00073299,Total_PBB_Exposure_GSE116339,chr19,49715473,49715474,,,S_Shore,0.0003653719152057,0.0026189876936326,2.70999699560152e-05,0.0024325698081449,0.0017090465876371,0.000304713529062,2.70999699560152e-05,0.0024325698081449,CHALM,haEWAS-only
cg00073460,Total_PBB_Exposure_GSE116339,chr6,149806502,149806503,ZC3H12D,TSS1500,,0.323677701200555,0.0011126563040284,0.744751185644443,0.000316489580215,5.51274126200709e-05,-0.0004594534153426,5.51274126200709e-05,-0.0004594534153426,CAMDA,haEWAS-only
cg00081404,Total_PBB_Exposure_GSE116339,chr2,106957722,106957723,,,N_Shore,0.0142710911623937,0.0023305830430727,0.0001188981214292,0.0037447122987926,1.80783550425978e-06,-0.0030028953407443,1.80783550425978e-06,-0.0030028953407443,CAMDA,haEWAS-only
cg00082664,Total_PBB_Exposure_GSE116339,chr4,154710796,154710797,SFRP2,TSS1500,Island,0.0068181078797939,0.0025240143030717,5.37945844586006e-05,0.001147804521344,2.59168092963994e-05,0.0004916506675789,2.59168092963994e-05,0.0004916506675789,Both,haEWAS-only
cg00091285,Total_PBB_Exposure_GSE116339,chr1,98511031,98511032,,,Island,0.0875398216276399,0.0013087704487312,0.0009698258734086,0.0007019583659583,3.24437517100137e-05,0.0002626477598604,3.24437517100137e-05,0.0002626477598604,CAMDA,haEWAS-only
cg00092565,Total_PBB_Exposure_GSE116339,chr21,47515209,47515210,,,N_Shelf,0.0390839018422994,-0.0014530135257536,0.001130868833498,-0.0026424463763434,2.20165889833332e-05,0.0020514852237256,2.20165889833332e-05,0.0020514852237256,CAMDA,haEWAS-only
cg00100361,Total_PBB_Exposure_GSE116339,chr12,110752302,110752303,ATP2A2;ATP2A2,Body;Body,,0.0018212705463773,0.0018901751291007,1.44716920976665e-05,0.0022015070637037,0.0001008473593338,0.00046015527709,1.44716920976665e-05,0.0022015070637037,Both,haEWAS-only
cg00105060,Total_PBB_Exposure_GSE116339,chr7,147711696,147711697,CNTNAP2;MIR548T,Body;Body,,0.0242948634170436,0.0016560350168997,7.36424817213984e-05,0.0025273997009542,0.0004188925071077,-0.0011268084689073,7.36424817213984e-05,0.0025273997009542,CHALM,haEWAS-only
cg00106432,Total_PBB_Exposure_GSE116339,chr15,84540266,84540267,ADAMTSL3,Body,,0.0042389090497404,0.0025246723794775,0.0115787371076441,-0.0014495115572972,9.5506716091689e-07,-0.0033225752256715,9.5506716091689e-07,-0.0033225752256715,CAMDA,haEWAS-only
cg00110846,Total_PBB_Exposure_GSE116339,chr7,77669243,77669244,MAGI2,Body,N_Shore,0.0018896266245232,-0.0041021555314187,0.0064445723896066,-0.003323745879985,3.53189343329911e-05,0.0037909447246156,3.53189343329911e-05,0.0037909447246156,CAMDA,haEWAS-only
cg00115297,Total_PBB_Exposure_GSE116339,chr15,83409459,83409460,,,,0.0007619939934894,0.003402020227891,1.84415122681907e-16,0.0239068478367073,0.0080069303618525,-0.001485726824318,1.84415122681907e-16,0.0239068478367073,CHALM,haEWAS-only
cg00119079,Total_PBB_Exposure_GSE116339,chr3,182880278,182880279,LAMP3,Body,Island,0.0018531314399455,0.0017416702578705,0.0001933408770433,0.0014432067800634,5.02900957487372e-05,0.000912141017272,5.02900957487372e-05,0.000912141017272,CAMDA,haEWAS-only
cg00127037,Total_PBB_Exposure_GSE116339,chr6,19326520,19326521,,,,0.0763156465091558,0.0016447955260151,0.0376009285916827,0.0018633898410304,6.44505580074045e-05,-0.0023014682583285,6.44505580074045e-05,-0.0023014682583285,CAMDA,haEWAS-only
cg00136580,Total_PBB_Exposure_GSE116339,chr20,44783083,44783084,,,S_Shore,0.0034682131411884,-0.0042985668540071,3.43476274700577e-05,-0.0045543740038209,3.66944165054519e-05,0.0054944569355572,3.43476274700577e-05,-0.0045543740038209,Both,haEWAS-only
cg00151810,Total_PBB_Exposure_GSE116339,chr16,75300023,75300024,BCAR1;BCAR1;BCAR1;BCAR1;BCAR1,TSS200;TSS200;TSS200;Body;Body,Island,0.0039741941211663,0.0017273248785153,3.54866079280278e-05,0.0017281705167765,0.0002781039019225,0.0008584345447772,3.54866079280278e-05,0.0017281705167765,CHALM,haEWAS-only
cg00157962,Total_PBB_Exposure_GSE116339,chr1,109102212,109102213,FAM102B,TSS1500,N_Shore,0.0018794704975347,0.0019407089795999,3.96050868919582e-05,0.0022449620857355,0.0089570072447552,7.00720973128619e-05,3.96050868919582e-05,0.0022449620857355,CHALM,haEWAS-only
cg00157963,Total_PBB_Exposure_GSE116339,chr10,15288199,15288200,FAM171A1,Body,,0.135885813832907,-0.0009055798069119,0.0014576954917385,-0.0016948803523519,8.19668693086083e-05,0.0011749735380026,8.19668693086083e-05,0.0011749735380026,CAMDA,haEWAS-only
