CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg03612357,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,227162127,227162128,CABC1,Body,N_Shore,1.82920349658735e-06,-0.166949192488463,0.004866376398251,1.36100232622108e-06,-0.22167441560058,0.003725640062768,Common
cg05793340,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,116518770,116518771,SLC22A15,TSS1500,Island,0.0004313053282896,0.115781226675996,0.136222097479644,2.86955844508428e-05,0.16040516234852,0.0263327639402655,Beta-only
cg07420507,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,100315715,100315716,AGL;AGL;AGL;AGL;AGL;AGL,TSS1500;TSS1500;5'UTR;1stExon;TSS1500;TSS1500,Island,1.0,0.0,1.0,4.8618273196752e-06,0.179919116851926,0.0086288352389681,Beta-only
cg07813495,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,37947276,37947277,ZC3H12A,Body,,8.34288408010662e-05,-0.174120282491238,0.0528458141643668,2.88853476486787e-06,-0.221788056389495,0.0061384404316352,Beta-only
cg14285050,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,40778294,40778295,COL9A2,Body,N_Shelf,3.37066452595448e-05,-0.875428634440835,0.0287411810626884,1.11775001344613e-06,-0.318531336345368,0.0035397170425815,Common
cg19081101,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,203156625,203156626,CHI3L1,TSS1500,,2.59232238138563e-08,-0.665054761540109,0.0003831423676105,1.2008954826355e-08,-0.624143050116757,0.0001939542276094,Common
cg20335425,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,153363264,153363265,S100A8,5'UTR,,4.69177313408097e-07,-0.258955703801722,0.0022289106090082,8.58761055624711e-08,-0.300463541527872,0.0006934839028591,Common
cg21101726,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,204124158,204124159,REN,Body,S_Shelf,0.0002165020182455,0.14227329576307,0.094113993349671,8.5669311766395e-05,0.140703012353577,0.0497707885063558,Beta-only
cg27229484,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,37947371,37947372,ZC3H12A,Body,,0.328931417411454,-0.0461408358135653,0.904859269506037,3.1815068979431e-06,-0.343552592379762,0.0065860865417474,Beta-only
cg27391934,Edematous_Severe_Acute_Malnutrition_GSE112893,chr1,1369948,1369949,VWA1;VWA1,TSS1500;TSS1500,N_Shore,2.23466017947964e-07,-0.0818192731919167,0.0022221460824745,1.67446374810675e-07,-0.342006161786694,0.0010459369630152,Common
cg04255230,Edematous_Severe_Acute_Malnutrition_GSE112893,chr2,74727010,74727011,LBX2,Body,Island,0.0004926866898798,-0.242887679405034,0.142831352306658,4.73486550923803e-05,-0.201690866905002,0.0343708577151175,Beta-only
cg06202737,Edematous_Severe_Acute_Malnutrition_GSE112893,chr2,128166279,128166280,,,S_Shore,0.0002607630276184,-0.216679293846191,0.103623874080218,5.80585788790942e-05,-0.203008416433074,0.0381175811284746,Beta-only
cg16925003,Edematous_Severe_Acute_Malnutrition_GSE112893,chr2,1684003,1684004,PXDN,Body,,1.39459591139708e-05,-0.0756683034593138,0.0223132082869928,2.6353482139595e-06,0.121668747254264,0.0057517543154077,Common
cg03889263,Edematous_Severe_Acute_Malnutrition_GSE112893,chr3,177002388,177002389,,,,9.25108696999312e-07,-0.0860927466550243,0.0042889636243624,2.03625769987678e-06,-0.247860781842985,0.0048363515969367,Common
cg10408113,Edematous_Severe_Acute_Malnutrition_GSE112893,chr4,174895229,174895230,,,,1.19230321590556e-05,-0.122971285427225,0.0197604386316081,1.16316337048041e-05,0.123062351063713,0.0149095388602818,Common
cg05940946,Edematous_Severe_Acute_Malnutrition_GSE112893,chr5,37371056,37371057,NUP155;NUP155,1stExon;TSS200,Island,0.0165893366037063,-0.0076500171897722,0.618200265619579,5.07077337091117e-05,0.104295402880111,0.0349987378456889,Beta-only
cg23988801,Edematous_Severe_Acute_Malnutrition_GSE112893,chr5,3768181,3768182,,,,3.31557994688551e-05,-0.171504531614394,0.0284791193104715,0.0002833179267444,0.149886358147728,0.0970611597765851,haEWAS-only
cg24588339,Edematous_Severe_Acute_Malnutrition_GSE112893,chr5,2738626,2738627,,,N_Shore,4.72665527670594e-05,-0.116169535338702,0.0477362641351821,0.0238294634523428,0.0640728846374349,0.518811030324348,haEWAS-only
cg27219662,Edematous_Severe_Acute_Malnutrition_GSE112893,chr6,28891728,28891729,TRIM27;TRIM27,5'UTR;1stExon,Island,1.0,0.0,1.0,1.79371763810533e-05,-0.150590123734353,0.0201180380760497,Beta-only
cg13472359,Edematous_Severe_Acute_Malnutrition_GSE112893,chr7,158749953,158749954,,,N_Shore,9.25282474283823e-05,0.133213162288007,0.0797420773437456,6.50811417869973e-05,-0.150717697063969,0.0413823820776943,Beta-only
