CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg00775115,Preeclampsia_GSE103253,chrX,47343198,47343199,ZNF41;ZNF41,TSS1500;TSS1500,S_Shore,6.38863486618288e-06,0.301504958239138,0.0499692015097722,1.10777859085999e-05,0.295302689452678,0.0783687653425682,haEWAS-only
cg00870242,Preeclampsia_GSE103253,chr8,10530148,10530149,C8orf74;C8orf74,1stExon;5'UTR,,1.01582168430252e-06,0.212886375381212,0.0226503694156775,1.24925636982487e-06,0.225332327039911,0.0414966108568208,Common
cg01034396,Preeclampsia_GSE103253,chr13,37494802,37494803,SMAD9;SMAD9,TSS1500;TSS1500,S_Shore,2.8998729167977e-06,0.0949624284809813,0.0435191493509701,4.54855930418924e-05,-0.16201292622375,0.106435402635464,haEWAS-only
cg01413054,Preeclampsia_GSE103253,chr2,231658979,231658980,CAB39;CAB39;CAB39,Body;Body;Body,,4.40955427044751e-06,0.368278650296958,0.0399428415145171,4.88447381561303e-06,0.337732109572495,0.0644016577770964,haEWAS-only
cg01517968,Preeclampsia_GSE103253,chr12,52348879,52348880,ACVR1B;ACVR1B;ACVR1B,Body;Body;Body,S_Shelf,7.53444146409463e-07,0.491884586706186,0.0226503694156775,1.06028481856645e-05,0.283645324467494,0.0779971216411872,haEWAS-only
cg01728482,Preeclampsia_GSE103253,chr2,85389840,85389841,TCF7L1,Body,,4.75915340235662e-07,0.365520829112856,0.0187126018627857,1.12852324198545e-05,-0.441394434469807,0.0783687653425682,haEWAS-only
cg01751245,Preeclampsia_GSE103253,chr2,65593761,65593762,SPRED2;SPRED2;SPRED2,5'UTR;1stExon;Body,,4.18277837143769e-06,0.471020529576311,0.0390740140357863,6.49969770279153e-06,0.378412631829674,0.0644016577770964,haEWAS-only
cg02171545,Preeclampsia_GSE103253,chr15,25093366,25093367,SNRPN;SNRPN;SNRPN,5'UTR;5'UTR;5'UTR,Island,5.7675465815635e-07,0.187336008872614,0.0187126018627857,1.45852253659171e-05,-0.363899222213752,0.0833388575399042,haEWAS-only
cg03463778,Preeclampsia_GSE103253,chr10,48185200,48185201,LOC642826,TSS1500,N_Shore,1.0,0.0,1.0,5.70993461577027e-07,0.2781788761531,0.0231020147930988,Beta-only
cg03567151,Preeclampsia_GSE103253,chr19,43891281,43891282,TEX101,TSS1500,,1.95951154871137e-06,-0.0893281361172316,0.0358200857053988,0.0003930722527353,0.176646817999635,0.220306843433256,haEWAS-only
cg04202511,Preeclampsia_GSE103253,chr16,68117991,68117992,NFATC3;NFATC3;NFATC3;NFATC3,TSS1500;TSS1500;TSS1500;TSS1500,N_Shore,1.57447292601417e-06,-0.115648574584044,0.0352323854642934,0.0054060724456029,-0.184543022403449,0.421930144210555,haEWAS-only
cg04748098,Preeclampsia_GSE103253,chr19,53018151,53018152,ZNF578,3'UTR,,2.25769020115383e-07,-0.24894180685275,0.0137088454140862,9.32831203711159e-07,-0.566832391581519,0.0348385187212471,Common
cg05182217,Preeclampsia_GSE103253,chr7,138803256,138803257,,,,1.05844293847138e-07,-0.400179168342936,0.0091334893435837,9.91401339525579e-05,0.484804311490485,0.145397956490934,haEWAS-only
cg05438220,Preeclampsia_GSE103253,chr7,90272360,90272361,,,,6.53716785526152e-07,0.559053779432892,0.0187126018627857,2.59579532094491e-07,-0.530886162292298,0.0157536222232826,Common
cg05675570,Preeclampsia_GSE103253,chr7,2040555,2040556,MAD1L1;MAD1L1;MAD1L1,Body;Body;Body,,2.27272658506816e-06,0.447575255780076,0.0365407927262584,4.83950122932151e-08,-0.778840278615192,0.0078321197361678,Common
cg05866980,Preeclampsia_GSE103253,chr15,91575738,91575739,,,,1.03419876863219e-06,-0.365250384810538,0.0226503694156775,1.26742523322615e-07,-0.289035944776225,0.0087907165690584,Common
cg07229212,Preeclampsia_GSE103253,chr8,11056726,11056727,XKR6,Body,N_Shore,1.92621609319675e-06,-0.0806593473199395,0.0358200857053988,0.847742792693807,0.0102157062748386,0.986343605845007,haEWAS-only
cg07349464,Preeclampsia_GSE103253,chr11,34945827,34945828,PDHX;PDHX;PDHX,Body;Body;Body,,3.93863907553813e-07,-0.286865872651502,0.0182144054611919,9.62570237204802e-08,-0.412275559550772,0.0087907165690584,Common
cg08182270,Preeclampsia_GSE103253,chr15,65677663,65677664,IGDCC4,Body,,4.07723044112517e-06,-0.177924708374561,0.0390740140357863,4.67780556867278e-05,-0.183877067931224,0.107267626530023,haEWAS-only
cg08599229,Preeclampsia_GSE103253,chr7,45809732,45809733,SEPT13,TSS1500,S_Shore,0.0007599014262678,0.0896647096273007,0.281341374867303,5.05444574202738e-07,-0.175370864131959,0.0231020147930988,Beta-only
cg08794763,Preeclampsia_GSE103253,chr19,2977843,2977844,TLE6;TLE6,5'UTR;5'UTR,S_Shore,3.04025703326599e-06,-0.221386168182434,0.0361147446729596,2.11591428578278e-05,-0.220305977330581,0.0914628206038513,haEWAS-only
cg09265876,Preeclampsia_GSE103253,chr12,25537944,25537945,,,N_Shore,1.34178737369194e-06,-0.327459506782173,0.0257287022701549,4.17127565571489e-07,-0.275888909371406,0.022502270957305,Common
cg09401801,Preeclampsia_GSE103253,chr17,80455818,80455819,,,S_Shore,1.64149085113024e-06,-0.202357842170132,0.0284697495984186,1.33346053962402e-06,-0.254310058295616,0.0414966108568208,Common
cg09548403,Preeclampsia_GSE103253,chr1,232840764,232840765,,,,6.63644527510932e-07,0.273783187346305,0.0219801480764448,3.10878289268943e-06,0.288841496756811,0.0561347478986172,haEWAS-only
cg10692363,Preeclampsia_GSE103253,chr10,80327890,80327891,,,,2.19504624350355e-06,-0.0860781059196667,0.0365407927262584,0.0004917812177028,0.180332923119992,0.230024742359691,haEWAS-only
