CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg18808777,HCV_Status_Blood,chr6,31431503,31431504,HCP5,3'UTR,,1.0,0.0,1.0,4.80837833768609e-11,-0.2287748041423665,1.964222550944768e-05,Beta-only
cg07839457,HCV_Status_Blood,chr16,57023022,57023023,NLRC5,TSS1500,N_Shore,2.588637724936631e-12,-0.2294039746419444,8.491456556355132e-07,2.4000290774478717e-10,-0.2090801932807434,3.93334583097304e-05,Common
cg11187245,HCV_Status_Blood,chr6,31323397,31323398,HLA-B,Body,N_Shore,1.6129110976959634e-10,-0.1605635480361374,2.645400007775057e-05,2.8886260692580457e-10,-0.1573286120238483,3.93334583097304e-05,Common
cg05349042,HCV_Status_Blood,chr1,147013020,147013021,BCL9,TSS200,,1.1035197047903901e-07,0.1634937793903133,0.0022624085107686,1.2780219562018763e-09,0.1810710502015486,0.0001305179922771,Common
cg14055655,HCV_Status_Blood,chr19,50117794,50117795,PRR12,Body,N_Shore,2.6539458895548846e-10,-0.1446889155296351,3.5931546553493373e-05,3.2353821835520983e-09,0.1329035718561215,0.0002643307243962,Common
cg21488876,HCV_Status_Blood,chr19,5250376,5250377,PTPRS;PTPRS;PTPRS;PTPRS,Body;Body;Body;Body,N_Shore,8.152987607067018e-06,-0.1622085170724095,0.0301308524231856,3.920969677146397e-09,0.2078487984862812,0.000266952685519,Common
cg10919522,HCV_Status_Blood,chr14,74227441,74227442,C14orf43;C14orf43,5'UTR;TSS1500,S_Shore,4.57532911900289e-10,-0.1975713235609473,3.5931546553493373e-05,5.715314897026859e-09,-0.1836183722989711,0.0003335294479193,Common
cg07945582,HCV_Status_Blood,chr7,26206579,26206580,NFE2L3,Body,,2.3593802651028368e-09,-0.1351915507526006,0.0001105632556573,7.606466116065768e-09,-0.1344824668530783,0.0003884051760516,Common
cg04338890,HCV_Status_Blood,chr16,57019755,57019756,,,N_Shelf,1.2805260768733955e-09,-0.1653469038322385,0.0001050121019861,1.4574699940788706e-08,-0.1507498272371155,0.0006615294362013,Common
cg15194251,HCV_Status_Blood,chr11,2239813,2239814,,,,4.856857489449602e-09,-0.1537622920270787,0.0001991481560686,1.786695207787535e-08,-0.1479470825382299,0.0007298649923812,Common
cg15472170,HCV_Status_Blood,chr1,12012720,12012721,PLOD1,Body,,6.754717374816834e-09,-0.1455125350486886,0.0003684705655992,2.170539125137084e-08,0.1398306618288378,0.0007930755322874,Common
cg00004089,HCV_Status_Blood,chr17,74678836,74678837,MXRA7;MXRA7;MXRA7,Body;3'UTR;Body,,1.743132239637379e-08,-0.1361956808689579,0.000547575359834,2.351988275821989e-08,0.1341704018965384,0.0007930755322874,Common
cg01127300,HCV_Status_Blood,chr22,38614796,38614797,,,S_Shelf,2.1566145123841902e-09,-0.2022342034784978,0.0001105632556573,2.5816712270438823e-08,-0.1873663038508825,0.0007930755322874,Common
cg16363586,HCV_Status_Blood,chr19,17516329,17516330,BST2,1stExon,,1.8326175309098592e-08,-0.1662823417487546,0.000578882272671,4.6616280242831225e-08,-0.1631045751654045,0.0012695166986131,Common
cg19115490,HCV_Status_Blood,chr6,37483925,37483926,,,,1.5449281436816243e-08,0.200999049061308,0.000547575359834,5.166467461795816e-08,0.1949441520297042,0.0012924875463445,Common
cg16411857,HCV_Status_Blood,chr16,57023191,57023192,NLRC5,TSS1500,Island,5.4744459814203735e-09,-0.1985674518263021,0.0001995301740437,5.37877314268253e-08,-0.1860435678824221,0.0012924875463445,Common
cg24119607,HCV_Status_Blood,chr5,139047739,139047740,CXXC5,5'UTR,N_Shore,3.715078089146332e-08,-0.153926232079264,0.0009374227964819,6.202629736756847e-08,-0.1523504441619608,0.0014076523597028,Common
cg21954370,HCV_Status_Blood,chr15,45018720,45018721,,,,2.30942290008545e-08,-0.1849408522943756,0.000631296145891,1.0741753685886753e-07,-0.1771645795496136,0.0021940031903423,Common
cg03946955,HCV_Status_Blood,chr1,156096301,156096302,LMNA;LMNA;LMNA,Body;Body;Body,,1.989023889907676e-07,0.1641075112148824,0.0028367631676462,1.2945427931731974e-07,0.1671660161799527,0.0024304437437113,Common
cg01079060,HCV_Status_Blood,chr7,139437439,139437440,HIPK2;HIPK2,Body;Body,,3.486833929511737e-07,0.1674078392072141,0.0034841435333473,1.3089293111786754e-07,0.1737495633466904,0.0024304437437113,Common
cg08818207,HCV_Status_Blood,chr6,32820355,32820356,TAP1,Body,N_Shore,1.0,0.0,1.0,2.032978084278551e-07,-0.156367278737041,0.0036107458583816,Beta-only
cg13566088,HCV_Status_Blood,chr9,90435638,90435639,,,N_Shelf,1.5839565495143105e-07,-0.1570416221729319,0.0023617368137458,2.530217075975331e-07,-0.1549456137993642,0.004306640314733,Common
cg02787737,HCV_Status_Blood,chr11,133928346,133928347,,,,1.233236235923266e-07,0.1680896165538311,0.0023617368137458,2.7847295988856855e-07,0.1644173294611447,0.0045502481645792,Common
cg22038059,HCV_Status_Blood,chr19,18699342,18699343,C19orf60;C19orf60,TSS200;TSS200,N_Shore,3.58556789065924e-08,-0.2059248236606877,0.0007847989141633,3.0175388850874094e-07,-0.1906299760372687,0.0047173410144788,Common
cg19956914,HCV_Status_Blood,chr7,56147257,56147258,SUMF2;SUMF2;SUMF2;SUMF2;SUMF2,Body;Body;Body;Body;Body,,8.599779746222227e-08,0.1933390995548936,0.0018806457003958,3.117948773339751e-07,0.1864140450885515,0.0047173410144788,Common
cg16365445,HCV_Status_Blood,chr10,33230686,33230687,ITGB1;ITGB1,5'UTR;5'UTR,,2.60664716177545e-07,0.1628901386365726,0.0032439381836137,3.614540293535182e-07,0.1602744181631561,0.0052733561068182,Common
cg13810707,HCV_Status_Blood,chr7,122018993,122018994,CADPS2;CADPS2;CADPS2,Body;Body;Body,,6.628184880935194e-06,0.100767152513866,0.0281369135297677,3.828034953120216e-07,-0.1120948637153947,0.0053096485345277,Common
cg11201256,HCV_Status_Blood,chr1,184403226,184403227,C1orf21,5'UTR,,1.49608956062425e-07,-0.1557932613293385,0.0023617368137458,3.89937468875964e-07,-0.1508688280322448,0.0053096485345277,Common
cg07267067,HCV_Status_Blood,chr12,53497074,53497075,SOAT2,TSS200,,7.44312985067609e-07,-0.1344065470331058,0.0057163814688664,4.670047751758522e-07,-0.137415051308891,0.0061539177632043,Common
cg19268652,HCV_Status_Blood,chr6,12119552,12119553,HIVEP1,Body,,2.514633806502019e-07,-0.1290153119640673,0.0032439381836137,5.126824202064819e-07,-0.127367688571915,0.0065447115204483,Common
cg22917487,HCV_Status_Blood,chr3,39322103,39322104,CX3CR1;CX3CR1;CX3CR1;CX3CR1,Body;TSS200;5'UTR;TSS1500,,7.145889001227145e-07,0.1119687980801025,0.0057163814688664,5.582875600228412e-07,0.1133588710136522,0.0069109232808888,Common
cg08099136,HCV_Status_Blood,chr6,32811251,32811252,PSMB8;PSMB8,Body;Body,N_Shore,1.0,0.0,1.0,5.871172454952909e-07,-0.1584856064347657,0.0070540410230831,Beta-only
cg25234359,HCV_Status_Blood,chr19,18699219,18699220,C19orf60;C19orf60,TSS1500;TSS1500,N_Shore,3.826657556226277e-07,-0.1800222829721694,0.0036919141907464,7.761164057311239e-07,-0.1752732387839869,0.0088259400533626,Common
cg26207239,HCV_Status_Blood,chr11,102231936,102231937,BIRC2,Body,,1.0672141770730437e-06,-0.0968771085362833,0.007448428342062,7.778062225729586e-07,-0.0983800196999945,0.0088259400533626,Common
cg10990997,HCV_Status_Blood,chr6,39873526,39873527,MOCS1;MOCS1;MOCS1;MOCS1;MOCS1,Body;3'UTR;3'UTR;3'UTR;3'UTR,S_Shelf,5.405724614879069e-07,0.1627788661013082,0.0050663686684844,8.664347952727819e-07,0.1614147536083006,0.009565908482944,Common
cg15129608,HCV_Status_Blood,chr19,54393153,54393154,PRKCG,Body,Island,1.89559420529928e-05,0.1489074342161308,0.0359426575708619,9.217360423393452e-07,0.158655917798426,0.0099086624551479,Common
cg16116203,HCV_Status_Blood,chr12,6876922,6876923,PTMS,Body,Island,1.2765802741020798e-06,0.1485498114434333,0.0083750814830631,9.72064267321553e-07,0.1523023645294355,0.0101817500820731,Common
cg05120113,HCV_Status_Blood,chr3,33140160,33140161,GLB1;GLB1,TSS1500;TSS1500,S_Shore,9.81510613061504e-05,0.11711372554293,0.0750496418138319,1.1359036588883677e-06,0.1219047644019908,0.0111099853736989,Beta-only
cg04011474,HCV_Status_Blood,chr2,28904455,28904456,,,,3.505089096066909e-07,-0.116631397751528,0.0034841435333473,1.1422751179812876e-06,-0.109366955176163,0.0111099853736989,Common
cg01082299,HCV_Status_Blood,chr6,31431969,31431970,HCP5,3'UTR,,1.0,0.0,1.0,1.2041041238289908e-06,-0.1454874338605748,0.0114389891763754,Beta-only
cg15664152,HCV_Status_Blood,chr7,129008407,129008408,AHCYL2;AHCYL2;AHCYL2;AHCYL2,Body;Body;Body;Body,,5.862253100810408e-07,-0.1173577737378624,0.0064914706738494,1.3569234122733544e-06,-0.1122339611126894,0.0123215548450592,Common
cg13651690,HCV_Status_Blood,chr14,106320748,106320749,,,N_Shore,1.0,0.0,1.0,1.3782654131846282e-06,-0.1652829954541013,0.0123215548450592,Beta-only
cg19427338,HCV_Status_Blood,chr2,42566455,42566456,,,,8.475039354751977e-07,0.1489285992411958,0.0061778893543568,1.387494548036046e-06,0.1475939905382236,0.0123215548450592,Common
cg01404122,HCV_Status_Blood,chr11,2243685,2243686,,,,2.1689229638236693e-06,-0.131549988672488,0.0112931343170976,1.482730589204847e-06,-0.1351671710637151,0.0128871371423442,Common
cg02169553,HCV_Status_Blood,chr16,88784822,88784823,FAM38A,Body,N_Shelf,1.3332438540072209e-05,0.1291474842759683,0.0299548845850877,1.5497528888868545e-06,0.1492999154319647,0.0129117793483346,Common
cg26002568,HCV_Status_Blood,chr4,74806905,74806906,,,N_Shelf,0.0696584366301608,-0.0907272916335599,0.6467204868463766,1.5803891491229706e-06,-0.0836993848247924,0.0129117793483346,Beta-only
cg27486585,HCV_Status_Blood,chr6,30459595,30459596,HLA-E,Body,S_Shore,1.0,0.0,1.0,1.661644288343899e-06,-0.1066350834398519,0.0129500858474592,Beta-only
cg05429117,HCV_Status_Blood,chr10,83630419,83630420,,,N_Shelf,0.0472939486419926,0.1439999797104919,0.5906622697766852,1.6793659804102943e-06,0.1536470719213929,0.0129500858474592,Beta-only
cg00667525,HCV_Status_Blood,chr19,18699118,18699119,C19orf60;C19orf60,TSS1500;TSS1500,N_Shore,7.256489380322056e-07,-0.1795448518273725,0.0057163814688664,1.699942779231543e-06,-0.1733451149510455,0.0129500858474592,Common
cg09432376,HCV_Status_Blood,chr22,36044226,36044227,APOL6,TSS200,,2.904959735985296e-07,-0.1341112237511955,0.0032858901112958,1.7118840532749015e-06,-0.125893149101981,0.0129500858474592,Common
cg19103704,HCV_Status_Blood,chr19,40440963,40440964,FCGBP,TSS1500,,7.493397001513821e-07,0.1649285908612722,0.0057163814688664,1.824765348849795e-06,0.1601842345766679,0.013488905399873,Common
cg05609656,HCV_Status_Blood,chr6,39815893,39815894,DAAM2,5'UTR,,1.2526545818261545e-05,-0.1272250589053485,0.0288341371641351,1.8491522702396327e-06,-0.1391788587583829,0.013488905399873,Common
cg10623913,HCV_Status_Blood,chr12,105727197,105727198,C12orf75,Body,S_Shelf,2.09173676543927e-06,-0.1236118835990749,0.0136892405278694,1.95531967808785e-06,0.1259741112981986,0.0140131243596295,Common
cg22809682,HCV_Status_Blood,chr17,63549924,63549925,AXIN2,Body,,1.2683678219250397e-06,-0.1782817293431346,0.0083750814830631,2.049662159823833e-06,-0.17640571108099,0.0143867072283174,Common
cg26642774,HCV_Status_Blood,chr19,18170383,18170384,IL12RB1,3'UTR,,9.233000904978644e-07,0.1853500546916166,0.0085305596273048,2.1131026528740444e-06,-0.1793325397297898,0.0143867072283174,Common
cg02741808,HCV_Status_Blood,chr17,73780792,73780793,UNK,Body,N_Shore,1.0,0.0,1.0,2.244165629277585e-06,0.1653415880788024,0.0147861557993531,Beta-only
cg23691223,HCV_Status_Blood,chr1,57785036,57785037,DAB1,5'UTR,,3.0863462267858752e-06,0.1728332902397702,0.0145962016659789,2.4041405044213853e-06,0.1758577585492872,0.0155887523183513,Common
cg18321073,HCV_Status_Blood,chr5,12795705,12795706,,,S_Shore,1.653140174817232e-06,0.1728727574441314,0.0115401307230191,2.537747783606088e-06,-0.1716025184768908,0.0161603768250764,Common
cg02146383,HCV_Status_Blood,chr16,22039309,22039310,C16orf52,Body,,0.0008323713621675,-0.0431075308620184,0.1762785672043372,2.596995099474672e-06,-0.0626437072930895,0.0161603768250764,Beta-only
cg01937809,HCV_Status_Blood,chr1,37941854,37941855,ZC3H12A,Body,S_Shore,8.457329601159726e-07,-0.1225503619554385,0.0061778893543568,2.6109788750429545e-06,-0.1181786495940366,0.0161603768250764,Common
cg08813944,HCV_Status_Blood,chr17,71258589,71258590,CPSF4L,TSS1500,,1.3982463114604397e-06,-0.1470821238595681,0.0114435580436576,2.866341621196697e-06,0.1440847261956317,0.0172290898385537,Common
cg16550651,HCV_Status_Blood,chr17,40268381,40268382,KAT2A,Body,N_Shore,1.4670191775633518e-06,0.1714614563948382,0.0114435580436576,2.9110480723635525e-06,-0.1672421177219224,0.0172290898385537,Common
cg19481029,HCV_Status_Blood,chr17,43314586,43314587,FMNL1,Body,N_Shelf,0.0047168071487052,0.0979800001201273,0.3141613838325864,3.10778435282021e-06,0.1440178706291268,0.0178807029313669,Beta-only
cg08881019,HCV_Status_Blood,chr1,156096178,156096179,LMNA;LMNA;LMNA,Body;Body;Body,,2.156504874771439e-06,0.1448517040761628,0.0112931343170976,3.206139650396916e-06,0.1434104769801224,0.0181903895442658,Common
cg10695831,HCV_Status_Blood,chr1,98519324,98519325,,,Island,0.0002055754526915,0.1353857251671692,0.1043089338093794,3.2762301276654733e-06,0.1625663025506753,0.0182033796770295,Beta-only
cg13335567,HCV_Status_Blood,chr8,71127379,71127380,NCOA2,Body,,2.071233773802388e-06,-0.1465258322993669,0.0112673629385754,3.2975522548352107e-06,-0.1455192413717628,0.0182033796770295,Common
cg26713179,HCV_Status_Blood,chr19,52772371,52772372,ZNF766,TSS1500,N_Shore,1.778243340050108e-05,0.1506005345483092,0.0345155980088731,3.623493753707845e-06,0.1628172053911001,0.0197359626451953,Common
cg23576855,HCV_Status_Blood,chr5,373299,373300,AHRR,Body,N_Shore,2.446253361781517e-07,0.1822248181703683,0.0038422445364825,3.789036335777923e-06,-0.1661810638566804,0.0200224468496604,Common
cg22160883,HCV_Status_Blood,chr5,138609222,138609223,MATR3;SNHG4,TSS1500;TSS1500,N_Shore,2.4205250304795133e-07,-0.1797659130761494,0.0038422445364825,3.817515211562963e-06,-0.1574323031168965,0.0200224468496604,Common
cg13519902,HCV_Status_Blood,chr3,50639079,50639080,,,,6.391021618675332e-06,0.1066089239786274,0.0220677267319034,3.823135506177523e-06,0.1093694234909876,0.0200224468496604,Common
cg05971521,HCV_Status_Blood,chr20,35584019,35584020,,,S_Shelf,7.624299981268651e-07,-0.1240323069915907,0.0076972824375441,4.136241219783964e-06,0.1102639452810195,0.0211548221123492,Common
cg07150062,HCV_Status_Blood,chr14,104552032,104552033,ASPG,TSS200,Island,1.8104923405129653e-06,-0.1534301547043104,0.0104191610784874,4.258859189442843e-06,-0.1446381807790364,0.0211896413019624,Common
cg15770046,HCV_Status_Blood,chr19,35764710,35764711,USF2;USF2,Body;Body,S_Shelf,1.9074398432102035e-06,0.1414348055747653,0.0106049775743823,4.268291395556518e-06,0.1386408874063489,0.0211896413019624,Common
cg05575921,HCV_Status_Blood,chr5,373378,373379,AHRR,Body,N_Shore,0.0260999368460474,-0.0822982031760459,0.5081605067037692,4.3053616354048455e-06,-0.1641702454973191,0.0211896413019624,Beta-only
cg23220551,HCV_Status_Blood,chr2,24232889,24232890,MFSD2B,TSS200,Island,8.525419767302588e-05,0.1288658032254582,0.0872845205607685,4.393638328175211e-06,0.1536248887245812,0.0213666816316615,Beta-only
cg18826637,HCV_Status_Blood,chr2,145116633,145116634,,,,6.218303056051901e-07,-0.165212133171803,0.0053678355654489,4.735490716070455e-06,-0.1524497796354336,0.0227582112648797,Common
cg24906420,HCV_Status_Blood,chr12,133133512,133133513,FBRSL1,Body,N_Shore,7.227263636944619e-06,0.1550820814989531,0.0234512248615019,4.858991809695948e-06,0.1596860198080134,0.0230802110960557,Common
cg10832076,HCV_Status_Blood,chr12,21418929,21418930,SLCO1A2;SLCO1A2,3'UTR;3'UTR,,0.0050800696036057,-0.1007014790328658,0.3588901917060545,5.171158727286919e-06,-0.1464137956496254,0.0241799033294847,Beta-only
cg21684411,HCV_Status_Blood,chr6,31431573,31431574,HCP5,3'UTR,,1.0,0.0,1.0,5.24468984540739e-06,-0.1595039134888397,0.0241799033294847,Beta-only
cg16522412,HCV_Status_Blood,chr13,33926811,33926812,,,S_Shelf,9.467818784233649e-06,0.1250529275203457,0.0256670219847487,5.268081753547474e-06,0.129848386603981,0.0241799033294847,Common
cg18093448,HCV_Status_Blood,chr4,184060895,184060896,WWC2,Body,,1.587119845353822e-06,0.1744319327503189,0.0114435580436576,5.6178969800119725e-06,-0.1670994152530369,0.0254990101814987,Common
cg26660744,HCV_Status_Blood,chr1,1573181,1573182,CDK11B;CDK11B;CDK11B;CDK11B;CDK11B;CDK11B,Body;Body;Body;Body;Body;Body,S_Shore,6.149623176371239e-06,0.1650673495310309,0.0275971368180432,5.781442740409299e-06,-0.1662577688671637,0.0259529599940351,Common
cg17901584,HCV_Status_Blood,chr1,55353706,55353707,DHCR24,TSS1500,S_Shore,7.49066401360552e-07,0.1307554459008709,0.0057163814688664,6.152860143070757e-06,0.1204034342962912,0.0271575041533804,Common
cg15428479,HCV_Status_Blood,chr19,18698825,18698826,C19orf60;C19orf60,TSS1500;TSS1500,N_Shore,6.030645905598032e-06,-0.114060880702766,0.0217386891771594,6.3690140136404825e-06,-0.1143881500918792,0.0274579142742085,Common
cg19464087,HCV_Status_Blood,chr3,9442171,9442172,SETD5,5'UTR,S_Shelf,7.775949793534651e-06,0.0890129552563872,0.0299115236506276,6.385561459118278e-06,-0.0669475540764728,0.0274579142742085,Common
cg02492279,HCV_Status_Blood,chr10,70805603,70805604,,,,7.752628263723568e-06,-0.0974834177981873,0.0234512248615019,6.892323589740055e-06,-0.0970219502402302,0.0292688383300436,Common
cg01305745,HCV_Status_Blood,chr16,31106788,31106789,VKORC1;VKORC1,TSS1500;TSS1500,S_Shore,5.184842887313728e-05,-0.1272181322739005,0.0733662275099334,6.999323460469272e-06,0.1418782490803431,0.0292688383300436,Beta-only
cg00293189,HCV_Status_Blood,chr3,186856440,186856441,RPL39L,5'UTR,N_Shore,5.691856501510272e-06,-0.0996004046750467,0.026653791463653,7.076070558441371e-06,0.1008843791138315,0.0292688383300436,Common
