CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg03625007,Assisted_Reproductive_Technologies(ART)_Blood,chr2,197478067.0,197478068.0,,,,1.0,0.0,1.0,8.375564161294297e-09,-0.0789854647686642,0.0037164504024478,Beta-only
cg26897054,Assisted_Reproductive_Technologies(ART)_Blood,chr19,42721870.0,42721871.0,DEDD2,TSS200,Island,3.065019061969824e-10,-0.1431070954185364,0.0002174440993285,8.380850414420264e-09,0.1229022946514532,0.0037164504024478,Common
cg22560193,Assisted_Reproductive_Technologies(ART)_Blood,chr19,1465962.0,1465963.0,APC2,Body,Island,5.1166048981534295e-09,-0.1388945748559007,0.0019879749674991,1.2762725157321224e-08,-0.134583005864318,0.0037730486925005,Common
cg04311227,Assisted_Reproductive_Technologies(ART)_Blood,chr1,32860059.0,32860060.0,BSDC1;BSDC1;BSDC1;BSDC1;BSDC1;BSDC1;BSDC1;BSDC1,1stExon;5'UTR;5'UTR;1stExon;5'UTR;1stExon;1stExon;5'UTR,Island,0.0001818581938818,0.0999316359018211,0.2832238840872481,4.17445566440753e-08,0.1432694569762145,0.0092557178966551,Beta-only
cg23628099,Assisted_Reproductive_Technologies(ART)_Blood,chr8,48089762.0,48089763.0,,,,1.0,0.0,1.0,7.388497870450466e-08,-0.0843165145923986,0.0131055845296433,Beta-only
cg19218358,Assisted_Reproductive_Technologies(ART)_Blood,chr2,235411933.0,235411934.0,,,,0.0046975817130235,-0.0452790121046095,0.5648058837344588,1.6073425768589122e-07,-0.0815696516687538,0.0212901157525175,Beta-only
cg06422558,Assisted_Reproductive_Technologies(ART)_Blood,chr1,30464177.0,30464178.0,,,,7.160653871945281e-07,-0.1232335016024233,0.0556431498296477,1.806973861438034e-07,-0.1281843657855411,0.0212901157525175,Beta-only
cg04871207,Assisted_Reproductive_Technologies(ART)_Blood,chr18,28855179.0,28855180.0,,,,0.0001985356571216,-0.0602965927334374,0.3406862524127111,2.111511268570907e-07,-0.0747403857573913,0.0212901157525175,Beta-only
cg17973328,Assisted_Reproductive_Technologies(ART)_Blood,chr1,30689724.0,30689725.0,,,,1.0,0.0,1.0,2.3496129657782242e-07,-0.0922878743025647,0.0212901157525175,Beta-only
cg06424894,Assisted_Reproductive_Technologies(ART)_Blood,chr15,45314789.0,45314790.0,SORD,TSS1500,N_Shore,9.01432677535486e-07,-0.1143128449173688,0.0583728739889287,2.400533521314062e-07,-0.1192800787087111,0.0212901157525175,Beta-only
cg22023531,Assisted_Reproductive_Technologies(ART)_Blood,chr15,45314915.0,45314916.0,SORD,TSS1500,N_Shore,5.808313515154096e-08,-0.1263227459395772,0.0206031916178194,2.896720437959515e-07,-0.1201839872448832,0.0233552298722032,Common
cg09499787,Assisted_Reproductive_Technologies(ART)_Blood,chr10,118900492.0,118900493.0,,,S_Shore,2.0042254556595108e-06,0.3705277575168067,0.0888671061757607,4.326643143629055e-07,0.3964860434755279,0.0300873973150028,Beta-only
cg04985016,Assisted_Reproductive_Technologies(ART)_Blood,chr2,230758152.0,230758153.0,TRIP12;TRIP12;TRIP12,5'UTR;5'UTR;5'UTR,,1.0,0.0,1.0,4.410194320328388e-07,-0.1102451050199936,0.0300873973150028,Beta-only
cg10181968,Assisted_Reproductive_Technologies(ART)_Blood,chr7,139477474.0,139477475.0,HIPK2;HIPK2;TBXAS1;TBXAS1;HIPK2;HIPK2,1stExon;5'UTR;TSS1500;TSS1500;5'UTR;1stExon,Island,1.0,0.0,1.0,5.380586408571458e-07,0.1185384569721563,0.0340856690034596,Beta-only
cg13604246,Assisted_Reproductive_Technologies(ART)_Blood,chr2,241497412.0,241497413.0,ANKMY1;ANKMY1,TSS200;TSS200,Island,8.555618395724464e-07,-0.1104332353200918,0.0583728739889287,5.920846381141505e-07,-0.1086182565120735,0.0350076357854464,Beta-only
cg15490897,Assisted_Reproductive_Technologies(ART)_Blood,chr1,55038020.0,55038021.0,ACOT11;ACOT11,Body;Body,,3.268969713330436e-06,-0.0925467750400482,0.1045888356125658,8.478016850203661e-07,0.096908360186576,0.0469942302643373,Beta-only
cg01612660,Assisted_Reproductive_Technologies(ART)_Blood,chr4,56211433.0,56211434.0,SRD5A3,TSS1500,N_Shore,2.6120646710792337e-07,-0.1206769551336535,0.0289964552832314,1.96222788355467e-06,-0.1107199423095158,0.0756644456466819,haEWAS-only
cg05060704,Assisted_Reproductive_Technologies(ART)_Blood,chr3,50275694.0,50275695.0,GNAI2,Body,S_Shore,2.4929725476389045e-07,0.1193584574796376,0.0289964552832314,3.501031380661017e-06,0.1058807256923099,0.0843427803398544,haEWAS-only
cg18875631,Assisted_Reproductive_Technologies(ART)_Blood,chr14,101497760.0,101497761.0,MIR543,TSS1500,,4.754560306078501e-07,-0.1175054145385047,0.0461827083490476,4.257210548051422e-06,-0.1070695778853055,0.0894588523017853,haEWAS-only
cg23282852,Assisted_Reproductive_Technologies(ART)_Blood,chr6,52255402.0,52255403.0,PAQR8,5'UTR,,1.068601294264495e-07,0.0930438726084311,0.0210277282569075,3.969974646236534e-05,0.0660755842257236,0.1873975037186383,haEWAS-only
cg02692912,Assisted_Reproductive_Technologies(ART)_Blood,chr16,24267226.0,24267227.0,CACNG3;CACNG3,1stExon;5'UTR,Island,4.843512887084865e-08,0.1487530499207636,0.0125457962404708,0.2137247411386202,0.0554724616371391,0.9088973375792307,haEWAS-only
cg01177697,Assisted_Reproductive_Technologies(ART)_Blood,chr10,103557892.0,103557893.0,MGEA5;MGEA5;MGEA5;MGEA5,ExonBnd;ExonBnd;Body;Body,,6.736440974293221e-08,-0.1303423618263637,0.0130866817875302,0.4845153451739137,-0.0528417162623857,0.9697284485097816,haEWAS-only
