CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,FDR_Beta,P_haEWAS,Effect_haEWAS,FDR_haEWAS,Group
cg13894813,Liver_Cancer_Liver,chr11,68181087.0,68181088.0,LRP5,Body,Island,1.5683575404373374e-32,0.350847326971659,3.52012304184777e-27,7.394783093816085e-08,0.1952773979603791,0.0051327214592882,Common
cg18473978,Liver_Cancer_Liver,chr3,195615386.0,195615387.0,TNK2;TNK2,Body;Body,S_Shore,1.8149863058712382e-32,-0.4733759746335552,3.52012304184777e-27,0.0003662228927195,-0.1854760953309148,0.2725737941380828,Beta-only
cg18440230,Liver_Cancer_Liver,chr5,172305889.0,172305890.0,ERGIC1,Body,,2.1768077334871008e-32,-0.4577750762919832,3.52012304184777e-27,0.0001003306007519,0.3581379366767037,0.0476131924209187,Common
cg22799110,Liver_Cancer_Liver,chr11,68181288.0,68181289.0,LRP5,Body,Island,1.1310360157193648e-27,0.3649817308157089,1.3717515833548782e-22,4.627691494472419e-06,-0.1827118412407032,0.0105339853892029,Common
cg04073934,Liver_Cancer_Liver,chr4,3372272.0,3372273.0,RGS12;RGS12;RGS12,Body;Body;Body,N_Shelf,5.215701259613701e-26,-0.4080378747064995,5.060596735555309e-21,0.0008882325089182,0.2811014653357185,0.1287235761127353,Beta-only
cg19854293,Liver_Cancer_Liver,chr5,1052919.0,1052920.0,SLC12A7,Body,N_Shore,6.975640301651495e-26,0.2990778835060788,5.640165591967486e-21,1.0,0.0,1.0,Beta-only
cg26915558,Liver_Cancer_Liver,chr11,68181218.0,68181219.0,LRP5,Body,Island,1.3087153022520374e-25,0.307897851003758,9.069976618526187e-21,0.0014571290572903,-0.1115041796211109,0.1576098272096917,Beta-only
cg12362629,Liver_Cancer_Liver,chr22,36716469.0,36716470.0,MYH9,Body,N_Shore,1.6760283365222254e-25,-0.371364959141081,1.0163666286567048e-20,4.507209195668841e-06,0.1707475723071644,0.0104969515246922,Common
cg13253199,Liver_Cancer_Liver,chr12,109684116.0,109684117.0,ACACB,Body,,3.1953233976432505e-25,0.3368387236955337,1.7223893724689643e-20,1.7627583362258394e-05,-0.159799320565674,0.020706191973724,Common
cg06621784,Liver_Cancer_Liver,chr1,53480551.0,53480552.0,SCP2;SCP2;SCP2;SCP2,TSS200;TSS200;Body;TSS200,,2.5336578822006597e-24,-0.3425518948735414,1.229155982049888e-19,0.1702613296771299,-0.0749208047910593,0.7165805299776444,Beta-only
cg22955595,Liver_Cancer_Liver,chr5,1052903.0,1052904.0,SLC12A7,Body,N_Shore,1.7852847475608498e-23,0.3163396769430116,7.873608862444932e-19,1.0,0.0,1.0,Beta-only
cg15302350,Liver_Cancer_Liver,chr11,68180760.0,68180761.0,LRP5,Body,N_Shore,1.3025230385990302e-22,0.2491512086784213,5.265785868654884e-18,7.125373345425946e-05,0.1212162726631583,0.1635627418210479,Beta-only
