CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg25953130,Birth_Weight(Kg)_Blood,chr10,63753550.0,63753551.0,ARID5B,Body,,4.4539484791019964e-14,-0.150069818366565,3.41213849855258e-06,-0.1529751641178535,Common
cg15722952,Birth_Weight(Kg)_Blood,chr3,194924602.0,194924603.0,C3orf21,Body,,5.0658397344293116e-11,0.0855814432659556,7.768965445751715e-11,0.0850390572996021,Common
cg12779301,Birth_Weight(Kg)_Blood,chr17,79031394.0,79031395.0,BAIAP2;BAIAP2;BAIAP2;BAIAP2,Body;Body;Body;Body,,1.0111860874260116e-10,0.0998898748323066,2.2628561695437056e-11,0.1033521290397991,Common
cg11466832,Birth_Weight(Kg)_Blood,chr2,11885560.0,11885561.0,LPIN1,TSS1500,N_Shore,1.7689485563942438e-10,-0.1177805195747749,5.983814347080239e-10,-0.1363991323516924,Common
cg13754251,Birth_Weight(Kg)_Blood,chr22,43583855.0,43583856.0,TTLL12,TSS1500,S_Shore,2.013796014226024e-10,0.1892193273596449,4.3558672934632346e-05,0.1384865254536379,EWAS-specific
cg24019564,Birth_Weight(Kg)_Blood,chr1,25257566.0,25257567.0,RUNX3;RUNX3,TSS1500;Body,Island,1.113013215943298e-09,0.1231476504308331,2.1144830971557526e-10,0.1253669300789705,Common
cg22047282,Birth_Weight(Kg)_Blood,chr2,27301649.0,27301650.0,EMILIN1;EMILIN1,1stExon;5'UTR,N_Shelf,1.1418076547956072e-09,0.1504179306425155,9.508148591504832e-11,0.1585373609286613,Common
cg00602416,Birth_Weight(Kg)_Blood,chr10,21797819.0,21797820.0,,,Island,1.5954091505185044e-09,0.1894188129183753,3.151105342737485e-13,-0.2245146566537575,Common
cg03618302,Birth_Weight(Kg)_Blood,chr12,20576950.0,20576951.0,PDE3A,Body,,1.8076307997837803e-09,-0.1163674855125009,6.064578747701086e-11,0.1217672711928969,Common
cg12050271,Birth_Weight(Kg)_Blood,chr1,2980399.0,2980400.0,FLJ42875,Body,Island,2.0776595650176753e-09,0.1125936144997871,4.895390432279404e-11,0.1438425805034594,Common
cg01912119,Birth_Weight(Kg)_Blood,chr5,90471712.0,90471713.0,,,,4.0352766395079236e-09,0.1383931869628525,1.8990771324934064e-09,0.1380126869030453,Common
cg07031070,Birth_Weight(Kg)_Blood,chr6,28543670.0,28543671.0,SCAND3,Body,,4.158119057160805e-09,0.1223468132203351,1.0,0.0,EWAS-specific
cg01368219,Birth_Weight(Kg)_Blood,chr3,54999791.0,54999792.0,CACNA2D3,Body,,4.94126774198811e-09,0.1015887974061315,6.584174609878817e-05,0.1161133443678598,EWAS-specific
cg14022501,Birth_Weight(Kg)_Blood,chr9,137335080.0,137335081.0,,,S_Shelf,6.1568756864779026e-09,-0.0972257284315889,6.350369270510283e-10,0.1097166425836203,Common
cg14427590,Birth_Weight(Kg)_Blood,chr17,60695089.0,60695090.0,,,,1.0891730255312513e-08,0.0941787536624174,5.910653517025639e-11,-0.107936501575167,Common
cg16227392,Birth_Weight(Kg)_Blood,chr14,99501573.0,99501574.0,,,,1.224528785480694e-08,0.1040171002968799,0.0001061457491642,0.0796733347894735,EWAS-specific
cg07599233,Birth_Weight(Kg)_Blood,chr1,75004809.0,75004810.0,FPGT-TNNI3K;TNNI3K,Body;Body,,1.3864941154766826e-08,-0.1050285096805403,8.852197210566012e-09,-0.1074162084059195,Common
cg15127250,Birth_Weight(Kg)_Blood,chr12,51786489.0,51786490.0,GALNT6,TSS1500,S_Shore,2.393012760487078e-08,-0.1214899228659803,1.0484316676953664e-08,-0.1241544377337914,Common
cg04484550,Birth_Weight(Kg)_Blood,chr1,2980163.0,2980164.0,FLJ42875,Body,Island,2.8214364234632124e-08,0.1153169751697679,3.4033862039401993e-10,-0.1302520703320064,Common
cg07897069,Birth_Weight(Kg)_Blood,chr5,126564606.0,126564607.0,,,N_Shore,2.9374184302735764e-08,-0.1134188821505125,8.479050778296796e-09,0.1173700705092271,Common
cg11588566,Birth_Weight(Kg)_Blood,chr10,519360.0,519361.0,DIP2C,Body,S_Shore,5.3581700465417896e-08,0.1270344198643587,9.010725048360404e-07,0.127242597045564,Common
cg07845581,Birth_Weight(Kg)_Blood,chr17,56326510.0,56326511.0,LPO;LPO;LPO,Body;Body;Body,N_Shore,5.969635720306918e-08,-0.121167497416278,5.2125887808552896e-08,-0.1219430123681928,Common
cg03752903,Birth_Weight(Kg)_Blood,chr20,37504232.0,37504233.0,PPP1R16B;PPP1R16B,Body;Body,,6.071903876095245e-08,0.1245855757116707,7.757878213053365e-08,0.1327567984198123,Common
cg23556108,Birth_Weight(Kg)_Blood,chr2,60680616.0,60680617.0,BCL11A;BCL11A,Body;Body,,6.090659496954974e-08,0.1090575561734729,1.5652243897500017e-07,-0.10811485790152,Common
cg01514538,Birth_Weight(Kg)_Blood,chr1,2980380.0,2980381.0,FLJ42875,Body,Island,6.256563630813438e-08,0.0966204409049874,8.238427811548642e-10,-0.1119465065405172,Common
cg14760020,Birth_Weight(Kg)_Blood,chr3,170529777.0,170529778.0,,,,6.62676014580028e-08,0.1068826638251629,4.3580615587916165e-05,-0.0857077264311866,EWAS-specific
cg08043998,Birth_Weight(Kg)_Blood,chr12,121890503.0,121890504.0,KDM2B;KDM2B,Body;Body,Island,7.56815295587787e-08,0.0974998925286738,3.5041036260666215e-05,-0.1328631531852124,EWAS-specific
cg24865270,Birth_Weight(Kg)_Blood,chr6,10422447.0,10422448.0,,,Island,8.780667360483833e-08,0.1018287769740785,9.735064246642718e-08,0.1005574333250963,Common
cg08755703,Birth_Weight(Kg)_Blood,chr16,54394989.0,54394990.0,,,,1.056875225780019e-07,-0.1376317589380551,3.5271438523353626e-08,-0.1402578862601136,Common
cg25174412,Birth_Weight(Kg)_Blood,chr12,105803653.0,105803654.0,,,,1.177070899899723e-07,-0.0902595987058597,6.031714611932919e-08,-0.09384124385016,Common
cg15908709,Birth_Weight(Kg)_Blood,chr17,46676215.0,46676216.0,LOC404266;LOC404266;LOC404266;LOC404266;HOXB6;LOC404266,Body;Body;Body;Body;5'UTR;Body,S_Shore,1.2302611690066276e-07,0.0860670237641525,1.76351285698746e-09,0.0982280121192779,Common
cg07235343,Birth_Weight(Kg)_Blood,chr22,21082278.0,21082279.0,PI4KA,Body,,1.2360210408637354e-07,-0.1666436344024459,0.0199316552420231,0.0712493390974073,EWAS-specific
