CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg24054938,Ulcerative_Colitis_GSE185061,chr1,153651301,153651302,NPR1;NPR1,1stExon;5'UTR,Island,2.07061659827089e-05,-0.0441933069380609,0.012984857930617,0.869032216505239,0.0075784477475621,0.990421492376658,haEWAS-only
cg01489441,Ulcerative_Colitis_GSE185061,chr16,1764111,1764112,MAPK8IP3;MAPK8IP3,Body;Body,,9.61168544856927e-05,-0.0662089217112244,0.0309861336507922,0.0328133249922634,0.0782158795341111,0.697942174313878,haEWAS-only
cg11903177,Ulcerative_Colitis_GSE185061,chr17,17379358,17379359,MED9,TSS1500,N_Shore,0.0001950625174325,-0.181226126008189,0.0471319807746465,0.0001275354833562,0.196890859493267,0.227051936008081,haEWAS-only
cg11199827,Ulcerative_Colitis_GSE185061,chr10,49881056,49881057,,,,0.0001823532032377,-0.0539109294598396,0.0451617324379708,0.510871833231524,0.0328717591859957,0.950816850522728,haEWAS-only
cg12297440,Ulcerative_Colitis_GSE185061,chr7,157523408,157523409,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,N_Shore,1.0,0.0,1.0,5.74527967830895e-07,0.294688397811246,0.0113319291608684,Beta-only
cg00636079,Ulcerative_Colitis_GSE185061,chr18,74230773,74230774,,,,0.000179327968846,-0.0388390251518082,0.0447261483686666,0.640240674509189,-0.0226104542186,0.96885105975839,haEWAS-only
cg11306217,Ulcerative_Colitis_GSE185061,chr3,114026249,114026250,TIGIT,Body,,8.40241990044506e-06,-0.0124743501518379,0.0078572234289008,0.588026224742013,0.0127428053196148,0.962112657919953,haEWAS-only
cg12283393,Ulcerative_Colitis_GSE185061,chr11,1874445,1874446,LSP1,Body,,7.76364786230501e-06,-0.0213379530042643,0.0075346004452693,0.623438512312946,-0.0115021648032529,0.96640903932544,haEWAS-only
cg05743713,Ulcerative_Colitis_GSE185061,chr11,66885240,66885241,KDM2A;KDM2A,TSS1500;TSS1500,N_Shore,2.76619466527601e-05,-0.156750246171606,0.0151818148533676,0.112194937382073,-0.152285744574613,0.81784267308124,haEWAS-only
cg08065963,Ulcerative_Colitis_GSE185061,chr16,8985593,8985594,,,,5.51358822237469e-05,-0.0300028121395633,0.0226683904425192,0.0114906151160155,0.0643717061189752,0.60624288526773,haEWAS-only
cg05849431,Ulcerative_Colitis_GSE185061,chr11,67415187,67415188,ACY3,5'UTR,,1.11354343079865e-05,-0.101791841684283,0.0091611083992792,0.0018653488614227,0.141167736660984,0.455868120696891,haEWAS-only
cg03343063,Ulcerative_Colitis_GSE185061,chr1,16023706,16023707,PLEKHM2,Body,,4.37857174817658e-06,-0.050067710119255,0.0055040527242815,0.989662882494023,-0.0004140901966632,0.999594126003895,haEWAS-only
cg20136100,Ulcerative_Colitis_GSE185061,chr11,63974860,63974861,FERMT3;FERMT3,Body;Body,Island,3.23729708828288e-06,-0.0394121623069586,0.0045749223526581,0.294799281804455,0.029355396135445,0.905945850361507,haEWAS-only
cg16723805,Ulcerative_Colitis_GSE185061,chr16,88516225,88516226,,,N_Shelf,0.0001461806216249,-0.404761001382196,0.156685220495771,0.0005027428823682,-0.158245352449134,0.351829890082192,haEWAS-only
cg11253122,Ulcerative_Colitis_GSE185061,chr1,20314957,20314958,,,,0.0001016876198684,-0.157336330866275,0.133767178476091,0.0001892061968681,-0.131748209549228,0.265372189282046,haEWAS-only
cg06208288,Ulcerative_Colitis_GSE185061,chr1,58858074,58858075,,,,9.58920551913117e-06,-0.074917996211694,0.008481190068168,0.0924365559114606,0.0698665098259079,0.797646891144055,haEWAS-only
cg12335414,Ulcerative_Colitis_GSE185061,chr10,134359618,134359619,INPP5A,Body,Island,9.14763554340916e-05,0.259011032657536,0.03013395864266,1.84069745256819e-05,-0.294528282007615,0.0978452103744311,haEWAS-only
cg12900404,Ulcerative_Colitis_GSE185061,chr2,225811669,225811670,DOCK10;DOCK10;DOCK10,1stExon;5'UTR;Body,,7.40096005928567e-05,-0.0631856445048047,0.0266297720028143,0.306998179184739,0.0432013550539742,0.90955978467679,haEWAS-only
cg14590369,Ulcerative_Colitis_GSE185061,chr19,18113585,18113586,ARRDC2,Body,S_Shore,0.0001638876543133,-0.0522091570794343,0.0425245917182225,0.971476049203785,-0.0013344900239047,0.998530469221253,haEWAS-only
cg13890451,Ulcerative_Colitis_GSE185061,chr10,118926475,118926476,,,N_Shore,9.33915251426321e-05,-0.0344996255421444,0.0305357500829921,0.0001782725914054,0.261952474567344,0.262916957417622,haEWAS-only
cg02116590,Ulcerative_Colitis_GSE185061,chr2,3207260,3207261,TSSC1,Body,,3.55450824272681e-05,0.0753205613039383,0.0175720793821824,0.145171679683746,-0.038155129464972,0.842640064049685,haEWAS-only
cg00579868,Ulcerative_Colitis_GSE185061,chr7,5271516,5271517,WIPI2;WIPI2;WIPI2;WIPI2;WIPI2,3'UTR;3'UTR;3'UTR;3'UTR;3'UTR,S_Shelf,7.22998467264262e-05,-0.0640924387519422,0.0262646052171238,0.832853904041446,0.0109870635476678,0.98770055818471,haEWAS-only
cg26848940,Ulcerative_Colitis_GSE185061,chr6,37787530,37787531,ZFAND3;ZFAND3,5'UTR;1stExon,Island,7.34312008473912e-05,0.120028340396569,0.0264737352338336,0.0350709545972842,-1.52028062312882,0.705606556204905,haEWAS-only
