CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg17608529,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr10,436626,436627,DIP2C,Body,,1.12268068067112e-06,-4.18380311508546,0.0089409893168407,0.0028130438678828,-0.234655735212671,0.372303258724741,haEWAS-only
cg22269486,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr8,27630099,27630100,CCDC25;CCDC25,5'UTR;1stExon,Island,1.58533808024121e-06,0.0206426248758638,0.0172636385811584,0.0013869178707533,0.493643151534929,0.315806979039008,haEWAS-only
cg11222173,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr17,78748019,78748020,RPTOR;RPTOR,Body;Body,,9.73500651128086e-06,-0.216609343210906,0.0288084053865095,0.400936426066677,-0.0451249893412304,0.920892937664145,haEWAS-only
cg26292910,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr3,48732762,48732763,IP6K2;IP6K2;IP6K2;IP6K2;IP6K2;IP6K2;IP6K2;IP6K2,5'UTR;5'UTR;5'UTR;5'UTR;Body;5'UTR;5'UTR;Body,,1.03239565698685e-06,-0.220917327264785,0.0085354363261978,7.03117928298479e-06,-0.197793805500606,0.0502287165728502,haEWAS-only
cg11145899,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr3,128778725,128778726,GP9,TSS1500,,1.0707041478264e-05,-0.19626234462651,0.043743382619353,4.15132448992252e-05,0.224497864791798,0.102905816733452,haEWAS-only
cg06905692,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr2,30144376,30144377,ALK;ALK,5'UTR;1stExon,Island,9.66664752221098e-06,-0.143630904016318,0.0288084053865095,0.290672365897237,-0.231936725751163,0.887705137488378,haEWAS-only
cg22920873,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr7,139025153,139025154,C7orf55,TSS1500,Island,4.01971376756822e-06,-0.224240677252717,0.0180204833024922,0.0085154582726439,-0.280627675899213,0.48432600116282,haEWAS-only
cg15952483,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr7,75511298,75511299,RHBDD2;RHBDD2,Body;5'UTR,S_Shelf,6.80101574260605e-06,-0.310996268489,0.024086000960636,6.2831205793507e-05,-0.205254056296157,0.121880399528624,haEWAS-only
cg20684340,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr17,79102896,79102897,AATK;AATK,Body;Body,Island,9.72592658240894e-06,-0.164814262655486,0.0419870952208867,0.0005120513083407,0.141022854001998,0.233577227313271,haEWAS-only
cg18247307,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr7,16461064,16461065,ISPD;ISPD,TSS200;TSS200,Island,3.37987240132498e-06,-0.10176869889076,0.0256330372958832,0.0011881842251491,-0.480754564646924,0.298846481231705,haEWAS-only
cg02474799,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr19,19072780,19072781,,,,9.21072647461954e-06,-0.136469226386568,0.0284706919979431,0.0024190158316042,-0.160454197347233,0.360593526490179,haEWAS-only
cg17048000,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr2,235921243,235921244,SH3BP4,5'UTR,,4.994062845835e-08,0.107262069822686,0.0028223355965809,5.37521895053156e-07,-0.138783886453935,0.0110930483845045,Common
cg10246581,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr16,81536171,81536172,CMIP;CMIP,Body;Body,,8.0256326454853e-07,-0.460291040689326,0.0077708043962708,0.0014376228126975,-0.246148207051018,0.319591896529735,haEWAS-only
cg17053854,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr17,75463180,75463181,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,Body;5'UTR;Body;Body;Body;Body,,1.07148437707864e-05,0.263263071791742,0.0304530478173444,0.0005121037786503,0.136578639300806,0.233577227313271,haEWAS-only
cg25145728,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr16,89628775,89628776,RPL13;RPL13;RPL13;RPL13,Body;Body;Body;Body,S_Shore,2.71288575253282e-05,-0.217487695839828,0.0450110966338801,0.110774632656262,-0.123507703170414,0.779421094695391,haEWAS-only
cg12034847,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr6,3280558,3280559,SLC22A23;SLC22A23,Body;Body,,1.77432069114239e-06,-0.184274946330717,0.0177849091714371,7.6997841261432e-06,0.295888615865346,0.0509965983589007,haEWAS-only
cg21064916,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr11,44340839,44340840,,,N_Shore,1.214495917862e-05,-0.194990409297411,0.0320834572352124,8.02612435053105e-05,-0.241944797665152,0.135522204130219,haEWAS-only
cg27546908,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr22,50586605,50586606,MOV10L1;MOV10L1;MOV10L1;MOV10L1,Body;Body;Body;Body,,2.63383159780967e-05,-0.336034095613752,0.0443516930429473,0.945980578597017,0.0077223974268674,0.995781171703325,haEWAS-only
cg27229484,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr1,37947371,37947372,ZC3H12A,Body,,1.80694236702189e-05,-0.37313225711227,0.0389549727740348,0.0002073471063592,-0.152211982678211,0.180172752375608,haEWAS-only
cg18418460,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr6,150390014,150390015,ULBP3,Body,Island,6.30383845433604e-08,0.0625862256183081,0.0029396965896444,0.0001229075695691,0.578242012453183,0.154004762475787,haEWAS-only
cg05650815,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr4,123073432,123073433,,,Island,0.0002868566351954,-0.080828186679779,0.173975610714684,6.78957105182219e-06,-0.465707877617219,0.0499434124224464,Beta-only
cg09805010,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr3,24536077,24536078,THRB;THRB;THRB,5'UTR;5'UTR;5'UTR,Island,1.17844247706409e-05,0.135751343872759,0.0460742844498015,0.0006045561033189,0.343659957030983,0.247211170275687,haEWAS-only
cg06377473,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr10,116528363,116528364,,,Island,1.26954345985334e-06,-0.272957289290435,0.0094439663855246,4.35338162442771e-07,-0.412835926716692,0.0098009923161881,Common
cg02859421,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr19,3465071,3465072,,,S_Shore,4.09084570537476e-08,0.343898478589465,0.0028223355965809,2.67329893772332e-07,-0.378216425600905,0.0079444670103431,Common
cg12419766,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr7,157620445,157620446,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,S_Shore,8.42687594359651e-06,-0.24247786402919,0.0384405753789204,0.000522430693966,0.209542180699305,0.235235026884412,haEWAS-only
cg19520927,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr11,44341646,44341647,,,Island,3.55902769971434e-06,-0.121028952715747,0.016501626944942,3.95642242958425e-05,-0.236930279656371,0.101358904081721,haEWAS-only
cg04723449,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr16,23420567,23420568,COG7,Body,,5.28265480480079e-06,-0.216277577032164,0.0318832322787769,8.86232773718248e-06,0.289028332585547,0.0548844494781872,haEWAS-only
cg13871826,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr1,86045347,86045348,CYR61;DDAH1,TSS1500;TSS1500,N_Shore,2.30182533658849e-05,0.145376240231013,0.0424496223842318,3.63559668130087e-05,0.141847376072578,0.0989396341386725,haEWAS-only
cg19904783,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr20,9287445,9287446,PLCB4;PLCB4;PLCB4,TSS1500;5'UTR;5'UTR,,1.43356881324043e-05,0.193771683835166,0.0350337823728713,0.0003827333650606,0.15211137375227,0.216565287614873,haEWAS-only
cg26979518,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr12,56078391,56078392,ITGA7;ITGA7;METTL7B;ITGA7,3'UTR;3'UTR;3'UTR;3'UTR,,1.40306631114767e-05,-0.139191616332433,0.0504172819917671,2.6274744404412e-07,0.230047016319714,0.0079444670103431,Beta-only
cg19267205,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr1,9781963,9781964,PIK3CD,Body,,5.11465413195361e-07,-0.271943057583777,0.0061281422419867,0.0003374452828927,-0.0925444918407972,0.208760490912856,haEWAS-only
cg13007356,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr11,82709910,82709911,RAB30;RAB30;RAB30;RAB30,5'UTR;5'UTR;5'UTR;5'UTR,,3.21665134812614e-05,-0.246610720357759,0.0480677773431891,0.0003065112335375,-0.214930816745921,0.202752315500044,haEWAS-only
cg01207474,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr10,35736855,35736856,CCNY;CCNY;CCNY;CCNY;CCNY,5'UTR;5'UTR;5'UTR;Body;Body,,1.08934249553876e-06,0.0879338789301707,0.0153907259326514,5.94400941013912e-05,0.160796403758105,0.117762080406006,haEWAS-only
cg26296653,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr11,3899234,3899235,STIM1,Body,,1.04758666992005e-08,0.0865698895757764,0.000930334783613,4.55772351581469e-08,-0.183163753282069,0.0031211580874882,Common
cg02211841,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr16,101746,101747,POLR3K,Body,N_Shore,1.61069382501333e-06,0.211240573455105,0.0172636385811584,7.77806268106505e-05,-0.201625131202349,0.1340761150034,haEWAS-only
cg01228193,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr5,149983979,149983980,SYNPO,5'UTR,,1.10677837726028e-05,-0.184704138994232,0.0312174680986435,7.33072474372708e-05,-0.171185443794108,0.130607497013263,haEWAS-only
cg13638411,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr2,32554458,32554459,,,,2.45386966244984e-06,-0.163631543300514,0.0142129183287074,2.54494963281717e-05,-0.150287238887315,0.0863023873451084,haEWAS-only
cg07325407,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr2,178270267,178270268,AGPS,Body,,1.53542555956436e-05,-0.313756064697995,0.0362155530318751,0.0004299989116989,-0.226530579852633,0.222550241578761,haEWAS-only
cg08536094,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr9,136245697,136245698,SURF4;STKLD1;STKLD1,TSS1500;Body;Body,S_Shelf,1.50347353704941e-05,-0.126416838061503,0.0362155530318751,0.003756450906225,-0.0839517061296443,0.401752017256069,haEWAS-only
cg07470256,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr15,41267301,41267302,,,,8.89628117311448e-08,-0.128047584058267,0.0033908697022872,6.20612688663947e-07,0.352269928669752,0.01160568910872,Common
cg13344385,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr12,52642852,52642853,,,N_Shore,1.72464331028726e-05,-0.104264234206071,0.0380748173521543,0.0010056141123448,-0.0787246334433686,0.286419211292908,haEWAS-only
cg15263345,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr18,45856503,45856504,,,,1.42972275261783e-11,-0.508642432204566,9.67832230988855e-06,8.83860906729356e-10,-0.407370993522929,0.0006566609252109,Common
cg10583632,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr17,16557199,16557200,ZNF624,TSS200,Island,2.58693973136933e-05,0.106352370094652,0.0439758154606146,0.114239617047491,0.114123484907518,0.78267673334823,haEWAS-only
cg15829166,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr11,10510821,10510822,AMPD3;AMPD3;AMPD3;AMPD3;AMPD3,Body;Body;Body;Body;Body,,4.04818060642996e-06,-0.207605710526346,0.0180287054945715,0.0002003072029946,-0.130137135826377,0.180172752375608,haEWAS-only
cg11956483,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr12,96723406,96723407,CDK17;CDK17,Body;Body,,3.12668298574612e-06,-0.300063722003456,0.0154493970826425,0.0001982693316772,-0.234695758956682,0.180172752375608,haEWAS-only
cg02766909,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr13,46949210,46949211,KIAA0226L;KIAA0226L;KIAA0226L;KIAA0226L;KIAA0226L;KIAA0226L;KIAA0226L,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;Body;Body,,4.18477832840485e-08,-0.183855675202181,0.0014164156436477,3.4855460317759e-06,-0.131506412296277,0.0345276330949837,Common
cg04784315,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr9,125797284,125797285,GPR21;RABGAP1,1stExon;Body,,3.41064891956515e-06,-0.134708793605137,0.0256330372958832,1.83952184952511e-06,0.264368242004218,0.0256019730289679,Common
cg27646711,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr16,27578071,27578072,KIAA0556,Body,,7.33635302316794e-06,-0.182646106556193,0.0252093848042854,0.0026697928898998,-0.122701266871289,0.367113075768936,haEWAS-only
cg18954525,Idiopathic_Pulmonary_Fibrosis_GSE175458,chr10,3822542,3822543,KLF6;KLF6;KLF6;KLF6,Body;Body;Body;Body,N_Shore,1.64921222333213e-06,0.115246308549224,0.0108389589788911,7.23907920836542e-06,0.112088047908133,0.0507690090034541,haEWAS-only
