CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg17052170,Systemic_Lupus_Erythematosus_Blood,chr8,144099482.0,144099483.0,LY6E;LY6E;LOC100133669,TSS1500;TSS1500;Body,Island,2.0723360401891603e-14,-0.4026512030266223,1.0,0.0,EWAS-specific
cg16526047,Systemic_Lupus_Erythematosus_Blood,chr1,949893.0,949894.0,ISG15,3'UTR,S_Shore,1.1970936031413612e-13,-0.372517105246381,1.1458287449059206e-10,-0.3906128871045344,Common
cg02370832,Systemic_Lupus_Erythematosus_Blood,chr10,91093681.0,91093682.0,IFIT3;IFIT3,Body;Body,,1.849405026588193e-13,-0.375026897220262,4.3173534486563598e-16,-0.3903271571110492,Common
cg04927537,Systemic_Lupus_Erythematosus_Blood,chr17,76976091.0,76976092.0,LGALS3BP,TSS200,,7.84821766721002e-13,-0.3295931550864142,0.0021761472346316,-0.4338632576052296,EWAS-specific
cg04788999,Systemic_Lupus_Erythematosus_Blood,chr1,949850.0,949851.0,ISG15,Body,Island,1.9590252944620057e-12,-0.3376671251393238,0.0018464653088223,-0.4416761605767708,EWAS-specific
cg01190666,Systemic_Lupus_Erythematosus_Blood,chr20,62204908.0,62204909.0,PRIC285,5'UTR,N_Shore,2.8590437777393605e-12,-0.3291644576469983,0.0001475185267784,-0.3918990183577766,EWAS-specific
cg08926253,Systemic_Lupus_Erythematosus_Blood,chr11,614761.0,614762.0,IRF7;IRF7;IRF7,Body;Body;Body,Island,2.9489647465275417e-12,-0.3297157655339084,1.0,0.0,EWAS-specific
cg00218406,Systemic_Lupus_Erythematosus_Blood,chr6,31431407.0,31431408.0,HCP5,3'UTR,,7.451657840992816e-12,-0.3077221925373449,1.0,0.0,EWAS-specific
cg14293575,Systemic_Lupus_Erythematosus_Blood,chr22,18635460.0,18635461.0,USP18,5'UTR,S_Shelf,3.0089874094229605e-11,-0.3256444950475551,0.0056822232830309,-0.3747290119610557,EWAS-specific
cg11211792,Systemic_Lupus_Erythematosus_Blood,chr1,949634.0,949635.0,ISG15,Body,Island,8.752656811009172e-11,-0.3196898708913243,6.703039251787974e-10,-0.3365761888768243,Common
cg03811829,Systemic_Lupus_Erythematosus_Blood,chr1,949449.0,949450.0,ISG15,Body,Island,3.030595662746367e-10,-0.2714408986620691,0.0089072486745465,0.465423475066515,EWAS-specific
cg16411857,Systemic_Lupus_Erythematosus_Blood,chr16,57023191.0,57023192.0,NLRC5,TSS1500,Island,4.74822565497428e-10,-0.402962448188621,0.0034209680280866,-0.4544018530326438,EWAS-specific
cg25178683,Systemic_Lupus_Erythematosus_Blood,chr17,76976267.0,76976268.0,LGALS3BP,TSS1500,,7.711119739930635e-10,-0.2784152970237081,4.009292462785804e-09,-0.2842040985108751,Common
cg08090640,Systemic_Lupus_Erythematosus_Blood,chr17,41159289.0,41159290.0,IFI35,Body,,7.942056283789455e-10,-0.291823712425942,2.109454356658557e-06,0.2697922200026409,Common
cg24304309,Systemic_Lupus_Erythematosus_Blood,chr1,154577895.0,154577896.0,ADAR;ADAR;ADAR;ADAR,5'UTR;Body;Body;Body,N_Shelf,8.30320792238725e-10,-0.2913066614340162,7.102294154183085e-09,-0.2884807211753136,Common
cg11601443,Systemic_Lupus_Erythematosus_Blood,chr12,113415930.0,113415931.0,OAS2;OAS2;OAS2,TSS1500;TSS1500;TSS1500,,3.030955654023301e-09,-0.2452205708448512,2.7690398398272147e-09,-0.2448937565004078,Common
cg11187245,Systemic_Lupus_Erythematosus_Blood,chr6,31323397.0,31323398.0,HLA-B,Body,N_Shore,3.347853802654038e-09,-0.2918709277274575,1.0910203554024837e-08,-0.2603158843615292,Common
cg16186435,Systemic_Lupus_Erythematosus_Blood,chr6,32810833.0,32810834.0,PSMB8;PSMB8,Body;Body,N_Shore,4.0573018164490215e-09,-0.1586675759504018,1.0,0.0,EWAS-specific
cg22016995,Systemic_Lupus_Erythematosus_Blood,chr11,614787.0,614788.0,IRF7;IRF7;IRF7,Body;Body;Body,Island,4.5401761950191555e-09,-0.3584287816907618,1.0,0.0,EWAS-specific
cg01517384,Systemic_Lupus_Erythematosus_Blood,chr6,31323856.0,31323857.0,HLA-B,Body,N_Shore,6.627088277176626e-09,-0.2649630269738854,1.0,0.0,EWAS-specific
cg11694510,Systemic_Lupus_Erythematosus_Blood,chr11,313354.0,313355.0,IFITM1,TSS1500,S_Shore,8.887536764728006e-09,-0.1930441023662236,2.6582729647253116e-09,-0.1997787310903692,Common
cg03848588,Systemic_Lupus_Erythematosus_Blood,chr9,32525008.0,32525009.0,DDX58,Body,N_Shore,9.190272401768862e-09,-0.3114028905585544,5.330892060720563e-06,-0.2725484309178654,Common
cg12379452,Systemic_Lupus_Erythematosus_Blood,chr17,54987827.0,54987828.0,TRIM25,Body,N_Shelf,1.0977021436257278e-08,-0.3535153491865868,2.6917341902764676e-10,0.3526150493518172,Common
cg23571857,Systemic_Lupus_Erythematosus_Blood,chr17,6658898.0,6658899.0,XAF1;XAF1,TSS1500;TSS1500,,1.2364699985798193e-08,-0.1762870730778614,7.180384941381931e-10,-0.1828852050085512,Common
cg20045320,Systemic_Lupus_Erythematosus_Blood,chr11,319555.0,319556.0,,,S_Shore,1.3490223393477096e-08,-0.3132228315168808,0.0063172547185425,-0.3689323136184523,EWAS-specific
cg22713958,Systemic_Lupus_Erythematosus_Blood,chr17,76976245.0,76976246.0,LGALS3BP,TSS200,,1.515531435675004e-08,-0.2341737357940987,1.5593530843485731e-09,-0.2584966941458788,Common
cg08276645,Systemic_Lupus_Erythematosus_Blood,chr2,241459502.0,241459503.0,ANKMY1;ANKMY1,Body;Body,N_Shore,1.6277550813669832e-08,0.2073913346434886,0.0006356148157341,0.1574015279619983,EWAS-specific
cg09251764,Systemic_Lupus_Erythematosus_Blood,chr17,6659070.0,6659071.0,XAF1;XAF1,TSS200;TSS200,,3.0146646082461885e-08,-0.2617474487106078,2.64594099521652e-08,-0.2839368853143256,Common
cg12013713,Systemic_Lupus_Erythematosus_Blood,chr7,139760671.0,139760672.0,PARP12,Body,N_Shore,3.361360912130555e-08,-0.2170227148713357,0.002193880876099,-0.3142315209623784,EWAS-specific
cg01079652,Systemic_Lupus_Erythematosus_Blood,chr1,79118191.0,79118192.0,IFI44,Body,,3.688178644527519e-08,-0.3120740637964358,0.0859916509601108,-0.4006075780902143,EWAS-specific
cg27331665,Systemic_Lupus_Erythematosus_Blood,chr11,316456.0,316457.0,,,Island,3.7677445041105913e-08,-0.2740814949834343,0.000248171736164,-0.2174158188592842,EWAS-specific
cg16785077,Systemic_Lupus_Erythematosus_Blood,chr21,42791867.0,42791868.0,MX1,TSS1500,N_Shore,4.555295927597363e-08,-0.2081771354650406,0.0020434914858113,-0.1574415261122369,EWAS-specific
cg12924402,Systemic_Lupus_Erythematosus_Blood,chr2,218898511.0,218898512.0,,,Island,5.2100971385981e-08,-0.1763425549044919,3.6588456658445503e-05,0.1548308315585824,EWAS-specific
cg08818207,Systemic_Lupus_Erythematosus_Blood,chr6,32820355.0,32820356.0,TAP1,Body,N_Shore,5.605897148687623e-08,-0.2462691885780252,1.0,0.0,EWAS-specific
cg18749404,Systemic_Lupus_Erythematosus_Blood,chr17,76975944.0,76975945.0,LGALS3BP;LGALS3BP,1stExon;5'UTR,,9.537629069301429e-08,-0.2412903516988816,0.000364903666988,-0.3307667321319572,EWAS-specific
cg08099136,Systemic_Lupus_Erythematosus_Blood,chr6,32811251.0,32811252.0,PSMB8;PSMB8,Body;Body,N_Shore,9.874644879755405e-08,-0.2275654532088534,1.0,0.0,EWAS-specific
cg01765174,Systemic_Lupus_Erythematosus_Blood,chr9,100880960.0,100880961.0,TRIM14;TRIM14;TRIM14;TRIM14,Body;Body;Body;Body,N_Shore,1.1626992124449918e-07,-0.1922405937110816,1.0342127267166424e-07,-0.2205418351464808,Common
cg06830800,Systemic_Lupus_Erythematosus_Blood,chr18,21167517.0,21167518.0,NPC1,TSS1500,S_Shore,1.362047326836617e-07,-0.2461416426727332,0.0004190269605853,0.1671081500468396,EWAS-specific
cg11303842,Systemic_Lupus_Erythematosus_Blood,chr8,144070338.0,144070339.0,LOC100133669,Body,,2.4318497014147945e-07,0.2673030743498909,2.0348877063083965e-06,0.2404795494236221,Common
cg09701700,Systemic_Lupus_Erythematosus_Blood,chr10,104194843.0,104194844.0,MIR146B,TSS1500,S_Shelf,2.473146516129526e-07,-0.2676868709568804,1.8195054638271514e-09,-0.2906394402399786,Common
cg16654432,Systemic_Lupus_Erythematosus_Blood,chr3,105167621.0,105167622.0,ALCAM,Body,,2.851455786323188e-07,0.2267439017454898,1.7718043894363078e-07,0.2118858111546333,Common
cg24705939,Systemic_Lupus_Erythematosus_Blood,chr8,30413864.0,30413865.0,RBPMS;RBPMS;RBPMS,Body;Body;Body,,2.990957370052789e-07,0.1676842575706075,2.0167718276011465e-05,-0.1519649006284503,EWAS-specific
cg22940798,Systemic_Lupus_Erythematosus_Blood,chr6,32805554.0,32805555.0,TAP2;TAP2,Body;Body,N_Shore,3.057966829002904e-07,-0.2538463132430499,1.0,0.0,EWAS-specific
cg14870271,Systemic_Lupus_Erythematosus_Blood,chr17,76976010.0,76976011.0,LGALS3BP;LGALS3BP,1stExon;5'UTR,,3.182583702150058e-07,-0.2504730674196322,4.105212133269657e-09,-0.2698265202203722,Common
cg23661483,Systemic_Lupus_Erythematosus_Blood,chr19,15227219.0,15227220.0,ILVBL,Body,S_Shelf,3.2059008580762895e-07,0.1393348244724624,8.935589151580965e-06,-0.1083733889507333,EWAS-specific
cg25843003,Systemic_Lupus_Erythematosus_Blood,chr6,31431312.0,31431313.0,HCP5,3'UTR,,3.900448156644425e-07,-0.2735050517922424,1.0,0.0,EWAS-specific
cg00798876,Systemic_Lupus_Erythematosus_Blood,chr7,2670978.0,2670979.0,TTYH3,TSS1500,N_Shore,4.191518050468924e-07,-0.2408449753354136,0.000746219304893,-0.1771422397311324,EWAS-specific
