CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,FDR_Beta,P_haEWAS,Effect_haEWAS,FDR_haEWAS,Group
cg17137324,Asthma_Blood,chr10,86527253,86527254,,,,9.154503158350924e-08,-0.2620685521945965,0.0226449559020782,9.870005818306557e-07,0.2397376865712437,0.0858377577669668,Beta-only
cg19875472,Asthma_Blood,chr17,73125153,73125154,ARMC7,3'UTR,Island,9.578881961920524e-08,0.1575737926050064,0.0226449559020782,0.0016128171960448,-0.0932644268330228,0.5335816124935612,Beta-only
cg21220721,Asthma_Blood,chr1,6341230,6341231,ACOT7;ACOT7;ACOT7;ACOT7,Body;Body;Body;Body,Island,5.597887401430266e-07,-0.2462500734189426,0.0529347428454048,7.299694082833998e-08,0.2626002239073506,0.0130700657568438,haEWAS-only
cg19636302,Asthma_Blood,chr19,46032854,46032855,OPA3,Body,Island,1.7848097242918767e-06,-0.1449326416791162,0.0749905360721036,1.6248943850770278e-07,-0.1454268870460524,0.0283134755353111,haEWAS-only
cg02453726,Asthma_Blood,chr5,141339766,141339767,PCDH12,TSS1500,,5.478109492621991e-06,-0.1173707241985216,0.0937217044530052,4.972387696630842e-07,-0.1230611025592116,0.0330713999096013,haEWAS-only
cg14553338,Asthma_Blood,chr2,66689807,66689808,MEIS1,Body,,4.928895610633905e-05,-0.1340421634415251,0.2149372421314238,5.249161645180624e-07,-0.1631503826061984,0.0330713999096013,haEWAS-only
cg03680338,Asthma_Blood,chr6,22043967,22043968,FLJ22536,Body,,5.362915028662812e-05,0.1151531902304007,0.2204904221480055,8.048953061267949e-07,0.130409864358836,0.0377959719493622,haEWAS-only
cg04983687,Asthma_Blood,chr16,88558223,88558224,ZFPM1,Body,Island,0.0002041535039799,-0.1879554933577906,0.3303110604428892,6.358486628744537e-07,-0.2550383868758655,0.0341233635062971,haEWAS-only
cg08679800,Asthma_Blood,chr8,101912325,101912326,,,,0.0002441895641996,0.1381007275870035,0.3372908106881301,9.063234998943882e-08,0.1905777781173425,0.0283134755353111,haEWAS-only
cg16379283,Asthma_Blood,chr14,75801023,75801024,,,,0.0007433103207729,0.1077719894329464,0.4180434047987524,2.2610924904617082e-07,0.1327864516775295,0.0283134755353111,haEWAS-only
cg07217630,Asthma_Blood,chr13,60738113,60738114,DIAPH3;DIAPH3,5'UTR;1stExon,Island,0.2550694341244164,0.2933142394688255,0.9466710238136626,4.118549849748471e-08,-0.6998225742608165,0.0130700657568438,haEWAS-only
cg10393333,Asthma_Blood,chr7,27779430,27779431,TAX1BP1;TAX1BP1,TSS1500;TSS1500,N_Shore,0.5787643292136786,-0.0291403024826102,0.9668474165684028,5.282113380351117e-07,-2.0212885673310232,0.0330713999096013,haEWAS-only
