CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg03741406,HOMA-IR_GSE115278,chr1,40255103,40255104,BMP8B,TSS1500,Island,2.20938733580204e-06,-0.0138643674302937,0.035653850638944,0.0025192767938462,-0.0117991193235935,0.570640948966639,haEWAS-only
cg19623875,HOMA-IR_GSE115278,chr1,33647561,33647562,TRIM62;TRIM62,5'UTR;1stExon,Island,2.45482703569353e-07,-0.0138833032012438,0.0070760393246114,0.002767765277688,-0.0132160562075677,0.577739840619661,haEWAS-only
cg22351924,HOMA-IR_GSE115278,chr1,27994914,27994915,IFI6;IFI6;IFI6,Body;Body;Body,Island,4.45137039520591e-06,-0.0219812905794494,0.0442389174334319,0.0116510648444698,-0.0123745591726941,0.686150451697156,haEWAS-only
cg15934368,HOMA-IR_GSE115278,chr2,240044021,240044022,HDAC4,Body,N_Shelf,3.47870618272641e-06,-0.0374034726768316,0.0408581947311632,0.0005280364286235,-0.0252361007728804,0.407934454337889,haEWAS-only
cg20853880,HOMA-IR_GSE115278,chr2,10184444,10184445,KLF11,Body,Island,4.73650585429783e-07,-0.075826148855772,0.0122388943022129,4.60452659193895e-07,-0.0649990083604187,0.0174412816319792,Common
cg21295476,HOMA-IR_GSE115278,chr2,219844896,219844897,,,N_Shore,3.02663650138064e-06,-0.017881272793857,0.0372413208940119,0.000262412622057,-0.0155469502839354,0.369499897550969,haEWAS-only
cg09386807,HOMA-IR_GSE115278,chr3,50375496,50375497,RASSF1;RASSF1;RASSF1;RASSF1,TSS1500;Body;Body;5'UTR,Island,2.83919512080073e-06,-0.028545003165083,0.0366816911619653,0.0032182661883025,-0.0138028471421351,0.587642994887862,haEWAS-only
cg12872693,HOMA-IR_GSE115278,chr3,179168798,179168799,GNB4,5'UTR,Island,2.46461247011371e-07,-0.027489869524959,0.0070760393246114,0.0002866034257883,-0.0167534648334398,0.369499897550969,haEWAS-only
cg00464757,HOMA-IR_GSE115278,chr4,3288648,3288649,,,,1.97224191889099e-06,-0.0137311518504287,0.035653850638944,0.0016553622084154,-0.0149549315632544,0.526422168268924,haEWAS-only
cg19563433,HOMA-IR_GSE115278,chr4,6957112,6957113,TBC1D14;TBC1D14,Body;Body,,8.08535618576337e-08,-0.0430512926505864,0.0066200201330301,1.97096015202438e-07,0.0420609188321695,0.0134382822509235,Common
cg24009707,HOMA-IR_GSE115278,chr4,151875122,151875123,LRBA,Body,,2.05024795813282e-06,-0.190700997809266,0.035653850638944,0.327569979411318,-0.0045629246885839,0.931449603562824,haEWAS-only
cg00945735,HOMA-IR_GSE115278,chr7,41982767,41982768,,,,2.48367542522492e-06,-0.0207210057750794,0.035653850638944,0.0007594336565862,-0.0158766292269958,0.448076337415381,haEWAS-only
cg14041194,HOMA-IR_GSE115278,chr9,139802603,139802604,TRAF2,Body,Island,2.47713281308568e-06,0.315242658389784,0.035653850638944,0.0341329718678559,-0.0109040911448254,0.767149132906939,haEWAS-only
cg05190577,HOMA-IR_GSE115278,chr11,61062843,61062844,VWCE,TSS200,Island,2.43425659143402e-06,-0.0248831213189458,0.035653850638944,0.0047124358571164,-0.0140408394769944,0.618837585031588,haEWAS-only
cg13262159,HOMA-IR_GSE115278,chr11,71230303,71230304,,,Island,5.18973154762311e-06,-0.0292926694333616,0.0496666919721508,0.0030704055951888,-0.0203613438392569,0.585976943269256,haEWAS-only
cg07473634,HOMA-IR_GSE115278,chr13,113647389,113647390,MCF2L;MCF2L,Body;Body,N_Shore,2.23920059089314e-07,-0.449070278839992,0.0070760393246114,0.282599381496253,-0.004819416239503,0.922053870090595,haEWAS-only
cg10058779,HOMA-IR_GSE115278,chr14,23821435,23821436,SLC22A17;SLC22A17;SLC22A17,5'UTR;1stExon;5'UTR,Island,1.46896029434678e-06,-0.0161590846570289,0.0345065450234305,0.0005296391773909,-0.0166136766965347,0.407934454337889,haEWAS-only
cg02174252,HOMA-IR_GSE115278,chr16,85465268,85465269,,,Island,9.60236306134956e-10,-0.11196891672339,0.0001240601301618,0.487534819009443,-0.0036873009026503,0.957182403890378,haEWAS-only
cg07823492,HOMA-IR_GSE115278,chr17,46608099,46608100,HOXB1,1stExon,Island,2.71901084529529e-06,0.399163168432376,0.0366816911619653,0.0110187101078592,-0.013238514447099,0.680332083865093,haEWAS-only
cg17876831,HOMA-IR_GSE115278,chr17,18918410,18918411,SLC5A10;SLC5A10,Body;Body,Island,4.6612359795666e-08,-0.0258003842394039,0.0030111001773502,0.0003193178230426,-0.0193095649428482,0.373680295275239,haEWAS-only
cg09364328,HOMA-IR_GSE115278,chr19,59010904,59010905,SLC27A5,Body,Island,1.99826277957761e-08,0.0103560668663524,0.0024541664327382,0.124064101915928,0.0079720220289799,0.865663868379166,haEWAS-only
cg02737268,HOMA-IR_GSE115278,chr20,3780182,3780183,CDC25B;CDC25B;CDC25B,Body;Body;Body,S_Shelf,1.50581237853694e-07,-0.0477897296604747,0.0064849064925342,2.300385313513e-06,-0.0349086997599591,0.0522811637382518,haEWAS-only
cg03106288,HOMA-IR_GSE115278,chr1,43424767,43424768,SLC2A1;SLC2A1,1stExon;5'UTR,Island,1.0,0.0,1.0,4.41968752670357e-07,0.0209490928029316,0.0174412816319792,Beta-only
cg15823729,HOMA-IR_GSE115278,chr1,213085363,213085364,,,,4.13839804999483e-06,0.0045188776483218,0.0427736545651366,0.734724070406558,-0.0014599676152467,0.982850383669087,haEWAS-only
cg18561881,HOMA-IR_GSE115278,chr1,207627541,207627542,CR2;CR2,TSS200;TSS200,Island,1.0,0.0,1.0,8.81937193702714e-07,0.0313616817800968,0.0300658562893611,Beta-only
cg02905871,HOMA-IR_GSE115278,chr2,16081166,16081167,MYCN;MYCNOS,5'UTR;Body,Island,4.04895609827261e-06,-0.0327076401727288,0.0427736545651366,0.0021294104210819,-0.0221879072256213,0.555433574436038,haEWAS-only
cg22051399,HOMA-IR_GSE115278,chr2,45141469,45141470,,,,0.122022597707912,0.008870137850265,0.783118388111623,2.93226542804901e-09,-0.0543335575127961,0.0006075472503719,Beta-only
cg19476342,HOMA-IR_GSE115278,chr3,10137658,10137659,FANCD2;FANCD2;C3orf24,Body;Body;3'UTR,,6.390185680824751e-10,-0.0172850078807726,0.000156962130878,1.50090813827808e-08,0.0251901347298842,0.0017055669689865,Common
cg00193021,HOMA-IR_GSE115278,chr4,90758120,90758121,SNCA;SNCA;SNCA;SNCA;SNCA;SNCA;SNCA,5'UTR;1stExon;5'UTR;1stExon;1stExon;5'UTR;5'UTR,Island,2.12271711157783e-06,-0.0293924122772929,0.035653850638944,8.14250171375358e-05,-0.0330889603181577,0.272140767816725,haEWAS-only
cg10704137,HOMA-IR_GSE115278,chr6,25732153,25732154,,,N_Shore,3.83975741985833e-06,0.0383727942559056,0.0427736545651366,0.115742679933037,0.0083043744179526,0.859465178408297,haEWAS-only
cg13473576,HOMA-IR_GSE115278,chr7,97601586,97601587,MGC72080,Body,Island,1.02527327928108e-07,-0.0206711130634591,0.0052985097799967,6.24067689267181e-05,-0.021332021555056,0.257011977871474,haEWAS-only
cg23547157,HOMA-IR_GSE115278,chr12,133199323,133199324,,,S_Shelf,4.02724992733223e-05,-0.0223823566632021,0.0878900887419211,1.7737271753733e-06,-0.0236620415510103,0.0465135392442296,Beta-only
cg23842870,HOMA-IR_GSE115278,chr12,25204649,25204650,LRMP,TSS1500,,6.34650147838566e-06,0.0197006892534471,0.112744012336385,1.74726333987139e-06,0.0339589174210034,0.0465135392442296,Beta-only
cg16462528,HOMA-IR_GSE115278,chr13,53310543,53310544,LECT1;LECT1,Body;Body,N_Shelf,3.77802210270966e-08,-0.0761145236513931,0.0030111001773502,3.01257802855505e-08,-0.0837065961359689,0.0025675223449515,Common
cg01993413,HOMA-IR_GSE115278,chr14,21979151,21979152,METTL3,Body,Island,1.0,0.0,1.0,1.60987223790277e-06,0.0404486328508436,0.0465135392442296,Beta-only
cg00319686,HOMA-IR_GSE115278,chr15,66680551,66680552,MAP2K1,Body,S_Shore,1.00695930310792e-06,-0.0122725003403368,0.0461479716733291,0.0019524561881877,-0.0407587659789107,0.545464475030196,haEWAS-only
cg02613818,HOMA-IR_GSE115278,chr15,99236767,99236768,IGF1R,Body,,0.0260562666411498,0.0132223293208008,0.622441432536763,3.56429906321625e-09,-0.0701580449645229,0.0006075472503719,Beta-only
cg19372507,HOMA-IR_GSE115278,chr15,79722028,79722029,,,N_Shelf,0.0666670755853817,0.010657550233067,0.718289994259733,3.66857788972674e-07,-0.0641892308100096,0.0174412816319792,Beta-only
cg16739178,HOMA-IR_GSE115278,chr16,85470674,85470675,,,,1.12725575068182e-06,-0.016726825202425,0.0461479716733291,1.41503935721733e-05,0.0237366603404078,0.152032317508089,haEWAS-only
cg14315232,HOMA-IR_GSE115278,chr17,13313251,13313252,,,,0.0570574908454264,-0.0108504628327412,0.62713728133923,4.55854849561735e-07,-0.0393855196916586,0.0174412816319792,Beta-only
