CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg04358214,Postmenstrual_Age_Weeks_GSE128821,chr16,67143304,67143305,C16orf70,TSS1500,Island,4.59907245970175e-05,-0.0255002335194503,0.0309128922527249,5.45817743546554e-05,-0.0341236127353119,0.0630485480012179,haEWAS-only
cg05394010,Postmenstrual_Age_Weeks_GSE128821,chr16,2546596,2546597,TBC1D24,Body,Island,5.53740784888621e-06,0.0664921671071825,0.0080544530414269,2.90949086152567e-06,-0.0809665873109549,0.0141726918192096,Common
cg27156542,Postmenstrual_Age_Weeks_GSE128821,chr14,105932812,105932813,MTA1,Body,Island,7.14527541257258e-06,-0.0440382869441756,0.0093975730678552,0.0004045821361641,0.0577020250360064,0.153307761889411,haEWAS-only
cg12998491,Postmenstrual_Age_Weeks_GSE128821,chr9,134152531,134152532,FAM78A,TSS1500,Island,4.3412845371469e-06,-0.0038623093054317,0.0076033819496942,0.0073806018705048,-0.0103396530423248,0.38549661814516,haEWAS-only
cg15462411,Postmenstrual_Age_Weeks_GSE128821,chr17,79361621,79361622,,,Island,9.07803222174894e-05,-0.0838979634873753,0.0435199744044246,0.0036611785847735,-0.023074426156081,0.312580036447843,haEWAS-only
cg26736200,Postmenstrual_Age_Weeks_GSE128821,chr16,69951706,69951707,WWP2,Body,,6.17772439441248e-05,-0.0082586117266755,0.0297371982519542,0.129756485053169,0.0158707266903714,0.741732110435402,haEWAS-only
cg20345923,Postmenstrual_Age_Weeks_GSE128821,chr2,1983190,1983191,MYT1L,Body,,3.99008055730544e-05,0.0112607247728864,0.0244936120684179,0.0292535224456189,0.0301546653486142,0.550015591725634,haEWAS-only
cg11353598,Postmenstrual_Age_Weeks_GSE128821,chr15,70740451,70740452,,,,1.2072417269256898e-11,-0.0349745979421018,4.91751373245452e-06,0.0073236482221565,0.0531098793039865,0.384878966665834,haEWAS-only
cg08569979,Postmenstrual_Age_Weeks_GSE128821,chr13,41053715,41053716,LOC646982;LOC646982;LOC646982,Body;Body;Body,,1.7935243584288e-05,-0.0307344842236567,0.0156769624790664,0.0039117490543,0.0432999209631235,0.31926950858336,haEWAS-only
cg15278374,Postmenstrual_Age_Weeks_GSE128821,chr12,131576088,131576089,GPR133,Body,S_Shelf,1.22138902182332e-05,0.0770064097832566,0.0143241687665438,7.18604658301993e-05,0.0687394252514304,0.071995318874587,haEWAS-only
cg08830300,Postmenstrual_Age_Weeks_GSE128821,chr11,65246463,65246464,,,Island,9.74413456483558e-05,-0.036534514553676,0.044680349888318,0.0001015189471943,-0.0375807607190275,0.0852617923176283,haEWAS-only
cg23971915,Postmenstrual_Age_Weeks_GSE128821,chr3,46742865,46742866,TMIE;TMIE,1stExon;5'UTR,Island,1.29615026002575e-05,0.0050221420076562,0.0130398118626937,0.0066699246803904,0.0421260980691686,0.374162731324331,haEWAS-only
cg23705938,Postmenstrual_Age_Weeks_GSE128821,chr14,37049299,37049300,NKX2-8,3'UTR,N_Shore,3.35031056711418e-06,0.0546735895474041,0.0064550600171648,2.75549955748379e-05,0.0511301229234991,0.0441178153476123,Common
cg25718632,Postmenstrual_Age_Weeks_GSE128821,chr11,200083,200084,ODF3,3'UTR,,0.0052679687307397,0.0007143429102221,0.238549015699314,2.7965044368517e-05,0.0469653322449601,0.0443873124348406,Beta-only
cg09000583,Postmenstrual_Age_Weeks_GSE128821,chr17,46802888,46802889,HOXB13,3'UTR,Island,1.52585284644485e-05,-0.0031948899199486,0.0165386800274108,7.79189552548246e-05,-0.019573311781505,0.0750831517495954,haEWAS-only
cg17040309,Postmenstrual_Age_Weeks_GSE128821,chr9,138145703,138145704,,,,2.53168807903389e-05,-0.0581071436676226,0.0224404079435956,4.49252438754016e-05,-0.0714759572993886,0.0572071069650849,haEWAS-only
cg13504434,Postmenstrual_Age_Weeks_GSE128821,chr12,121088311,121088312,CABP1;CABP1;CABP1,TSS200;TSS200;Body,,8.71196155596524e-05,-0.0618441094491967,0.0426589758276186,0.0048786045296763,-0.0385745213236821,0.341977368982611,haEWAS-only
cg00099091,Postmenstrual_Age_Weeks_GSE128821,chr16,776809,776810,HAGHL;HAGHL;CCDC78,TSS1500;TSS200;TSS1500,Island,1.41168248616397e-05,-0.011064632006001,0.0157303428528356,0.0056442480855141,-0.0163944063105121,0.356214538846314,haEWAS-only
cg19600115,Postmenstrual_Age_Weeks_GSE128821,chr3,26666855,26666856,LRRC3B,5'UTR,S_Shore,5.39856782174637e-05,0.0320381908029935,0.0280343045172961,8.28199148903622e-05,-0.0485277337514512,0.0779968143268071,haEWAS-only
cg10817887,Postmenstrual_Age_Weeks_GSE128821,chr17,72732964,72732965,RAB37;RAB37;RAB37;RAB37;RAB37,1stExon;TSS1500;Body;5'UTR;TSS1500,Island,6.28156708332808e-05,-0.0075461821407493,0.0299404698561421,0.0834166528939532,-0.0090200383194331,0.684147732342626,haEWAS-only
cg27095256,Postmenstrual_Age_Weeks_GSE128821,chr1,25256377,25256378,RUNX3;RUNX3;RUNX3,1stExon;5'UTR;Body,Island,2.0783024772025e-05,-0.0053338619661337,0.01992854371799,0.0191807471773142,-0.0102824282219465,0.497641892760875,haEWAS-only
cg23639308,Postmenstrual_Age_Weeks_GSE128821,chr1,159899714,159899715,IGSF9;IGSF9,Body;Body,Island,4.21707581296029e-06,-0.0759913050632378,0.0074964745480938,7.87345003955784e-06,-0.074274969497303,0.0250504452805883,Common
cg08846870,Postmenstrual_Age_Weeks_GSE128821,chr19,15568360,15568361,RASAL3,Body,Island,9.13712439101821e-05,-0.0024126661867769,0.0370974144333612,0.0572779049244853,-0.0123692291798964,0.636783924493974,haEWAS-only
cg23829273,Postmenstrual_Age_Weeks_GSE128821,chr2,118617782,118617783,,,Island,6.16333959995114e-05,-0.0412522583213654,0.0360389229450526,0.0008179761317369,-0.0846741475368338,0.194068075736429,haEWAS-only
cg15825321,Postmenstrual_Age_Weeks_GSE128821,chr17,36666642,36666643,ARHGAP23,Body,Island,1.0,0.0,1.0,8.20269919555242e-06,0.125967086017202,0.0259809645914806,Beta-only
cg02259047,Postmenstrual_Age_Weeks_GSE128821,chr14,104175555,104175556,XRCC3;XRCC3;XRCC3,Body;Body;Body,,2.7495663888642e-06,-0.0742925680068887,0.0055564437722637,1.41081860980818e-05,-0.0664151162838907,0.0329964779117729,Common
cg19261633,Postmenstrual_Age_Weeks_GSE128821,chr1,178345210,178345211,RASAL2;RASAL2,Body;Body,,2.04399929145974e-05,0.0076161176147048,0.0169204666052086,0.0264059666840358,-0.0133691481694227,0.537074169125951,haEWAS-only
cg24545961,Postmenstrual_Age_Weeks_GSE128821,chr13,96205960,96205961,CLDN10;CLDN10;CLDN10,Body;Body;Body,S_Shore,6.30989582600829e-06,-0.0672530340504213,0.0095898616121965,0.000226962125249,-0.0581089528979659,0.119544048614667,haEWAS-only
cg15414975,Postmenstrual_Age_Weeks_GSE128821,chr5,1866120,1866121,,,,2.21413731866811e-07,-0.0426871808443021,0.0010744521261431,0.0001579007069921,0.0701835861815195,0.101633419604702,haEWAS-only
cg24791360,Postmenstrual_Age_Weeks_GSE128821,chr20,39657087,39657088,TOP1,TSS1500,Island,0.0001528384320629,-0.0007090410891357,0.0483146640970273,0.420947022343242,0.0043854557161116,0.896603297925769,haEWAS-only
