CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_CHALM,Effect_CHALM,P_CAMDA,Effect_CAMDA,P_haEWAS,Effect_haEWAS,haEWAS_Driver,Group
cg03888765,Waist_Circumference_CM_GSE115278,chr1,21031088,21031089,KIF17;KIF17,Body;Body,Island,0.253586715274896,0.0007472118612968,3.06158902344833e-07,0.0096876665863493,0.503480158401452,-0.0004491497059722,3.06158902344833e-07,0.0096876665863493,CHALM,haEWAS-specific
cg11418036,Waist_Circumference_CM_GSE115278,chr1,202113262,202113263,ARL8A,Body,Island,0.415695302583757,-0.0004987586625989,6.9361271741386e-06,-0.001010080412207,0.0009940467107859,0.0004060734710888,6.9361271741386e-06,-0.001010080412207,CHALM,haEWAS-specific
cg15386350,Waist_Circumference_CM_GSE115278,chr1,11591766,11591767,PTCHD2,Body,S_Shore,0.507368437567456,-0.0003992111687409,9.36518662711635e-07,0.0166708469298921,0.531172948201531,0.0003722860271743,9.36518662711635e-07,0.0166708469298921,CHALM,haEWAS-specific
cg24515270,Waist_Circumference_CM_GSE115278,chr1,74719316,74719317,TNNI3K;TNNI3K,Body;Body,,0.208562839785028,0.000863342838289,5.73726202520266e-06,0.0176848188264602,0.210514981891683,-0.000827048879936,5.73726202520266e-06,0.0176848188264602,CHALM,haEWAS-specific
cg09796800,Waist_Circumference_CM_GSE115278,chr4,128651518,128651519,SLC25A31,TSS200,Island,0.931208481584184,-7.16510557964276e-05,2.35957758626245e-06,0.0148457803625196,0.705064665899314,0.0003143833547607,2.35957758626245e-06,0.0148457803625196,CHALM,haEWAS-specific
cg04130656,Waist_Circumference_CM_GSE115278,chr6,6606765,6606766,LOC285780;LY86,Body;Body,,0.90767159082978,-7.19356896855481e-05,7.15225283974767e-07,0.0069169116647252,0.613886241807086,0.0003104425307805,7.15225283974767e-07,0.0069169116647252,CHALM,haEWAS-specific
cg21540367,Waist_Circumference_CM_GSE115278,chr7,100175462,100175463,LRCH4,Body,S_Shelf,0.027288482734741,0.0012213575442175,4.87735574702269e-06,0.0054080432620754,1.47345857093488e-05,-0.0023644856244985,4.87735574702269e-06,0.0054080432620754,CHALM,haEWAS-specific
cg24576940,Waist_Circumference_CM_GSE115278,chr7,150648283,150648284,KCNH2;KCNH2;KCNH2,Body;Body;Body,Island,0.242085559793395,0.0011028046537728,2.52229634839549e-06,0.0170691080217744,0.237121792436636,-0.0011101771248191,2.52229634839549e-06,0.0170691080217744,CHALM,haEWAS-specific
cg02541125,Waist_Circumference_CM_GSE115278,chr10,134499752,134499753,INPP5A,Body,,0.533840666927856,-0.0005140707485851,4.43684913436837e-09,0.014549141371648,0.421828650851531,0.0006077881957289,4.43684913436837e-09,0.014549141371648,CHALM,haEWAS-specific
cg18572084,Waist_Circumference_CM_GSE115278,chr10,121319472,121319473,,,,0.761841433333919,0.0001548149242996,7.31816800089555e-06,0.0012906999555551,0.811590145851439,0.0001246586282344,7.31816800089555e-06,0.0012906999555551,CHALM,haEWAS-specific
cg11170552,Waist_Circumference_CM_GSE115278,chr11,69307431,69307432,,,,0.2618683300565,0.000996500533995,1.45981507257641e-06,0.0195571015514645,0.159740374726916,-0.0011906217217101,1.45981507257641e-06,0.0195571015514645,CHALM,haEWAS-specific
cg24274164,Waist_Circumference_CM_GSE115278,chr12,123734136,123734137,C12orf65;C12orf65,5'UTR;5'UTR,,0.372231609113556,0.0005664657079603,2.88448674144154e-11,-0.0128849534448001,0.557990829701299,-0.0003800823373203,2.88448674144154e-11,-0.0128849534448001,CHALM,haEWAS-specific
cg25122402,Waist_Circumference_CM_GSE115278,chr14,101531901,101531902,MIR369;MIR410;MIR656,TSS200;TSS1500;TSS1500,Island,0.144979150916483,0.0009225715092852,4.54410921390382e-07,0.0167867103330819,0.174435476600681,-0.0008383348522042,4.54410921390382e-07,0.0167867103330819,CHALM,haEWAS-specific
cg02667487,Waist_Circumference_CM_GSE115278,chr16,67920036,67920037,NRN1L,Body,S_Shore,0.470609861743626,0.0004002185795504,4.34410913147378e-07,0.0175993069942977,0.907789273672961,-6.15908478094546e-05,4.34410913147378e-07,0.0175993069942977,CHALM,haEWAS-specific
cg04740939,Waist_Circumference_CM_GSE115278,chr16,88559868,88559869,ZFPM1,Body,Island,0.26143980447824,0.0010166303819974,9.92201161618347e-16,0.0067775817495169,0.516147739597231,-0.0004627236367951,9.92201161618347e-16,0.0067775817495169,CHALM,haEWAS-specific
cg07351059,Waist_Circumference_CM_GSE115278,chr16,29999179,29999180,TAOK2;TAOK2,Body;Body,S_Shore,0.973804208488572,2.11529573620907e-05,2.54393469446578e-06,0.0089186386098211,0.986154225143282,-1.11949714895032e-05,2.54393469446578e-06,0.0089186386098211,CHALM,haEWAS-specific
cg05289873,Waist_Circumference_CM_GSE115278,chr17,40321636,40321637,KCNH4,Body,,0.264841184014743,0.0006321638040645,1.64767127972855e-06,0.0118311125264347,0.401872055775877,-0.0004685905297347,1.64767127972855e-06,0.0118311125264347,CHALM,haEWAS-specific
cg12203543,Waist_Circumference_CM_GSE115278,chr17,75484879,75484880,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,Body;Body;Body;Body;Body;Body;Body,,0.0418529709178022,0.0012220623693048,6.32307185115552e-06,0.0123876785931416,0.0712796058872893,-0.0010518940018145,6.32307185115552e-06,0.0123876785931416,CHALM,haEWAS-specific
cg16652332,Waist_Circumference_CM_GSE115278,chr19,50104992,50104993,PRR12,Body,S_Shelf,0.613988088990627,0.0003347705315638,1.22470491773484e-06,0.0130011174353269,0.674292403553561,-0.0002671580290786,1.22470491773484e-06,0.0130011174353269,CHALM,haEWAS-specific
