CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,FDR_Beta,P_haEWAS,Effect_haEWAS,FDR_haEWAS,Group
cg01130991,Gestational_Diabetes_Mellitus_Blood,chr17,46510392,46510393,,,S_Shelf,1.5833527592014676e-08,-0.1656326684880296,0.0035191918800764,1.2114324199933252e-08,-0.1668803942920384,0.0040598492404752,Common
cg15700989,Gestational_Diabetes_Mellitus_Blood,chr17,79442098,79442099,,,,1.7792239292466926e-08,-0.1844695800708657,0.0035191918800764,2.1865630768809623e-08,0.179117920519731,0.0017430898200356,Common
cg24296397,Gestational_Diabetes_Mellitus_Blood,chr3,49692537,49692538,BSN,Body,S_Shelf,2.9851151089516644e-08,0.1766572460474169,0.0035191918800764,1.4220458421857852e-08,-0.182391731607173,0.0015115067461176,Common
cg21404980,Gestational_Diabetes_Mellitus_Blood,chr8,144599027,144599028,ZC3H3,Body,N_Shelf,3.300137034095752e-08,0.1348420570627188,0.0035191918800764,1.0,0.0,1.0,Beta-only
cg18623216,Gestational_Diabetes_Mellitus_Blood,chr3,155421970,155421971,PLCH1;PLCH1,5'UTR;1stExon,,5.684275403496886e-08,0.1457632117887468,0.0048492667152739,1.1035094047188517e-07,0.1402076491663549,0.0123272299928206,Common
cg26077811,Gestational_Diabetes_Mellitus_Blood,chr11,119232263,119232264,USP2;USP2,Body;Body,N_Shelf,1.0215816649743221e-07,-0.107956560669882,0.0072626113462743,7.205032377045242e-07,-0.0956025418952893,0.0402434681742403,Common
cg15016701,Gestational_Diabetes_Mellitus_Blood,chr12,63211683,63211684,PPM1H,Body,,1.4134128603452734e-07,0.1301255016670236,0.0086127524141876,5.073851719421597e-07,0.1203530199883048,0.0366022556826288,Common
cg09007354,Gestational_Diabetes_Mellitus_Blood,chr1,54100163,54100164,GLIS1,5'UTR,,1.9441976038709945e-07,-0.1476840013243022,0.0103662429016097,0.0001449127321529,0.1103765066658904,0.1948844922867199,Beta-only
cg03750061,Gestational_Diabetes_Mellitus_Blood,chr10,119131167,119131168,PDZD8,Body,N_Shelf,3.935986408457877e-07,0.1268589985576811,0.0182299378404499,1.1416453478162134e-08,-0.1381253117200455,0.0015115067461176,Common
cg23541926,Gestational_Diabetes_Mellitus_Blood,chr3,155422092,155422093,PLCH1,TSS200,,4.273800281900628e-07,0.1456883928498401,0.0182299378404499,2.919720749287816e-06,0.1460798163952142,0.0611550109542079,Beta-only
cg03345925,Gestational_Diabetes_Mellitus_Blood,chr8,144599347,144599348,ZC3H3,Body,N_Shelf,5.342257584980942e-07,0.1240027857671445,0.0207158665011927,1.0,0.0,1.0,Beta-only
cg04347477,Gestational_Diabetes_Mellitus_Blood,chr12,125002007,125002008,NCOR2;NCOR2,5'UTR;5'UTR,Island,9.258893081841258e-07,0.166639161769727,0.0329115841912705,5.691480535681004e-06,-0.1512329312846827,0.0545756826939101,Beta-only
cg08326019,Gestational_Diabetes_Mellitus_Blood,chr19,11472261,11472262,LPPR2;LPPR2,Body;Body,Island,1.0272266905380998e-06,-0.1475740319754749,0.0333865300023769,2.2309299801292704e-06,-0.1446409321244263,0.0575113155677509,Beta-only
cg12647970,Gestational_Diabetes_Mellitus_Blood,chr6,3234297,3234298,,,S_Shelf,1.0957925782222457e-06,-0.0997368768495109,0.0333865300023769,1.103697393876702e-06,-0.0981785299840719,0.0410977666905679,Common
cg22000727,Gestational_Diabetes_Mellitus_Blood,chr6,3459199,3459200,,,S_Shore,1.2736048554674011e-06,-0.1396348813682912,0.036217161646965,7.803663032884425e-07,0.1411408955215855,0.0207341800339516,Common
cg06884401,Gestational_Diabetes_Mellitus_Blood,chr4,89978251,89978252,FAM13A;FAM13A,1stExon;5'UTR,,1.397882595091593e-06,-0.130901621495499,0.0372667636761821,4.072403424596979e-06,-0.1271327837638814,0.0477865585809407,Common
cg07286341,Gestational_Diabetes_Mellitus_Blood,chr5,176923805,176923806,PDLIM7;PDLIM7;PDLIM7,5'UTR;5'UTR;5'UTR,Island,1.5037043363229116e-06,-0.1254081079542134,0.0377297993154631,5.460936669366461e-07,-0.115986644994125,0.0366022556826288,Common
cg16639691,Gestational_Diabetes_Mellitus_Blood,chr13,28597227,28597228,FLT3,Body,,1.6436844700858398e-06,-0.0949599767859325,0.0389508474666436,8.266034989728337e-06,-0.0661819970742169,0.098934991929917,Beta-only
cg27263741,Gestational_Diabetes_Mellitus_Blood,chr21,43099365,43099366,NCRNA00111,TSS200,,1.8112603799792271e-06,-0.1296592094945423,0.0390450637719934,8.322666151687553e-07,-0.1344565936794283,0.0207341800339516,Common
cg02430430,Gestational_Diabetes_Mellitus_Blood,chr15,74532450,74532451,CCDC33,Body,,1.841254994755087e-06,0.1425366855362432,0.0390450637719934,2.58846949325674e-06,0.1464312297763368,0.0394580819316856,Common
cg21758140,Gestational_Diabetes_Mellitus_Blood,chr2,161083993,161083994,,,,1.922270348004959e-06,-0.0950606725170218,0.0390450637719934,1.2508607129342794e-07,-0.1188619599877443,0.005698081544507,Common
