CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg09929408,Chronic_Stress_Blood,chr2,74035110,74035111,C2orf78,Body,,0.0208338006530739,0.2592031895806467,0.4539058767443588,1.078780483110034e-10,-0.3102217361803147,8.55048962376395e-05,Beta-only
cg07439609,Chronic_Stress_Blood,chr20,9818601,9818602,PAK7;PAK7,5'UTR;5'UTR,N_Shore,3.762173184731613e-09,-0.2761151329584057,0.0002684139179416,4.344267936174996e-09,-0.2689100550222684,0.0010559670414017,Common
cg03182576,Chronic_Stress_Blood,chr2,121293354,121293355,,,,0.4867223393788521,-0.0292566795806985,0.901732594171782,4.869383766517863e-09,-0.2956422865165623,0.0010559670414017,Beta-only
cg05859572,Chronic_Stress_Blood,chr3,100240476,100240477,TMEM45A,5'UTR,,2.0164028115486686e-10,-0.1661236671409851,5.756220684167908e-05,5.329082591507437e-09,-0.1550435448650658,0.0010559670414017,Common
cg00983520,Chronic_Stress_Blood,chr22,51017067,51017068,CPT1B;CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B,1stExon;TSS1500;1stExon;5'UTR;Body;1stExon;5'UTR;TSS200;TSS200;1stExon;5'UTR;5'UTR,S_Shore,8.16090672339207e-08,0.2264201063973583,0.0018373719114653,6.899227030101541e-09,0.2523827029383114,0.0010936751277295,Common
cg23346269,Chronic_Stress_Blood,chr21,31992208,31992209,KRTAP20-4,TSS1500,,1.1361681525314655e-09,0.2562069524531056,0.0002232184122552,9.25732578457324e-09,-0.2452070061077281,0.0011862351229286,Common
cg15903449,Chronic_Stress_Blood,chr1,87277279,87277280,,,,0.1405486229484317,-0.0683560795555128,0.6916208950531053,1.1338721877033936e-08,-0.2874858383630056,0.0011862351229286,Beta-only
cg04653789,Chronic_Stress_Blood,chr4,38192712,38192713,,,,2.0366770823327687e-08,0.1532642855006816,0.0007678551227365,1.1972996684900749e-08,0.1631541883687778,0.0011862351229286,Common
cg07474672,Chronic_Stress_Blood,chr6,90142171,90142172,ANKRD6,TSS1500,N_Shore,0.0012917409643303,-0.1356556886331899,0.1996720537357363,1.4583949954853302e-08,0.2741292974408198,0.0012843712024296,Beta-only
cg15256480,Chronic_Stress_Blood,chr9,128193968,128193969,,,,3.426681318705308e-07,-0.2090666465907857,0.0037936257152974,1.6528452824753882e-08,-0.2319087790975637,0.0013100567408069,Common
cg15800513,Chronic_Stress_Blood,chr5,124287528,124287529,,,,4.862638203475153e-07,-0.1636069040213052,0.0077460249509509,1.824719159714289e-08,0.1631940507436294,0.0013148047082033,Common
cg08471713,Chronic_Stress_Blood,chr17,41738893,41738894,MEOX1;MEOX1;MEOX1,1stExon;1stExon;5'UTR,,9.228032681530586e-09,0.2945272045186428,0.0005285448176432,2.0526338200083307e-08,0.2895534011914811,0.0013557766118127,Common
cg07396904,Chronic_Stress_Blood,chr14,22103504,22103505,OR10G2,TSS1500,,4.333346190141269e-08,-0.2144388986911181,0.0011593669120022,2.510437368067228e-08,-0.1749787512064756,0.0014243566357058,Common
cg00947478,Chronic_Stress_Blood,chr14,106410628,106410629,,,,1.0,0.0,1.0,2.8080145862770075e-08,-0.2792248812347829,0.0014243566357058,Beta-only
cg21163617,Chronic_Stress_Blood,chr7,157384658,157384659,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,N_Shelf,2.2339808049667814e-08,-0.2081543377532415,0.0010128490911429,2.8093642619426253e-08,0.2046677050311341,0.0014243566357058,Common
cg05526565,Chronic_Stress_Blood,chr20,39916065,39916066,ZHX3,5'UTR,,3.5885967380856004e-06,0.2346572451213662,0.0141149081519781,2.8800445433805743e-08,0.2765415397233743,0.0014243566357058,Common
cg15761233,Chronic_Stress_Blood,chr2,200819070,200819071,C2orf60;C2orf60;C2orf47,Body;Body;TSS1500,N_Shore,2.328678807138773e-09,-0.2444871383307319,0.0002622806162965,3.2144240023335695e-08,-0.2688738124065777,0.0014243566357058,Common
cg16643742,Chronic_Stress_Blood,chr12,130944499,130944500,RIMBP2,Body,,1.4560426647084065e-08,-0.2501921732653854,0.0007801714859034,3.2346950560246625e-08,0.2551038763625275,0.0014243566357058,Common
cg12427603,Chronic_Stress_Blood,chr8,31883717,31883718,NRG1-IT1;NRG1-IT1;NRG1-IT1;NRG1,TSS200;TSS200;Body;Body,,9.832632393229312e-08,-0.2482135542848261,0.0034090199219438,3.559243357765608e-08,0.2371653929769285,0.0014629347695217,Common
cg25731655,Chronic_Stress_Blood,chr10,14602451,14602452,FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;Body;5'UTR,,0.0101698405728096,-0.0672092127262988,0.3716541887121313,3.853277894049188e-08,-0.0942632170894116,0.0014629347695217,Beta-only
cg07833083,Chronic_Stress_Blood,chr1,75547360,75547361,,,,0.1865732018460431,-0.1825868834666442,0.7412458789618049,4.000768613932816e-08,-0.2659803182152278,0.0014629347695217,Beta-only
cg19541247,Chronic_Stress_Blood,chr7,151491573,151491574,PRKAG2;PRKAG2,5'UTR;Body,,4.44544174570041e-06,-0.1852174220408807,0.0214701760525228,4.06059559522926e-08,0.2185940889200822,0.0014629347695217,Common
cg13540256,Chronic_Stress_Blood,chr3,44597153,44597154,ZNF167;ZNF167,5'UTR;5'UTR,S_Shore,1.699429572935555e-07,-0.2042349283277251,0.0027585703642981,4.4615509858295216e-08,-0.198594025451983,0.0015047832917435,Common
cg00731608,Chronic_Stress_Blood,chr14,103593907,103593908,TNFAIP2,Body,Island,0.0001920677263257,-0.1647733203705017,0.1041432119101436,4.556457235659756e-08,0.1572549694279103,0.0015047832917435,Beta-only
