CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,FDR_Beta,P_haEWAS,Effect_haEWAS,FDR_haEWAS,Group
cg05575921,Schizophrenia_Blood,chr5,373378.0,373379.0,AHRR,Body,N_Shore,1.971959965974478e-13,-0.2708016958893001,9.56858078209728e-08,6.971838741775101e-05,0.2848703097363378,0.0390163718566788,Common
cg03050965,Schizophrenia_Blood,chr1,101705237.0,101705238.0,S1PR1,Body,S_Shelf,2.290269162714284e-11,-0.1626335008174811,2.778279715905444e-06,2.8179188905573382e-06,-0.1260704259904783,0.0771401539064883,Beta-only
cg25648203,Schizophrenia_Blood,chr5,395444.0,395445.0,AHRR,Body,,8.125224426115867e-11,-0.2476826743911136,5.670032410282073e-06,7.460143285717516e-22,0.3078502193733271,2.9294938262952684e-16,Common
cg01820213,Schizophrenia_Blood,chr14,104645063.0,104645064.0,KIF26A,Body,Island,8.179639197739331e-11,0.2295224160335369,5.670032410282073e-06,0.049454770216881,-0.1910213912054683,0.5822798002334533,Beta-only
cg02567500,Schizophrenia_Blood,chr16,28509238.0,28509239.0,APOB48R,Body,Island,2.0376805302140686e-10,-0.2382654594842272,1.0986086655964811e-05,7.350281341699581e-09,0.1844681084147378,4.892123015163799e-05,Common
cg07324245,Schizophrenia_Blood,chr17,75445905.0,75445906.0,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,Body;Body;Body;Body;TSS1500;Body,N_Shore,3.7788989104829804e-10,-0.119368201474518,1.8336426761314776e-05,0.0004189486361495,-0.0733390824515841,0.362168306992906,Beta-only
cg09022230,Schizophrenia_Blood,chr7,5457225.0,5457226.0,TNRC18,Body,N_Shore,1.2639101316952802e-09,-0.1848928007527097,5.110747008523036e-05,6.111159937351115e-14,0.1883584464518292,4.7995339023173195e-09,Common
cg21948803,Schizophrenia_Blood,chr22,24024719.0,24024720.0,LOC91316,Body,,2.712399215162288e-09,-0.2473768968488081,0.0001012417612285,0.0321542496798921,0.1350274204200172,0.5204024106581259,Beta-only
cg01940273,Schizophrenia_Blood,chr2,233284934.0,233284935.0,,,Island,3.5790550670803142e-09,-0.2315366499128464,0.0001240480034506,1.843755273955995e-07,-0.2216566346900184,0.0183934175478008,Common
cg03636183,Schizophrenia_Blood,chr19,17000585.0,17000586.0,F2RL3,Body,N_Shore,9.121444096364571e-09,-0.2238931677470242,0.0002950677707844,4.134103166495951e-07,-0.2197718944422192,0.0242508263505152,Common
cg00090197,Schizophrenia_Blood,chr1,43738732.0,43738733.0,TMEM125,Body,Island,1.2725824093394792e-08,0.171092121660365,0.0003859360672803,0.0149220152793535,-0.1493435324732478,0.4203300531570022,Beta-only
cg05284742,Schizophrenia_Blood,chr14,93552128.0,93552129.0,ITPK1;ITPK1;ITPK1,Body;Body;Body,,1.5274890445557622e-08,-0.1609573505770179,0.0004359920965105,1.0,0.0,1.0,Beta-only
cg06830441,Schizophrenia_Blood,chr7,2959121.0,2959122.0,CARD11,Body,,1.7151703110153086e-08,0.2174670227910694,0.0004623641779747,0.0366861168262628,-0.1875654918662651,0.539059651448748,Beta-only
cg20772590,Schizophrenia_Blood,chr17,75446431.0,75446432.0,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,TSS200;Body;Body;Body;Body;Body,N_Shore,2.1290964144814537e-08,-0.0972343710134658,0.0005437398481008,5.499651765161342e-06,0.0855436879846818,0.0080885252923376,Common
cg04371126,Schizophrenia_Blood,chr16,58079176.0,58079177.0,MMP15,Body,Island,2.280148035416763e-08,0.1770004443104983,0.0005532003957606,0.0047546068897138,0.0999254999086699,0.55543412371976,Beta-only
cg12019990,Schizophrenia_Blood,chr3,9032274.0,9032275.0,SRGAP3;SRGAP3,Body;Body,Island,6.302529751513115e-08,0.2094109001049268,0.0014562805316124,0.0038156813215568,-0.209846238973149,0.2608288165923779,Beta-only
cg00820535,Schizophrenia_Blood,chr22,39852281.0,39852282.0,MGAT3,TSS1500,Island,1.0274319350442553e-07,-0.1700175055131008,0.0021592709684275,7.809755036938001e-09,0.1550345572386174,5.027510600713174e-05,Common
cg10750182,Schizophrenia_Blood,chr10,73497514.0,73497515.0,C10orf105;C10orf105;CDH23,5'UTR;1stExon;Body,,1.226754341779212e-07,-0.1344894535712094,0.0022046683806304,1.7934698449262567e-06,-0.1336267578700705,0.0634559211383124,Beta-only
cg01073765,Schizophrenia_Blood,chr1,20568217.0,20568218.0,,,N_Shore,1.3342541885537532e-07,0.1908551552107651,0.0023122243872154,0.7129735241540384,0.013818992325331,0.9908945854653934,Beta-only
cg21566642,Schizophrenia_Blood,chr2,233284661.0,233284662.0,,,Island,2.013363312798709e-07,-0.204381399653546,0.0033687872655032,8.656941149324537e-06,-0.1912327885190601,0.1269549694842532,Beta-only
cg23576855,Schizophrenia_Blood,chr5,373299.0,373300.0,AHRR,Body,N_Shore,2.341038227663825e-07,-0.2560304190838382,0.0037864888709525,1.454463944490051e-17,0.3390581329431596,2.8557381425301e-12,Common
cg13537346,Schizophrenia_Blood,chr2,238265124.0,238265125.0,COL6A3;COL6A3;COL6A3,Body;Body;Body,,2.518097943757707e-07,-0.22580087706825,0.0039414893595014,6.168076119359177e-06,0.1682710355518883,0.0087757867355314,Common
cg02650017,Schizophrenia_Blood,chr17,47301614.0,47301615.0,PHOSPHO1;PHOSPHO1,Body;Body,Island,2.646292305156303e-07,-0.1941820708499974,0.0040127053369237,6.309188402394179e-05,-0.1672780697097537,0.2430609411633769,Beta-only
cg24298409,Schizophrenia_Blood,chr3,50379246.0,50379247.0,RASSF1;ZMYND10;RASSF1,TSS1500;Body;TSS1500,S_Shore,4.422627985694767e-07,-0.1761809550699144,0.0062756461357979,0.5962809768845336,0.0435917771196204,0.9429905374538964,Beta-only
cg13337669,Schizophrenia_Blood,chr11,803528.0,803529.0,LRDD;LRDD;LRDD,Body;5'UTR;Body,N_Shore,4.526651472964044e-07,-0.1945849589927083,0.0062756461357979,3.8410013372789096e-05,-0.1716312221268236,0.1971504365146847,Beta-only
cg03595220,Schizophrenia_Blood,chr16,58824960.0,58824961.0,,,,6.949207688059513e-07,0.1700732495459082,0.0089211981244315,0.0036085844045605,-0.093441941602585,0.2554135275914801,Beta-only
cg24090911,Schizophrenia_Blood,chr5,400732.0,400733.0,AHRR,Body,,7.111745052216141e-07,-0.1880753975778817,0.0089211981244315,1.96950748028963e-10,0.2071660257464163,2.824791697013929e-06,Common
cg14817490,Schizophrenia_Blood,chr5,392920.0,392921.0,AHRR,Body,,7.133022002114049e-07,-0.2005215463360505,0.0089211981244315,2.8859363860923536e-14,-0.2589719841331407,2.833167039272655e-09,Common
cg14498460,Schizophrenia_Blood,chr14,104129107.0,104129108.0,KLC1;KLC1;KLC1,Body;Body;Body,,7.17031702057633e-07,0.1693434912239081,0.0089211981244315,0.0349566794895083,-0.07406425542834,0.532275492811826,Beta-only
