CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_haEWAS,Effect_haEWAS,FDR_haEWAS,P_Beta,Effect_Beta,FDR_Beta,Group
cg15065340,Viral_Load(log10)_Blood,chr3,195632915,195632916,TNK2,5'UTR,N_Shelf,5.37000666852249e-26,-0.3733672552373785,1.0550261407399895e-20,8.633964848003883e-27,-0.3818739222797573,4.191798567670733e-21,Common
cg18686270,Viral_Load(log10)_Blood,chr3,146258875,146258876,PLSCR1,5'UTR,N_Shelf,7.913348906834735e-26,-0.2487969488153188,1.0550261407399895e-20,2.207877622904516e-25,-0.2425834482832852,5.359633968988827e-20,Common
cg07833467,Viral_Load(log10)_Blood,chr22,50986511,50986512,KLHDC7B;KLHDC7B,5'UTR;1stExon,Island,6.456578689581698e-17,-0.3617248421711114,6.456046021839809e-12,4.058622047877645e-19,-0.3710240885504537,6.197103161013661e-14,Common
cg27456769,Viral_Load(log10)_Blood,chr12,3979720,3979721,PARP11,Body,N_Shelf,2.8834032840724824e-08,-0.1525483340026845,0.000221570573019,5.105738740817144e-19,-0.1430248636110476,6.197103161013661e-14,Common
cg00633969,Viral_Load(log10)_Blood,chr3,122284550,122284551,PARP9;PARP9;PARP9;PARP9;PARP9;DTX3L;PARP9,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;Body;TSS1500,S_Shore,1.6991764621989628e-17,0.2282032339247971,2.169689752424937e-12,7.911519707171585e-18,-0.2275179311021861,7.682101458703023e-13,Common
cg16795830,Viral_Load(log10)_Blood,chr6,31554199,31554200,LST1;LST1;LST1;LST1;LST1;LST1;LST1;LST1,Body;TSS1500;TSS1500;TSS1500;5'UTR;TSS1500;5'UTR;Body,,1.0,0.0,1.0,1.5849041677339638e-16,0.2875710429284926,1.2824542638983451e-11,Beta-only
cg01721555,Viral_Load(log10)_Blood,chr3,122401300,122401301,PARP14,Body,S_Shore,5.6306599518101936e-18,0.201441930759769,1.078474084529917e-12,8.295366908422895e-16,-0.1863464725471306,5.753441327723177e-11,Common
cg17607231,Viral_Load(log10)_Blood,chr2,231090329,231090330,SP140;SP140,TSS200;TSS200,,9.337407162684816e-16,-0.3273780099103559,8.942248091559995e-11,1.7605238643711432e-14,-0.3098137822412549,1.068420120845068e-09,Common
cg09154880,Viral_Load(log10)_Blood,chr6,32813715,32813716,TAP1;PSMB8,Body;TSS1500,S_Shore,1.0,0.0,1.0,2.027170457036897e-14,-0.2032750448669389,1.0935480934020787e-09,Beta-only
cg03447547,Viral_Load(log10)_Blood,chr14,94577039,94577040,IFI27;IFI27,TSS200;TSS200,,1.0,0.0,1.0,6.3721686851494e-14,-0.2959542090986867,3.093694268808719e-09,Beta-only
cg26979537,Viral_Load(log10)_Blood,chr19,48016860,48016861,NAPA,Body,N_Shore,3.4087260440905883e-09,-0.2443537516609972,3.8953655133622297e-05,9.58230838232182e-14,-0.2874074727691272,4.229291183568751e-09,Common
cg05208178,Viral_Load(log10)_Blood,chr2,233928423,233928424,INPP5D;INPP5D,Body;Body,S_Shelf,6.88082343792209e-12,0.2526271369797409,1.930556497361818e-07,1.329171554555177e-13,0.2590869721681781,5.377617657567442e-09,Common
cg24819835,Viral_Load(log10)_Blood,chr4,15780011,15780012,CD38;CD38,1stExon;5'UTR,Island,1.7256581821392605e-13,-0.3061483735583836,7.668959179285484e-09,1.711008764025529e-13,-0.3023296997111676,6.389972814947372e-09,Common
cg02215171,Viral_Load(log10)_Blood,chr4,89379156,89379157,HERC5,Body,S_Shore,5.36760567639086e-12,-0.2349455573356905,1.706765278392243e-07,2.14200133889683e-13,-0.2436876035649659,7.428169943112498e-09,Common
cg16341979,Viral_Load(log10)_Blood,chr14,94576977,94576978,IFI27;IFI27,TSS200;TSS200,,1.0,0.0,1.0,3.031710994397715e-13,-0.280145912778497,9.812658129940568e-09,Beta-only
