CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_CHALM,Effect_CHALM,P_CAMDA,Effect_CAMDA,P_haEWAS,Effect_haEWAS,haEWAS_Driver,Group
cg21679730,PSA_Amount_GSE108462,1,65047485.0,65047486.0,CACHD1,Body,,1.17350215504806e-06,-0.0031616187941214,2.31326478314311e-05,-0.0025238148965451,0.669244535975222,-8.46035426672952e-05,2.31326478314311e-05,-0.0025238148965451,None,Beta-only
cg08942192,PSA_Amount_GSE108462,1,108735334.0,108735335.0,SLC25A24;SLC25A24;SLC25A24,5'UTR;Body;1stExon,Island,5.94711211889047e-08,-0.0028827026411431,0.133565814794277,-0.0002233115904757,0.184516274643408,0.0004385968280276,0.133565814794277,-0.0002233115904757,None,Beta-only
cg15703756,PSA_Amount_GSE108462,2,3750488.0,3750489.0,,,N_Shore,2.08610695496648e-06,-0.0017442168160709,0.0608823092503269,-0.0008399563262338,3.39441342049343e-05,0.001350953789635,3.39441342049343e-05,0.001350953789635,None,Beta-only
cg24135923,PSA_Amount_GSE108462,4,124267807.0,124267808.0,,,,6.35911503051419e-07,-0.0031543699828757,0.0252995102268455,-0.0012694713475015,0.0012006330424117,0.0021800886357963,0.0012006330424117,0.0021800886357963,None,Beta-only
cg23171102,PSA_Amount_GSE108462,5,1176807.0,1176808.0,,,,4.83398914117432e-07,0.0016702689862061,8.61435495482119e-07,0.0006014992134198,1.26715331951223e-06,-0.0016610171803748,8.61435495482119e-07,0.0006014992134198,None,Beta-only
cg02188185,PSA_Amount_GSE108462,6,30039524.0,30039525.0,RNF39;RNF39,Body;Body,S_Shore,6.98990623173131e-08,0.0022892924988999,1.0,0.0,1.0,0.0,1.0,0.0,None,Beta-only
cg19966378,PSA_Amount_GSE108462,7,38294113.0,38294114.0,,,,1.11729394045154e-07,0.0019098830472855,0.000375880945892,0.0012771220644316,5.13170380649678e-05,-0.0015866425670875,5.13170380649678e-05,-0.0015866425670875,None,Beta-only
cg10900271,PSA_Amount_GSE108462,7,156157852.0,156157853.0,,,,2.58080867506107e-06,-0.0036059372254664,0.705320734672728,-9.11922653179407e-05,0.0001482593145895,0.0033103046482715,0.0001482593145895,0.0033103046482715,None,Beta-only
cg06644844,PSA_Amount_GSE108462,10,37414506.0,37414507.0,ANKRD30A,TSS1500,Island,2.37175870662751e-06,0.0018862129047364,0.0001359505306487,0.0008637659462192,0.0001198627470365,-0.0016907006694411,0.0001198627470365,-0.0016907006694411,None,Beta-only
cg22353823,PSA_Amount_GSE108462,12,105860607.0,105860608.0,,,,4.26356676825523e-07,-0.0025188367483882,0.0164892436535634,-0.0005956950444057,0.0008994067982582,0.0011572566751826,0.0008994067982582,0.0011572566751826,None,Beta-only
cg19460909,PSA_Amount_GSE108462,13,112515103.0,112515104.0,,,,1.17295241118475e-07,-0.0014501601771972,4.28581356904067e-06,-0.0011806297941943,1.0,0.0,4.28581356904067e-06,-0.0011806297941943,None,Beta-only
cg17524180,PSA_Amount_GSE108462,13,113633600.0,113633601.0,MCF2L;MCF2L,Body;TSS200,N_Shore,3.99279315934621e-07,-0.0013195172999176,0.0013876300903442,-0.0011934297874258,0.0001690671445965,0.0003098752379608,0.0001690671445965,0.0003098752379608,None,Beta-only
cg23741255,PSA_Amount_GSE108462,15,31090995.0,31090996.0,,,,1.66567850321742e-06,-0.0037097027789387,1.0,0.0,1.0,0.0,1.0,0.0,None,Beta-only
cg26561254,PSA_Amount_GSE108462,15,89164044.0,89164045.0,AEN,TSS1500,N_Shore,1.12680319507285e-06,-0.0014208894171982,0.0207535721986365,-0.000689568999254,0.000120336959964,0.0005407455637051,0.000120336959964,0.0005407455637051,None,Beta-only
cg23246911,PSA_Amount_GSE108462,17,154671.0,154672.0,RPH3AL,Body,N_Shelf,2.44328497899932e-06,-0.0028333431183301,1.0,0.0,1.0,0.0,1.0,0.0,None,Beta-only
cg15690822,PSA_Amount_GSE108462,17,33391738.0,33391739.0,RFFL;RFFL,5'UTR;TSS1500,,2.41768322187707e-07,0.0013377957300991,0.0003594243953083,0.0010088938279665,6.27510064548654e-06,-0.000425389466615,6.27510064548654e-06,-0.000425389466615,None,Beta-only
cg00578775,PSA_Amount_GSE108462,19,20165122.0,20165123.0,,,S_Shelf,2.50207917145841e-07,0.0012661776231106,2.30236888444522e-05,0.0008385382115317,1.22932376088283e-05,-0.0008226025812371,1.22932376088283e-05,-0.0008226025812371,None,Beta-only
cg20709110,PSA_Amount_GSE108462,22,19946873.0,19946874.0,COMT;COMT;COMT,5'UTR;5'UTR;5'UTR,,1.52395970729999e-06,-0.001567454634713,2.63663734268911e-05,-0.0025077557455875,1.08257078565112e-06,0.0012527774957715,1.08257078565112e-06,0.0012527774957715,None,Beta-only
